dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,19,0.026368,0.00154,0.07826,0.031936,0.198298,0.138104
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,20,0.027712,0.00153,0.159579,0.032096,0.281626,0.220917
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,21,0.027488,0.001799,0.077719,0.029856,0.201248,0.136862
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,22,0.027296,0.00154,0.078079,0.031936,0.199208,0.138851
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,23,0.026272,0.00163,0.078,0.031232,0.198718,0.137134
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,24,0.027136,0.001641,0.077459,0.030208,0.196618,0.136444
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,25,0.026336,0.00151,0.077619,0.03072,0.196068,0.136185
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,26,0.026592,0.00152,0.07869,0.032864,0.199698,0.139666
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,27,0.029664,0.00154,0.077509,0.029632,0.198758,0.138345
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,28,0.033888,0.001611,0.07718,0.032544,0.205708,0.145223
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,29,0.027552,0.00147,0.077459,0.029664,0.191288,0.136145
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,30,0.027872,0.00161,0.078169,0.032192,0.200278,0.139843
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,31,0.026432,0.001561,0.07674,0.027328,0.192578,0.132061
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,32,0.025888,0.001559,0.07755,0.029856,0.195098,0.134853
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,33,0.026944,0.001451,0.077349,0.033024,0.198978,0.138768
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,34,0.026144,0.0017,0.077019,0.029504,0.195238,0.134367
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,35,0.027328,0.00154,0.078139,0.0296,0.196598,0.136607
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,36,0.026752,0.001629,0.07847,0.030368,0.198598,0.137219
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,37,0.026048,0.001559,0.07749,0.030048,0.194828,0.135145
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,38,0.032352,0.00154,0.07237,0.034464,0.195538,0.140726
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,39,0.026432,0.00156,0.078059,0.031744,0.197557,0.137795
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,40,0.027264,0.00164,0.07976,0.03104,0.200417,0.139704
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,41,0.026624,0.00167,0.07741,0.031424,0.197547,0.137128
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,42,0.02704,0.00163,0.071249,0.038688,0.191138,0.138607
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,43,0.02784,0.00155,0.07749,0.031808,0.198198,0.138688
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,44,0.025888,0.0017,0.07733,0.029888,0.194947,0.134806
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,45,0.026784,0.00156,0.077669,0.027968,0.195798,0.133981
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,46,0.026208,0.00154,0.07808,0.031552,0.197658,0.13738
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,47,0.026848,0.001479,0.070599,0.032544,0.184258,0.13147
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,48,0.02624,0.00157,0.07772,0.02944,0.196427,0.13497
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,49,0.028224,0.00164,0.08023,0.031776,0.202757,0.14187
3,float,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,50,0.027328,0.00152,0.077428,0.029952,0.203518,0.136228
