dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,61,0.016928,0.00144,0.107898,0.015232,0.195238,0.141498
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,62,0.014304,0.001409,0.107719,0.0136,0.192209,0.137032
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,63,0.010144,0.00151,0.107429,0.014656,0.188368,0.133739
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,64,0.016192,0.00135,0.10805,0.015136,0.194889,0.140728
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,65,0.008544,0.00139,0.107688,0.014432,0.187848,0.132054
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,66,0.016224,0.00135,0.10793,0.015456,0.194298,0.14096
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,67,0.015872,0.001371,0.107748,0.014272,0.194378,0.139263
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,68,0.015552,0.00139,0.107978,0.014496,0.194148,0.139416
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,69,0.015264,0.00137,0.107499,0.014368,0.193648,0.138501
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,70,0.01632,0.00137,0.107939,0.014368,0.195768,0.139997
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,71,0.0152,0.00138,0.108049,0.014656,0.194118,0.139285
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,72,0.00928,0.00138,0.265857,0.014752,0.346276,0.291269
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,73,0.015488,0.00139,0.107279,0.015264,0.193178,0.139421
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",64,74,0.01616,0.00147,0.10784,0.015296,0.197638,0.140766
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,0,0.044832,0.001909,0.492475,0.063776,0.660793,0.602992
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,1,0.022912,0.00153,0.485555,0.059392,0.624443,0.569389
