dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | D",128,7,0.028096,0,0.03301,0.00848,0.109199,0.069586
1,double,uniform,CPU,"N | D",128,8,0.031136,0,0.03347,0.006432,0.111869,0.071038
1,double,uniform,CPU,"N | D",128,9,0.030848,0,0.03348,0.005888,0.10709,0.070216
1,double,uniform,CPU,"N | D",128,10,0.029344,0,0.0327,0.008448,0.109589,0.070492
1,double,uniform,CPU,"N | D",128,11,0.028352,0,0.03351,0.005376,0.105079,0.067238
1,double,uniform,CPU,"N | D",128,12,0.032128,0,0.032839,0.009152,0.115989,0.074119
1,double,uniform,CPU,"N | D",128,13,0.029952,0,0.03344,0.009504,0.111259,0.072896
1,double,uniform,CPU,"N | D",128,14,0.030656,0,0.03267,0.007424,0.109019,0.07075
1,double,uniform,CPU,"N | D",128,15,0.030336,0,0.02952,0.009088,0.190578,0.068944
1,double,uniform,CPU,"N | D",128,16,0.03072,0,0.03283,0.007008,0.109679,0.070558
1,double,uniform,CPU,"N | D",128,17,0.029312,0,0.032909,0.007264,0.107929,0.069485
1,double,uniform,CPU,"N | D",128,18,0.02912,0,0.03289,0.006176,0.107939,0.068186
1,double,uniform,CPU,"N | D",128,19,0.028672,0,0.032939,0.007168,0.107159,0.068779
1,double,uniform,CPU,"N | D",128,20,0.02848,0,0.03314,0.00848,0.108779,0.0701
1,double,uniform,CPU,"N | D",128,21,0.032576,0,0.032639,0.007136,0.111149,0.072351
1,double,uniform,CPU,"N | D",128,22,0.03408,0,0.033249,0.006592,0.113819,0.073921
1,double,uniform,CPU,"N | D",128,23,0.028064,0,0.03312,0.006816,0.106709,0.068
1,double,uniform,CPU,"N | D",128,24,0.028416,0,0.03327,0.00768,0.108319,0.069366
1,double,uniform,CPU,"N | D",128,25,0.029728,0,0.032719,0.00688,0.114399,0.069327
1,double,uniform,CPU,"N | D",128,26,0.028512,0,0.033279,0.00672,0.108619,0.068511
1,double,uniform,CPU,"N | D",128,27,0.02976,0,0.03312,0.006752,0.10913,0.069632
1,double,uniform,CPU,"N | D",128,28,0.0328,0,0.033029,0.0072,0.112639,0.073029
1,double,uniform,CPU,"N | D",128,29,0.028864,0,0.03284,0.008544,0.107619,0.070248
1,double,uniform,CPU,"N | D",128,30,0.031104,0,0.03262,0.007072,0.109919,0.070796
1,double,uniform,CPU,"N | D",128,31,0.0288,0,0.03277,0.007232,0.107409,0.068802
1,double,uniform,CPU,"N | D",128,32,0.031008,0,0.03276,0.007168,0.110629,0.070936
1,double,uniform,CPU,"N | D",128,33,0.029632,0,0.03297,0.007296,0.108849,0.069898
1,double,uniform,CPU,"N | D",128,34,0.028576,0,0.03382,0.009568,0.110219,0.071964
1,double,uniform,CPU,"N | D",128,35,0.028864,0,0.03326,0.097504,0.198489,0.159628
1,double,uniform,CPU,"N | D",128,36,0.029024,0,0.032769,0.005664,0.106109,0.067457
1,double,uniform,CPU,"N | D",128,37,0.02864,0,0.03326,0.006624,0.10673,0.068524
1,double,uniform,CPU,"N | D",128,38,0.032544,0,0.033479,0.009216,0.113879,0.075239
1,double,uniform,CPU,"N | D",128,39,0.030176,0,0.02938,0.008416,0.101599,0.067972
1,double,uniform,CPU,"N | D",128,40,0.031424,0,0.029149,0.008288,0.099769,0.068861
1,double,uniform,CPU,"N | D",128,41,0.031328,0,0.032929,0.00736,0.110659,0.071617
1,double,uniform,CPU,"N | D",128,42,0.032224,0,0.03282,0.007104,0.108809,0.072148
1,double,uniform,CPU,"N | D",128,43,0.029408,0,0.032699,0.005792,0.106049,0.067899
1,double,uniform,CPU,"N | D",128,44,0.137856,0,0.032939,0.00688,0.216268,0.177675
1,double,uniform,CPU,"N | D",128,45,0.030592,0,0.0314,0.007616,0.106489,0.069608
1,double,uniform,CPU,"N | D",128,46,0.030048,0,0.033009,0.00624,0.108949,0.069297
1,double,uniform,CPU,"N | D",128,47,0.028,0,0.033189,0.007104,0.106089,0.068293
1,double,uniform,CPU,"N | D",128,48,0.029792,0,0.03281,0.00704,0.110189,0.069642
1,double,uniform,CPU,"N | D",128,49,0.028608,0,0.03256,0.008384,0.109449,0.069552
1,double,uniform,CPU,"N | D",128,50,0.030272,0,0.03343,0.00752,0.109329,0.071222
1,double,uniform,CPU,"N | D",128,51,0.03024,0,0.03304,0.007424,0.109599,0.070704
1,double,uniform,CPU,"N | D",128,52,0.029408,0,0.03335,0.007264,0.108829,0.070022
1,double,uniform,CPU,"N | D",128,53,0.02736,0,0.029139,0.008448,0.097779,0.064947
1,double,uniform,CPU,"N | D",128,54,0.031296,0,0.032671,0.007264,0.111129,0.071231
1,double,uniform,CPU,"N | D",128,55,0.030112,0,0.03315,0.007232,0.110289,0.070494
1,double,uniform,CPU,"N | D",128,56,0.028448,0,0.039769,0.006848,0.113769,0.075065
1,double,uniform,CPU,"N | D",128,57,0.030016,0,0.03285,0.007104,0.108729,0.06997
1,double,uniform,CPU,"N | D",128,58,0.027616,0,0.032639,0.0072,0.106159,0.067455
1,double,uniform,CPU,"N | D",128,59,0.030688,0,0.032939,0.007616,0.110449,0.071243
1,double,uniform,CPU,"N | D",128,60,0.030336,0,0.033089,0.008,0.109839,0.071425
1,double,uniform,CPU,"N | D",128,61,0.030784,0,0.03367,0.009632,0.112709,0.074086
1,double,uniform,CPU,"N | D",128,62,0.029184,0,0.03273,0.005792,0.104759,0.067706
1,double,uniform,CPU,"N | D",128,63,0.029376,0,0.033199,0.007712,0.109189,0.070287
1,double,uniform,CPU,"N | D",128,64,0.028672,0,0.032809,0.00768,0.109129,0.069161
1,double,uniform,CPU,"N | D",128,65,0.029024,0,0.03348,0.007232,0.107949,0.069736
1,double,uniform,CPU,"N | D",128,66,0.0288,0,0.0291,0.009792,0.102099,0.067692
1,double,uniform,CPU,"N | D",128,67,0.032928,0,0.03307,0.008832,0.113859,0.07483
1,double,uniform,CPU,"N | D",128,68,0.030496,0,0.032719,0.007296,0.114659,0.070511
1,double,uniform,CPU,"N | D",128,69,0.03024,0,0.03293,0.008256,0.111019,0.071426
1,double,uniform,CPU,"N | D",128,70,0.034432,0,0.03289,0.007904,0.113799,0.075226
1,double,uniform,CPU,"N | D",128,71,0.029632,0,0.03321,0.00576,0.106749,0.068602
1,double,uniform,CPU,"N | D",128,72,0.0304,0,0.03289,0.007584,0.109289,0.070874
1,double,uniform,CPU,"N | D",128,73,0.030432,0,0.033,0.007648,0.109829,0.07108
1,double,uniform,CPU,"N | D",128,74,0.028608,0,0.03316,0.006176,0.107949,0.067944
1,double,uniform,CPU,"N | D",192,0,0.059136,0,0.04642,0.010208,0.160869,0.115764
