dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | D | N",128,15,0.021024,0.00157,0.078479,0.029536,0.191578,0.130609
3,float,uniform,GPU,"P | P | P | P | D | N",128,16,0.016896,0.00166,0.078999,0.0304,0.192018,0.127955
3,float,uniform,GPU,"P | P | P | P | D | N",128,17,0.018464,0.00156,0.079188,0.028544,0.189088,0.127756
3,float,uniform,GPU,"P | P | P | P | D | N",128,18,0.01808,0.001599,0.078858,0.032512,0.191987,0.131049
3,float,uniform,GPU,"P | P | P | P | D | N",128,19,0.018464,0.001591,0.078448,0.028288,0.186627,0.126791
3,float,uniform,GPU,"P | P | P | P | D | N",128,20,0.01936,0.00161,0.078599,0.02864,0.188007,0.128209
3,float,uniform,GPU,"P | P | P | P | D | N",128,21,0.018176,0.00157,0.078488,0.0304,0.189277,0.128634
3,float,uniform,GPU,"P | P | P | P | D | N",128,22,0.020128,0.0016,0.07858,0.028096,0.188988,0.128404
3,float,uniform,GPU,"P | P | P | P | D | N",128,23,0.019872,0.00173,0.077959,0.02992,0.193448,0.129481
3,float,uniform,GPU,"P | P | P | P | D | N",128,24,0.01984,0.00158,0.078899,0.029632,0.190648,0.129951
3,float,uniform,GPU,"P | P | P | P | D | N",128,25,0.01744,0.00152,0.078709,0.028192,0.186818,0.125861
3,float,uniform,GPU,"P | P | P | P | D | N",128,26,0.018208,0.00148,0.07893,0.030496,0.189368,0.129114
3,float,uniform,GPU,"P | P | P | P | D | N",128,27,0.019232,0.001479,0.078538,0.029728,0.189158,0.128977
3,float,uniform,GPU,"P | P | P | P | D | N",128,28,0.017536,0.0016,0.07829,0.029664,0.187858,0.12709
3,float,uniform,GPU,"P | P | P | P | D | N",128,29,0.020448,0.00149,0.071959,0.03088,0.178848,0.124777
3,float,uniform,GPU,"P | P | P | P | D | N",128,30,0.017152,0.00162,0.077339,0.027104,0.183658,0.123215
3,float,uniform,GPU,"P | P | P | P | D | N",128,31,0.017344,0.00167,0.079389,0.029824,0.189378,0.128227
3,float,uniform,GPU,"P | P | P | P | D | N",128,32,0.019328,0.00148,0.077849,0.029888,0.190018,0.128545
3,float,uniform,GPU,"P | P | P | P | D | N",128,33,0.016672,0.00161,0.07661,0.03104,0.185107,0.125932
3,float,uniform,GPU,"P | P | P | P | D | N",128,34,0.017504,0.001591,0.078399,0.027648,0.185678,0.125142
3,float,uniform,GPU,"P | P | P | P | D | N",128,35,0.019264,0.00153,0.078969,0.028704,0.188858,0.128467
3,float,uniform,GPU,"P | P | P | P | D | N",128,36,0.017728,0.00154,0.078229,0.03184,0.189327,0.129337
3,float,uniform,GPU,"P | P | P | P | D | N",128,37,0.02128,0.001569,0.078619,0.029056,0.190548,0.130524
3,float,uniform,GPU,"P | P | P | P | D | N",128,38,0.017568,0.00154,0.078018,0.03184,0.189498,0.128966
3,float,uniform,GPU,"P | P | P | P | D | N",128,39,0.034912,0.001939,0.086478,0.038272,0.223298,0.161601
3,float,uniform,GPU,"P | P | P | P | D | N",128,40,0.019456,0.00157,0.078879,0.02896,0.191057,0.128865
3,float,uniform,GPU,"P | P | P | P | D | N",128,41,0.018016,0.001699,0.076008,0.030688,0.186598,0.126411
3,float,uniform,GPU,"P | P | P | P | D | N",128,42,0.019968,0.001719,0.079738,0.029792,0.197977,0.131217
3,float,uniform,GPU,"P | P | P | P | D | N",128,43,0.019104,0.001681,0.079329,0.02992,0.191508,0.130034
3,float,uniform,GPU,"P | P | P | P | D | N",128,44,0.060096,0.001648,0.07902,0.02704,0.229587,0.167804
3,float,uniform,GPU,"P | P | P | P | D | N",128,45,0.023968,0.00163,0.080049,0.027904,0.197478,0.133551
3,float,uniform,GPU,"P | P | P | P | D | N",128,46,0.01632,0.001549,0.077878,0.03008,0.186358,0.125827
3,float,uniform,GPU,"P | P | P | P | D | N",128,47,0.017632,0.00153,0.07824,0.03056,0.188567,0.127962
3,float,uniform,GPU,"P | P | P | P | D | N",128,48,0.01696,0.001649,0.077618,0.02944,0.186338,0.125667
3,float,uniform,GPU,"P | P | P | P | D | N",128,49,0.018048,0.00154,0.07914,0.02912,0.188158,0.127848
3,float,uniform,GPU,"P | P | P | P | D | N",128,50,0.017952,0.00152,0.07865,0.029376,0.187408,0.127498
3,float,uniform,GPU,"P | P | P | P | D | N",128,51,0.019328,0.00157,0.078789,0.030336,0.190278,0.130023
3,float,uniform,GPU,"P | P | P | P | D | N",128,52,0.196064,0.001631,0.078849,0.028384,0.366436,0.304928
3,float,uniform,GPU,"P | P | P | P | D | N",128,53,0.019008,0.00151,0.078649,0.106656,0.266807,0.205823
3,float,uniform,GPU,"P | P | P | P | D | N",128,54,0.025344,0.001541,0.077618,0.030016,0.194488,0.134519
3,float,uniform,GPU,"P | P | P | P | D | N",128,55,0.019488,0.00169,0.070399,0.03392,0.177978,0.125497
3,float,uniform,GPU,"P | P | P | P | D | N",128,56,0.017216,0.00154,0.07853,0.029664,0.187408,0.12695
3,float,uniform,GPU,"P | P | P | P | D | N",128,57,0.025408,0.001499,0.07832,0.028576,0.194207,0.133803
3,float,uniform,GPU,"P | P | P | P | D | N",128,58,0.103648,0.001531,0.078529,0.029344,0.272737,0.213052
3,float,uniform,GPU,"P | P | P | P | D | N",128,59,0.018592,0.00151,0.078379,0.029344,0.187948,0.127825
3,float,uniform,GPU,"P | P | P | P | D | N",128,60,0.0208,0.00171,0.079799,0.029376,0.191988,0.131685
3,float,uniform,GPU,"P | P | P | P | D | N",128,61,0.023392,0.00173,0.07934,0.02736,0.193428,0.131822
3,float,uniform,GPU,"P | P | P | P | D | N",128,62,0.018944,0.0016,0.078528,0.029216,0.189698,0.128288
3,float,uniform,GPU,"P | P | P | P | D | N",128,63,0.017728,0.001561,0.07845,0.029952,0.188768,0.127691
3,float,uniform,GPU,"P | P | P | P | D | N",128,64,0.020992,0.00159,0.082379,0.029088,0.194537,0.134049
3,float,uniform,GPU,"P | P | P | P | D | N",128,65,0.018368,0.00166,0.079549,0.030432,0.192588,0.130009
3,float,uniform,GPU,"P | P | P | P | D | N",128,66,0.01968,0.0016,0.07768,0.029376,0.188477,0.128336
3,float,uniform,GPU,"P | P | P | P | D | N",128,67,0.01872,0.00167,0.079249,0.027456,0.188678,0.127095
3,float,uniform,GPU,"P | P | P | P | D | N",128,68,0.018464,0.00154,0.07479,0.028256,0.179318,0.12305
3,float,uniform,GPU,"P | P | P | P | D | N",128,69,0.017632,0.00156,0.078879,0.028576,0.187688,0.126647
