dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,24,0.03984,0,0.02446,0.007264,0.109089,0.071564
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,25,0.0376,0,0.025031,0.007552,0.109739,0.070183
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,26,0.037856,0,0.023859,0.005728,0.106959,0.067443
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,27,0.039168,0,0.02417,0.007904,0.108889,0.071242
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,28,0.037376,0,0.0206,0.008544,0.098849,0.06652
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,29,0.04688,0,0.02481,0.006528,0.118219,0.078218
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,30,0.038336,0,0.0242,0.005728,0.106599,0.068264
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,31,0.037888,0,0.02396,0.00752,0.109889,0.069368
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,32,0.039168,0,0.02399,0.007456,0.109909,0.070614
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,33,0.03984,0,0.025449,0.00496,0.114069,0.070249
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,34,0.038464,0,0.02383,0.005472,0.106539,0.067766
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,35,0.0376,0,0.024329,0.008512,0.108589,0.070441
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,36,0.037536,0,0.023929,0.005952,0.105709,0.067417
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,37,0.042336,0,0.02381,0.007424,0.113259,0.07357
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,38,0.036224,0,0.02575,0.00608,0.108349,0.068054
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,39,0.03664,0,0.02396,0.008224,0.108869,0.068824
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,40,0.040192,0,0.02391,0.007424,0.111539,0.071526
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,41,0.035712,0,0.02063,0.008224,0.096279,0.064566
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,42,0.037216,0,0.02417,0.00736,0.107839,0.068746
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,43,0.040288,0,0.02369,0.007072,0.109689,0.07105
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,44,0.035872,0,0.02409,0.00544,0.103099,0.065402
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,45,0.037216,0,0.025079,0.007008,0.107929,0.069303
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,46,0.040064,0,0.02442,0.007616,0.112178,0.0721
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,47,0.03904,0,0.02391,0.008256,0.110398,0.071206
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,48,0.037632,0,0.02409,0.007072,0.106539,0.068794
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,49,0.037024,0,0.02471,0.008128,0.110039,0.069862
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,50,0.039264,0,0.02452,0.007296,0.110368,0.07108
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,51,0.0392,0,0.02465,0.00784,0.110688,0.07169
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,52,0.037888,0,0.024099,0.006656,0.107929,0.068643
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,53,0.041376,0,0.023879,0.007584,0.112168,0.072839
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,54,0.041184,0,0.028249,0.006816,0.114059,0.076249
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,55,0.040608,0,0.02384,0.007552,0.110839,0.072
2,float,uniform,CPU,"Ds | Ds | Ds | Ds",128,56,0.0408,0,0.02417,0.007328,0.111909,0.072298
