dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"D | D | D | D | N | D",128,5,0.792704,0.00159,0.116838,0.016928,0.97695,0.92806
3,float,uniform,CPU,"D | D | D | D | N | D",128,6,0.7848,0.00153,0.116658,0.017856,0.96998,0.920844
3,float,uniform,CPU,"D | D | D | D | N | D",128,7,0.773632,0.001521,0.117419,0.018848,0.95932,0.91142
3,float,uniform,CPU,"D | D | D | D | N | D",128,8,0.780896,0.00207,0.12353,0.018176,0.972619,0.924672
3,float,uniform,CPU,"D | D | D | D | N | D",128,9,0.786624,0.00157,0.1172,0.019168,0.973649,0.924562
3,float,uniform,CPU,"D | D | D | D | N | D",128,10,0.934624,0.00166,0.11663,0.018048,1.12106,1.07096
3,float,uniform,CPU,"D | D | D | D | N | D",128,11,0.776224,0.001599,0.111007,0.020032,0.95074,0.908862
3,float,uniform,CPU,"D | D | D | D | N | D",128,12,0.785056,0.001639,0.116449,0.017216,0.96876,0.92036
3,float,uniform,CPU,"D | D | D | D | N | D",128,13,0.794176,0.00151,0.117148,0.017696,0.98052,0.93053
3,float,uniform,CPU,"D | D | D | D | N | D",128,14,0.789696,0.00157,0.1166,0.018272,0.975369,0.926138
3,float,uniform,CPU,"D | D | D | D | N | D",128,15,0.77824,0.00163,0.110998,0.021568,0.95532,0.912436
3,float,uniform,CPU,"D | D | D | D | N | D",128,16,0.778624,0.0017,0.119098,0.018528,0.96683,0.91795
3,float,uniform,CPU,"D | D | D | D | N | D",128,17,0.799424,0.00158,0.116468,0.017376,0.98458,0.934848
3,float,uniform,CPU,"D | D | D | D | N | D",128,18,0.792768,0.00164,0.117228,0.017568,0.97908,0.929204
3,float,uniform,CPU,"D | D | D | D | N | D",128,19,0.784992,0.0016,0.11023,0.018336,0.95743,0.915158
3,float,uniform,CPU,"D | D | D | D | N | D",128,20,0.81536,0.001589,0.11701,0.017312,1.00153,0.951271
3,float,uniform,CPU,"D | D | D | D | N | D",128,21,0.76896,0.001809,0.124227,0.017824,0.96084,0.91282
3,float,uniform,CPU,"D | D | D | D | N | D",128,22,0.788672,0.00157,0.116698,0.017024,0.9739,0.923964
3,float,uniform,CPU,"D | D | D | D | N | D",128,23,0.78512,0.00155,0.117038,0.019648,0.96892,0.923356
3,float,uniform,CPU,"D | D | D | D | N | D",128,24,0.782336,0.00161,0.117327,0.018816,0.96977,0.920089
3,float,uniform,CPU,"D | D | D | D | N | D",128,25,0.794912,0.001502,0.117178,0.0176,0.97884,0.931192
