dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"N | D | N | N | N | N",64,55,0.0192,0.00145,0.04594,0.008512,0.138428,0.075102
3,float,uniform,GPU,"N | D | N | N | N | N",64,56,0.012096,0.001461,0.044909,0.008096,0.120858,0.066562
3,float,uniform,GPU,"N | D | N | N | N | N",64,57,0.012576,0.001439,0.04568,0.007712,0.123588,0.067407
3,float,uniform,GPU,"N | D | N | N | N | N",64,58,0.020704,0.001621,0.045309,0.008448,0.130838,0.076082
3,float,uniform,GPU,"N | D | N | N | N | N",64,59,0.01952,0.00146,0.04536,0.007392,0.128159,0.073732
3,float,uniform,GPU,"N | D | N | N | N | N",64,60,0.019296,0.001529,0.04508,0.010016,0.137499,0.075921
3,float,uniform,GPU,"N | D | N | N | N | N",64,61,0.020736,0.00146,0.04606,0.007648,0.131219,0.075904
3,float,uniform,GPU,"N | D | N | N | N | N",64,62,0.020128,0.001439,0.046149,0.00992,0.129929,0.077636
3,float,uniform,GPU,"N | D | N | N | N | N",64,63,0.019584,0.0014,0.04572,0.00992,0.131098,0.076624
3,float,uniform,GPU,"N | D | N | N | N | N",64,64,0.019072,0.00146,0.045349,0.007584,0.128488,0.073465
3,float,uniform,GPU,"N | D | N | N | N | N",64,65,0.018912,0.00147,0.04504,0.007872,0.128428,0.073294
3,float,uniform,GPU,"N | D | N | N | N | N",64,66,0.020096,0.001509,0.04569,0.008672,0.232177,0.075967
3,float,uniform,GPU,"N | D | N | N | N | N",64,67,0.020672,0.00144,0.044889,0.009728,0.131169,0.076729
3,float,uniform,GPU,"N | D | N | N | N | N",64,68,0.01088,0.001471,0.037619,0.010016,0.107079,0.059986
3,float,uniform,GPU,"N | D | N | N | N | N",64,69,0.020192,0.001511,0.046248,0.010016,0.132859,0.077967
3,float,uniform,GPU,"N | D | N | N | N | N",64,70,0.021984,0.001591,0.046389,0.00816,0.132249,0.078124
3,float,uniform,GPU,"N | D | N | N | N | N",64,71,0.020288,0.00142,0.045379,0.009664,0.132518,0.076751
3,float,uniform,GPU,"N | D | N | N | N | N",64,72,0.013312,0.001419,0.045149,0.008352,0.122469,0.068232
3,float,uniform,GPU,"N | D | N | N | N | N",64,73,0.020128,0.00144,0.04505,0.007712,0.129619,0.07433
3,float,uniform,GPU,"N | D | N | N | N | N",64,74,0.022304,0.001501,0.045061,0.00896,0.132318,0.077826
3,float,uniform,GPU,"N | D | N | N | N | N",128,0,0.033856,0.00191,0.134468,0.025024,0.250598,0.195258
