dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,48,0.02944,0,0.508335,0.059264,0.653573,0.597039
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,49,0.01936,0,0.509766,0.057792,0.639313,0.586918
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,50,0.021952,0,0.509915,0.059648,0.645723,0.591515
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,51,0.028736,0,0.509786,0.0592,0.651583,0.597722
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,52,0.01904,0,0.508514,0.05872,0.638563,0.586274
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,53,0.021152,0,0.509555,0.056704,0.641513,0.587411
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,54,0.029088,0,0.507784,0.061792,0.650113,0.598664
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,55,0.021888,0,0.509384,0.058208,0.642553,0.58948
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,56,0.021472,0,0.508464,0.057472,0.640533,0.587408
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,57,0.021728,0,0.509614,0.059648,0.645403,0.59099
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,58,0.036,0,0.514604,0.063392,0.669153,0.613996
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,59,0.02176,0,0.508145,0.059712,0.637364,0.589617
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,60,0.018944,0,0.510284,0.05776,0.640044,0.586988
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,61,0.018688,0,0.509986,0.058464,0.641733,0.587138
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,62,0.0208,0,0.510895,0.057408,0.644213,0.589103
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,63,0.020064,0,0.509355,0.057856,0.641473,0.587275
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,64,0.021792,0,0.509614,0.057024,0.642264,0.58843
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,65,0.018464,0,0.510235,0.05808,0.639494,0.586779
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,66,0.028192,0,0.509734,0.057728,0.650382,0.595654
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,67,0.019936,0,0.506396,0.059392,0.636023,0.585724
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,68,0.039424,0,0.511434,0.062848,0.665882,0.613706
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,69,0.037472,0,0.514435,0.063104,0.669123,0.615011
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,70,0.023168,0,0.509464,0.058336,0.645753,0.590968
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,71,0.0224,0,0.511644,0.063232,0.651083,0.597276
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,72,0.020256,0,0.510344,0.060928,0.645883,0.591528
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,73,0.022496,0,0.508616,0.058176,0.642063,0.589288
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,74,0.020384,0,0.510214,0.062144,0.654582,0.592742
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,0,0.105184,0,1.73738,0.187456,2.08595,2.03002
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,1,0.10544,0,1.73665,0.185344,2.08147,2.02744
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,2,0.104352,0,1.73883,0.184736,2.0845,2.02792
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,3,0.106592,0,1.7351,0.18496,2.08203,2.02665
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,4,0.106592,0,1.74433,0.1872,2.09322,2.03812
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,5,0.102976,0,1.73524,0.184096,2.08166,2.02231
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,6,0.106176,0,1.7347,0.183392,2.07886,2.02427
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,7,0.106528,0,1.73532,0.184288,2.07991,2.02614
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,8,0.101664,0,1.73577,0.186976,2.0802,2.02441
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,9,0.10288,0,1.73533,0.184352,2.07951,2.02256
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,10,0.1032,0,1.73574,0.184448,2.0803,2.02339
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,11,0.113824,0,1.73248,0.186496,2.08157,2.0328
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,12,0.117664,0,1.73807,0.193632,2.10681,2.04937
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,13,0.104128,0,1.7375,0.18496,2.08163,2.02659
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,14,0.105984,0,1.73581,0.185344,2.08998,2.02714
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,15,0.111424,0,1.73325,0.185248,2.0843,2.02992
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,16,0.103712,0,1.73545,0.183392,2.07809,2.02256
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,17,0.106592,0,1.73588,0.184288,2.08167,2.02676
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,18,0.107488,0,1.73525,0.187168,2.08503,2.02991
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,19,0.107936,0,1.73669,0.184512,2.08567,2.02914
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,20,0.108384,0,1.7357,0.192672,2.09298,2.03676
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,21,0.105536,0,1.74918,0.188352,2.09913,2.04307
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,22,0.102272,0,1.7349,0.186144,2.07805,2.02332
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,23,0.10704,0,1.73806,0.186144,2.08679,2.03125
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,24,0.10912,0,1.73582,0.184736,2.0845,2.02968
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,25,0.102464,0,1.73543,0.186208,2.07993,2.0241
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,26,0.103136,0,1.73583,0.185632,2.07916,2.0246
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,27,0.110656,0,1.73518,0.18592,2.08829,2.03176
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,28,0.104608,0,1.73566,0.183104,2.07902,2.02337
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,29,0.109024,0,1.73532,0.183744,2.08086,2.02809
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,30,0.107712,0,1.73514,0.184064,2.08195,2.02692
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,31,0.10512,0,1.73491,0.184384,2.07947,2.02442
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,32,0.115808,0,1.752,0.187744,2.11122,2.05555
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,33,0.103904,0,1.73631,0.183424,2.07883,2.02364
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,34,0.115488,0,1.73721,0.186944,2.0946,2.03964
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,35,0.118048,0,1.73646,0.185824,2.09589,2.04033
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,36,0.104448,0,1.73444,0.184448,2.07888,2.02334
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,37,0.104512,0,1.73553,0.187136,2.08671,2.02718
3,double,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",192,38,0.103264,0,1.73507,0.186048,2.07852,2.02438
