dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,34,0.244576,0,0.103489,0.015232,0.408555,0.363297
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,35,0.242016,0,0.10375,0.0136,0.405015,0.359366
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,36,0.241024,0,0.102998,0.014048,0.405106,0.35807
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,37,0.246464,0,0.103379,0.014976,0.411265,0.364819
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,38,0.235072,0,0.099419,0.016736,0.387685,0.351227
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,39,0.251936,0,0.10377,0.01392,0.417165,0.369626
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,40,0.240192,0,0.103859,0.015264,0.402895,0.359315
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,41,0.240448,0,0.103459,0.013696,0.484875,0.357603
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,42,0.23904,0,0.103029,0.014944,0.401685,0.357013
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,43,0.2448,0,0.09924,0.016192,0.396725,0.360232
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,44,0.238784,0,0.102968,0.012896,0.401985,0.354648
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,45,0.240448,0,0.103929,0.014912,0.409155,0.359289
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,46,0.23744,0,0.103959,0.014112,0.402276,0.355511
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,47,0.24368,0,0.103338,0.013184,0.404596,0.360202
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,48,0.238528,0,0.103638,0.015648,0.402046,0.357814
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,49,0.24,0,0.103198,0.014112,0.402755,0.35731
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,50,0.237568,0,0.1033,0.015872,0.400495,0.35674
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,51,0.247072,0,0.10204,0.013728,0.409255,0.36284
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,52,0.237824,0,0.102869,0.013632,0.400216,0.354325
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,53,0.244736,0,0.10319,0.015104,0.407275,0.36303
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,54,0.234432,0,0.103588,0.014144,0.398736,0.352164
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,55,0.240384,0,0.103159,0.013888,0.401135,0.357431
