dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"D | N",64,0,0.067168,0,0.085749,200.152,200.406,200.305
1,double,uniform,CPU,"D | N",64,19,0.019744,0,0.0354,0.010464,0.104389,0.065608
1,double,uniform,CPU,"D | N",64,20,0.018496,0,0.035399,0.00864,0.100019,0.062535
1,double,uniform,CPU,"D | N",64,21,0.02032,0,0.034709,0.008032,0.101189,0.063061
1,double,uniform,CPU,"D | N",64,22,0.020224,0,0.03482,0.008448,0.102879,0.063492
1,double,uniform,CPU,"D | N",64,23,0.018752,0,0.033809,0.00976,0.099279,0.062321
1,double,uniform,CPU,"D | N",64,24,0.018496,0,0.034389,0.008448,0.099219,0.061333
1,double,uniform,CPU,"D | N",64,25,0.019648,0,0.03543,0.007744,0.099639,0.062822
1,double,uniform,CPU,"D | N",64,26,0.01824,0,0.034599,0.007008,0.098069,0.059847
1,double,uniform,CPU,"D | N",64,27,0.020256,0,0.035399,0.00608,0.100979,0.061735
1,double,uniform,CPU,"D | N",64,28,0.020192,0,0.034209,0.006208,0.098809,0.060609
1,double,uniform,CPU,"D | N",64,29,0.01824,0,0.03507,0.00624,0.097009,0.05955
1,double,uniform,CPU,"D | N",64,30,0.019552,0,0.03425,0.006944,0.098319,0.060746
1,double,uniform,CPU,"D | N",64,31,0.019584,0,0.03416,0.009568,0.100239,0.063312
1,double,uniform,CPU,"D | N",64,32,0.020832,0,0.036,0.006976,0.104179,0.063808
1,double,uniform,CPU,"D | N",64,33,0.019104,0,0.03488,0.006464,0.097659,0.060448
1,double,uniform,CPU,"D | N",64,34,0.020992,0,0.03885,0.008992,0.110369,0.068834
1,double,uniform,CPU,"D | N",64,35,0.019392,0,0.03405,0.010016,0.099619,0.063458
1,double,uniform,CPU,"D | N",64,36,0.019968,0,0.03513,0.008256,0.101879,0.063354
1,double,uniform,CPU,"D | N",64,37,0.018528,0,0.035588,0.008192,0.100559,0.062308
1,double,uniform,CPU,"D | N",64,38,0.019712,0,0.0342,0.00688,0.097739,0.060792
1,double,uniform,CPU,"D | N",64,39,0.019808,0,0.035269,0.010336,0.103129,0.065413
1,double,uniform,CPU,"D | N",64,40,0.019936,0,0.03503,0.007072,0.099399,0.062038
1,double,uniform,CPU,"D | N",64,41,0.018304,0,0.03522,0.006624,0.097689,0.060148
1,double,uniform,CPU,"D | N",64,42,0.02064,0,0.034129,0.006688,0.106919,0.061457
1,double,uniform,CPU,"D | N",64,43,0.019872,0,0.03054,0.009632,0.091959,0.060044
1,double,uniform,CPU,"D | N",64,44,0.019808,0,0.03442,0.008672,0.100468,0.0629
1,double,uniform,CPU,"D | N",64,45,0.019328,0,0.03603,0.006592,0.098669,0.06195
1,double,uniform,CPU,"D | N",64,46,0.02128,0,0.03533,0.009248,0.104159,0.065858
1,double,uniform,CPU,"D | N",64,47,0.018208,0,0.035829,0.0096,0.102669,0.063637
1,double,uniform,CPU,"D | N",64,48,0.020224,0,0.034589,0.006848,0.100139,0.061661
1,double,uniform,CPU,"D | N",64,49,0.018784,0,0.035149,0.0096,0.101759,0.063533
1,double,uniform,CPU,"D | N",64,50,0.019296,0,0.03067,0.008608,0.08941,0.058574
1,double,uniform,CPU,"D | N",64,51,0.019264,0,0.041159,0.008576,0.108349,0.068999
1,double,uniform,CPU,"D | N",64,52,0.02016,0,0.035209,0.008192,0.102049,0.063561
1,double,uniform,CPU,"D | N",64,53,0.01856,0,0.03533,0.00784,0.099949,0.06173
1,double,uniform,CPU,"D | N",64,54,0.020032,0,0.03443,0.009824,0.103069,0.064286
1,double,uniform,CPU,"D | N",64,55,0.019424,0,0.03438,0.007072,0.098459,0.060876
1,double,uniform,CPU,"D | N",64,56,0.018976,0,0.03455,0.008256,0.099599,0.061782
1,double,uniform,CPU,"D | N",64,57,0.020704,0,0.03483,0.008896,0.100819,0.06443
1,double,uniform,CPU,"D | N",64,58,0.018464,0,0.03424,0.009568,0.101299,0.062272
1,double,uniform,CPU,"D | N",64,59,0.02016,0,0.03633,0.008192,0.106189,0.064682
1,double,uniform,CPU,"D | N",64,60,0.020256,0,0.034899,0.007392,0.099859,0.062547
1,double,uniform,CPU,"D | N",64,61,0.027392,0,0.035979,0.008832,0.111759,0.072203
1,double,uniform,CPU,"D | N",64,62,0.020256,0,0.03399,0.095104,0.185908,0.14935
1,double,uniform,CPU,"D | N",64,63,0.023104,0,0.03178,0.010432,0.097019,0.065316
1,double,uniform,CPU,"D | N",64,64,0.019456,0,0.035789,0.007168,0.100609,0.062413
1,double,uniform,CPU,"D | N",64,65,0.018624,0,0.034928,0.007232,0.099069,0.060784
1,double,uniform,CPU,"D | N",64,66,0.019104,0,0.035169,0.00896,0.102179,0.063233
1,double,uniform,CPU,"D | N",64,67,0.019584,0,0.034829,0.007968,0.100109,0.062381
1,double,uniform,CPU,"D | N",64,68,0.019264,0,0.034879,0.006976,0.098849,0.061119
1,double,uniform,CPU,"D | N",64,69,0.01952,0,0.03469,0.006336,0.098039,0.060546
1,double,uniform,CPU,"D | N",64,70,0.019744,0,0.03431,0.007328,0.099528,0.061382
1,double,uniform,CPU,"D | N",64,71,0.018112,0,0.03427,0.009792,0.107929,0.062174
1,double,uniform,CPU,"D | N",64,72,0.01952,0,0.03477,0.00704,0.098009,0.06133
1,double,uniform,CPU,"D | N",64,73,0.019712,0,0.035999,0.008416,0.102439,0.064127
1,double,uniform,CPU,"D | N",64,74,0.019712,0,0.03548,0.0096,0.104069,0.064792
1,double,uniform,CPU,"D | N",128,0,0.02496,0,0.047339,0.016992,0.134688,0.089291
1,double,uniform,CPU,"D | N",128,1,0.020032,0,0.037599,0.0096,0.104949,0.067231
1,double,uniform,CPU,"D | N",128,2,0.01984,0,0.03624,0.008832,0.102588,0.064912
1,double,uniform,CPU,"D | N",128,3,0.020128,0,0.03668,0.006304,0.102459,0.063112
1,double,uniform,CPU,"D | N",128,4,0.019744,0,0.03399,0.007712,0.099359,0.061446
1,double,uniform,CPU,"D | N",128,5,0.019136,0,0.036609,0.006112,0.097619,0.061857
1,double,uniform,CPU,"D | N",128,6,0.018432,0,0.03622,0.007872,0.100019,0.062524
1,double,uniform,CPU,"D | N",128,7,0.02144,0,0.03771,0.00864,0.113349,0.06779
1,double,uniform,CPU,"D | N",128,8,0.019264,0,0.03669,0.00672,0.100638,0.062674
1,double,uniform,CPU,"D | N",128,9,0.020832,0,0.03755,0.010272,0.106569,0.068654
1,double,uniform,CPU,"D | N",128,10,0.019488,0,0.036539,0.00864,0.102339,0.064667
1,double,uniform,CPU,"D | N",128,11,0.01872,0,0.036319,0.008544,0.100779,0.063583
1,double,uniform,CPU,"D | N",128,12,0.021184,0,0.03801,0.007552,0.103979,0.066746
1,double,uniform,CPU,"D | N",128,13,0.0224,0,0.036719,0.006944,0.104669,0.066063
1,double,uniform,CPU,"D | N",128,14,0.020096,0,0.03682,0.006528,0.101258,0.063444
1,double,uniform,CPU,"D | N",128,15,0.019488,0,0.041489,0.008704,0.108828,0.069681
1,double,uniform,CPU,"D | N",128,16,0.019712,0,0.036039,0.009536,0.103709,0.065287
1,double,uniform,CPU,"D | N",128,17,0.019552,0,0.0368,0.008032,0.104218,0.064384
1,double,uniform,CPU,"D | N",128,18,0.021216,0,0.037699,0.008192,0.104679,0.067107
1,double,uniform,CPU,"D | N",128,19,0.018176,0,0.03672,0.00864,0.101469,0.063536
1,double,uniform,CPU,"D | N",128,20,0.020352,0,0.037059,0.007872,0.104159,0.065283
1,double,uniform,CPU,"D | N",128,21,0.021504,0,0.03674,0.009312,0.105029,0.067556
1,double,uniform,CPU,"D | N",128,22,0.019072,0,0.03634,0.00624,0.099069,0.061652
1,double,uniform,CPU,"D | N",128,23,0.019296,0,0.036169,0.006336,0.097599,0.061801
1,double,uniform,CPU,"D | N",128,24,0.019296,0,0.033879,0.00928,0.095109,0.062455
1,double,uniform,CPU,"D | N",128,25,0.019584,0,0.037589,0.008352,0.103889,0.065525
1,double,uniform,CPU,"D | N",128,26,0.01952,0,0.036349,0.006624,0.099619,0.062493
1,double,uniform,CPU,"D | N",128,27,0.020224,0,0.036829,0.007072,0.103539,0.064125
1,double,uniform,CPU,"D | N",128,28,0.018144,0,0.03685,0.007232,0.100899,0.062226
1,double,uniform,CPU,"D | N",128,29,0.019296,0,0.036159,0.008736,0.101909,0.064191
1,double,uniform,CPU,"D | N",128,30,0.019776,0,0.036829,0.005376,0.101529,0.061981
1,double,uniform,CPU,"D | N",128,31,0.020544,0,0.03831,0.00864,0.113899,0.067494
1,double,uniform,CPU,"D | N",128,32,0.018784,0,0.03679,0.0096,0.104959,0.065174
1,double,uniform,CPU,"D | N",128,33,0.020832,0,0.038239,0.009152,0.108589,0.068223
1,double,uniform,CPU,"D | N",128,34,0.01984,0,0.036789,0.006752,0.100549,0.063381
1,double,uniform,CPU,"D | N",128,35,0.02,0,0.03337,0.008096,0.09303,0.061466
1,double,uniform,CPU,"D | N",128,36,0.019296,0,0.03699,0.00672,0.101299,0.063006
1,double,uniform,CPU,"D | N",128,37,0.023712,0,0.033979,0.008416,0.100339,0.066107
1,double,uniform,CPU,"D | N",128,38,0.018944,0,0.03768,0.008928,0.102679,0.065552
1,double,uniform,CPU,"D | N",128,39,0.020224,0,0.03635,0.006624,0.100319,0.063198
1,double,uniform,CPU,"D | N",128,40,0.025792,0,0.03695,0.008544,0.108369,0.071286
1,double,uniform,CPU,"D | N",128,41,0.01984,0,0.036029,0.008448,0.102059,0.064317
1,double,uniform,CPU,"D | N",128,42,0.019328,0,0.036229,0.00784,0.102229,0.063397
1,double,uniform,CPU,"D | N",128,43,0.019392,0,0.03637,0.00944,0.103738,0.065202
1,double,uniform,CPU,"D | N",128,44,0.018304,0,0.03733,0.009056,0.102139,0.06469
1,double,uniform,CPU,"D | N",128,45,0.019392,0,0.03739,0.007648,0.103609,0.06443
1,double,uniform,CPU,"D | N",128,46,0.020096,0,0.037149,0.010048,0.105609,0.067293
1,double,uniform,CPU,"D | N",128,47,0.019968,0,0.036209,0.009472,0.109348,0.065649
1,double,uniform,CPU,"D | N",128,48,0.020704,0,0.03647,0.010304,0.105829,0.067478
1,double,uniform,CPU,"D | N",128,49,0.01872,0,0.03231,0.009568,0.091279,0.060598
1,double,uniform,CPU,"D | N",128,50,0.018592,0,0.03672,0.00784,0.101928,0.063152
1,double,uniform,CPU,"D | N",128,51,0.019616,0,0.036929,0.008384,0.104259,0.064929
1,double,uniform,CPU,"D | N",128,52,0.01888,0,0.036599,0.006656,0.098489,0.062135
1,double,uniform,CPU,"D | N",128,53,0.021536,0,0.03695,0.009632,0.107168,0.068118
1,double,uniform,CPU,"D | N",128,54,0.01856,0,0.036789,0.006976,0.100389,0.062325
1,double,uniform,CPU,"D | N",128,55,0.018432,0,0.036139,0.008448,0.101899,0.063019
1,double,uniform,CPU,"D | N",128,56,0.019808,0,0.03677,0.006592,0.108359,0.06317
1,double,uniform,CPU,"D | N",128,57,0.021664,0,0.03664,0.096768,0.194737,0.155072
1,double,uniform,CPU,"D | N",128,58,0.019072,0,0.036859,0.0064,0.099439,0.062331
1,double,uniform,CPU,"D | N",128,59,0.01856,0,0.036619,0.0088,0.101889,0.063979
1,double,uniform,CPU,"D | N",128,60,0.021536,0,0.038269,0.0088,0.108729,0.068605
1,double,uniform,CPU,"D | N",128,61,0.01968,0,0.036689,0.006432,0.100039,0.062801
1,double,uniform,CPU,"D | N",128,62,0.020352,0,0.03339,0.007872,0.094959,0.061614
1,double,uniform,CPU,"D | N",128,63,0.018912,0,0.03675,0.006624,0.100609,0.062286
1,double,uniform,CPU,"D | N",128,64,0.01808,0,0.036259,0.008032,0.099759,0.062371
1,double,uniform,CPU,"D | N",128,65,0.019328,0,0.037719,0.0072,0.101689,0.064247
1,double,uniform,CPU,"D | N",128,66,0.020064,0,0.035869,0.007968,0.101359,0.063901
1,double,uniform,CPU,"D | N",128,67,0.019968,0,0.03674,0.006944,0.101749,0.063652
1,double,uniform,CPU,"D | N",128,68,0.019296,0,0.03598,0.00752,0.100689,0.062796
1,double,uniform,CPU,"D | N",128,69,0.020608,0,0.03639,0.006496,0.100818,0.063494
1,double,uniform,CPU,"D | N",128,70,0.018144,0,0.036309,0.009472,0.103059,0.063925
1,double,uniform,CPU,"D | N",128,71,0.027776,0,0.03753,0.00656,0.108118,0.071866
1,double,uniform,CPU,"D | N",128,72,0.020224,0,0.037549,0.010048,0.107289,0.067821
1,double,uniform,CPU,"D | N",128,73,0.020512,0,0.037679,0.009888,0.105859,0.068079
1,double,uniform,CPU,"D | N",128,74,0.019488,0,0.035849,0.00672,0.099989,0.062057
1,double,uniform,CPU,"D | N",192,0,0.02688,0,0.05816,0.01488,0.144159,0.09992
1,double,uniform,CPU,"D | N",192,1,0.021088,0,0.04538,0.008256,0.111558,0.074724
1,double,uniform,CPU,"D | N",192,2,0.019072,0,0.046159,0.009696,0.113199,0.074927
1,double,uniform,CPU,"D | N",192,3,0.019136,0,0.046859,0.007552,0.112628,0.073547
1,double,uniform,CPU,"D | N",192,4,0.01904,0,0.047089,0.008256,0.113119,0.074385
1,double,uniform,CPU,"D | N",192,5,0.024544,0,0.046109,0.00848,0.117669,0.079133
1,double,uniform,CPU,"D | N",192,6,0.020096,0,0.04623,0.007648,0.114589,0.073974
1,double,uniform,CPU,"D | N",192,7,0.018176,0,0.046159,0.006816,0.109019,0.071151
1,double,uniform,CPU,"D | N",192,8,0.019136,0,0.045849,0.006496,0.108719,0.071481
1,double,uniform,CPU,"D | N",192,9,0.021088,0,0.04401,0.009024,0.109089,0.074122
1,double,uniform,CPU,"D | N",192,10,0.021792,0,0.04677,0.007136,0.116698,0.075698
1,double,uniform,CPU,"D | N",192,11,0.022528,0,0.046699,0.0064,0.115159,0.075627
1,double,uniform,CPU,"D | N",192,12,0.019616,0,0.046548,0.00848,0.113049,0.074644
1,double,uniform,CPU,"D | N",192,13,0.019584,0,0.04693,0.006848,0.113319,0.073362
1,double,uniform,CPU,"D | N",192,14,0.026912,0,0.046399,0.006336,0.116719,0.079647
1,double,uniform,CPU,"D | N",192,15,0.019712,0,0.04715,0.008192,0.112428,0.075054
1,double,uniform,CPU,"D | N",192,16,0.018208,0,0.04368,0.009088,0.100939,0.070976
1,double,uniform,CPU,"D | N",192,17,0.018464,0,0.046079,0.011776,0.113559,0.076319
1,double,uniform,CPU,"D | N",192,18,0.02096,0,0.04738,0.008864,0.116268,0.077204
1,double,uniform,CPU,"D | N",192,19,0.019264,0,0.046839,0.007264,0.112259,0.073367
1,double,uniform,CPU,"D | N",192,20,0.020896,0,0.046169,0.005696,0.110589,0.072761
1,double,uniform,CPU,"D | N",192,21,0.01952,0,0.045969,0.006464,0.210797,0.071953
1,double,uniform,CPU,"D | N",192,22,0.018592,0,0.045949,0.007264,0.111239,0.071805
1,double,uniform,CPU,"D | N",192,23,0.020224,0,0.047229,0.00656,0.112259,0.074013
1,double,uniform,CPU,"D | N",192,24,0.0192,0,0.047419,0.006272,0.111059,0.072891
1,double,uniform,CPU,"D | N",192,25,0.019168,0,0.04692,0.008736,0.113908,0.074824
1,double,uniform,CPU,"D | N",192,26,0.021184,0,0.046158,0.008,0.112779,0.075342
1,double,uniform,CPU,"D | N",192,27,0.019264,0,0.046159,0.010848,0.116589,0.076271
1,double,uniform,CPU,"D | N",192,28,0.019008,0,0.04582,0.006848,0.108339,0.071676
1,double,uniform,CPU,"D | N",192,29,0.020544,0,0.047029,0.009152,0.119989,0.076725
1,double,uniform,CPU,"D | N",192,30,0.020832,0,0.047479,0.00928,0.116289,0.077591
1,double,uniform,CPU,"D | N",192,31,0.01872,0,0.046239,0.008,0.111909,0.072959
1,double,uniform,CPU,"D | N",192,32,0.019776,0,0.04651,0.007584,0.114198,0.07387
1,double,uniform,CPU,"D | N",192,33,0.019456,0,0.04606,0.007712,0.111779,0.073228
1,double,uniform,CPU,"D | N",192,34,0.018944,0,0.046159,0.00784,0.111188,0.072943
1,double,uniform,CPU,"D | N",192,35,0.018624,0,0.04256,0.010208,0.102139,0.071392
1,double,uniform,CPU,"D | N",192,36,0.023008,0,0.04589,0.008352,0.116149,0.07725
1,double,uniform,CPU,"D | N",192,37,0.020032,0,0.047149,0.00784,0.116979,0.075021
1,double,uniform,CPU,"D | N",192,38,0.01856,0,0.0459,0.007584,0.110358,0.072044
1,double,uniform,CPU,"D | N",192,39,0.02112,0,0.047488,0.009312,0.119599,0.07792
1,double,uniform,CPU,"D | N",192,40,0.02,0,0.04579,0.006336,0.108829,0.072126
1,double,uniform,CPU,"D | N",192,41,0.021632,0,0.04708,0.008224,0.115768,0.076936
1,double,uniform,CPU,"D | N",192,42,0.020896,0,0.046969,0.007584,0.113259,0.075449
1,double,uniform,CPU,"D | N",192,43,0.019488,0,0.05349,0.006848,0.118918,0.079826
1,double,uniform,CPU,"D | N",192,44,0.019104,0,0.128459,0.009536,0.195608,0.157099
1,double,uniform,CPU,"D | N",192,45,0.019424,0,0.046279,0.009152,0.113829,0.074855
1,double,uniform,CPU,"D | N",192,46,0.01936,0,0.046579,0.006208,0.110318,0.072147
1,double,uniform,CPU,"D | N",192,47,0.019232,0,0.045669,0.007264,0.110719,0.072165
1,double,uniform,CPU,"D | N",192,48,0.02032,0,0.045479,0.007168,0.110079,0.072967
1,double,uniform,CPU,"D | N",192,49,0.019008,0,0.04621,0.007168,0.110909,0.072386
1,double,uniform,CPU,"D | N",192,50,0.020736,0,0.047529,0.008224,0.115868,0.076489
1,double,uniform,CPU,"D | N",192,51,0.019648,0,0.04742,0.007296,0.113628,0.074364
1,double,uniform,CPU,"D | N",192,52,0.020032,0,0.047789,0.007872,0.113308,0.075693
1,double,uniform,CPU,"D | N",192,53,0.019872,0,0.04587,0.00784,0.112869,0.073582
1,double,uniform,CPU,"D | N",192,54,0.01968,0,0.046119,0.0072,0.111859,0.072999
1,double,uniform,CPU,"D | N",192,55,0.020128,0,0.045649,0.007712,0.110049,0.073489
1,double,uniform,CPU,"D | N",192,56,0.018272,0,0.046739,0.006752,0.109899,0.071763
1,double,uniform,CPU,"D | N",192,57,0.019296,0,0.047159,0.006176,0.111169,0.072631
1,double,uniform,CPU,"D | N",192,58,0.020736,0,0.04664,0.008128,0.113179,0.075504
1,double,uniform,CPU,"D | N",192,59,0.02208,0,0.046249,0.00896,0.116538,0.077289
1,double,uniform,CPU,"D | N",192,60,0.020576,0,0.04246,0.007584,0.101558,0.07062
1,double,uniform,CPU,"D | N",192,61,0.018752,0,0.048069,0.0088,0.114099,0.075621
1,double,uniform,CPU,"D | N",192,62,0.020096,0,0.046599,0.009184,0.114949,0.075879
1,double,uniform,CPU,"D | N",192,63,0.019328,0,0.04691,0.006784,0.115158,0.073022
1,double,uniform,CPU,"D | N",192,64,0.019808,0,0.04694,0.00608,0.111679,0.072828
1,double,uniform,CPU,"D | N",192,65,0.02016,0,0.046579,0.006784,0.111829,0.073523
1,double,uniform,CPU,"D | N",192,66,0.020544,0,0.047119,0.005984,0.113219,0.073647
1,double,uniform,CPU,"D | N",192,67,0.02048,0,0.046309,0.007616,0.112349,0.074405
1,double,uniform,CPU,"D | N",192,68,0.019712,0,0.047309,0.008192,0.114219,0.075213
1,double,uniform,CPU,"D | N",192,69,0.01888,0,0.04674,0.007712,0.111118,0.073332
1,double,uniform,CPU,"D | N",192,70,0.018784,0,0.046429,0.00816,0.111379,0.073373
1,double,uniform,CPU,"D | N",192,71,0.020544,0,0.047289,0.008992,0.115869,0.076825
1,double,uniform,CPU,"D | N",192,72,0.018496,0,0.042539,0.0088,0.100149,0.069835
1,double,uniform,CPU,"D | N",192,73,0.02048,0,0.04301,0.008768,0.103819,0.072258
1,double,uniform,CPU,"D | N",192,74,0.021216,0,0.046298,0.007296,0.117699,0.07481
1,double,uniform,CPU,"D | N",256,0,0.026752,0,0.049719,0.013472,0.135759,0.089943
1,double,uniform,CPU,"D | N",256,1,0.020704,0,0.03952,0.01056,0.108629,0.070784
1,double,uniform,CPU,"D | N",256,2,0.019584,0,0.03839,0.0096,0.105278,0.067574
1,double,uniform,CPU,"D | N",256,3,0.019072,0,0.039089,0.010048,0.107229,0.068209
1,double,uniform,CPU,"D | N",256,4,0.019264,0,0.03881,0.008928,0.108179,0.067002
1,double,uniform,CPU,"D | N",256,5,0.020576,0,0.03971,0.010496,0.109228,0.070782
1,double,uniform,CPU,"D | N",256,6,0.018848,0,0.03799,0.010624,0.105519,0.067462
1,double,uniform,CPU,"D | N",256,7,0.020736,0,0.039989,0.010336,0.111399,0.071061
1,double,uniform,CPU,"D | N",256,8,0.020128,0,0.03847,0.008288,0.105239,0.066886
1,double,uniform,CPU,"D | N",256,9,0.02032,0,0.039189,0.010144,0.108278,0.069653
1,double,uniform,CPU,"D | N",256,10,0.023712,0,0.039249,0.00848,0.110999,0.071441
1,double,uniform,CPU,"D | N",256,11,0.019072,0,0.03804,0.01024,0.103939,0.067352
1,double,uniform,CPU,"D | N",256,12,0.019616,0,0.04044,0.010304,0.109128,0.07036
1,double,uniform,CPU,"D | N",256,13,0.020448,0,0.038569,0.009824,0.107349,0.068841
1,double,uniform,CPU,"D | N",256,14,0.02096,0,0.03891,0.008064,0.104699,0.067934
1,double,uniform,CPU,"D | N",256,15,0.020256,0,0.03845,0.008352,0.103719,0.067058
1,double,uniform,CPU,"D | N",256,16,0.018752,0,0.03837,0.010624,0.105399,0.067746
1,double,uniform,CPU,"D | N",256,17,0.019936,0,0.0351,0.010016,0.098099,0.065052
1,double,uniform,CPU,"D | N",256,18,0.019264,0,0.03934,0.007136,0.111078,0.06574
1,double,uniform,CPU,"D | N",256,19,0.020672,0,0.039569,0.215488,0.314256,0.275729
1,double,uniform,CPU,"D | N",256,20,0.01952,0,0.039749,0.009536,0.106829,0.068805
1,double,uniform,CPU,"D | N",256,21,0.0208,0,0.03843,0.009312,0.107418,0.068542
1,double,uniform,CPU,"D | N",256,22,0.021376,0,0.039229,0.010368,0.109349,0.070973
1,double,uniform,CPU,"D | N",256,23,0.01952,0,0.03852,0.01008,0.106579,0.06812
1,double,uniform,CPU,"D | N",256,24,0.019904,0,0.0388,0.008928,0.105088,0.067632
1,double,uniform,CPU,"D | N",256,25,0.020032,0,0.039569,0.00992,0.108279,0.069521
1,double,uniform,CPU,"D | N",256,26,0.019552,0,0.03933,0.010272,0.108738,0.069154
1,double,uniform,CPU,"D | N",256,27,0.020832,0,0.03898,0.009792,0.107589,0.069604
1,double,uniform,CPU,"D | N",256,28,0.018848,0,0.03893,0.009088,0.105979,0.066866
1,double,uniform,CPU,"D | N",256,29,0.01904,0,0.03763,0.010496,0.101839,0.067166
1,double,uniform,CPU,"D | N",256,30,0.021056,0,0.0386,0.00832,0.104109,0.067976
1,double,uniform,CPU,"D | N",256,31,0.021184,0,0.038999,0.009888,0.110719,0.070071
1,double,uniform,CPU,"D | N",256,32,0.018496,0,0.03904,0.009056,0.106249,0.066592
1,double,uniform,CPU,"D | N",256,33,0.018368,0,0.03837,0.010752,0.105599,0.06749
1,double,uniform,CPU,"D | N",256,34,0.036,0,0.039789,0.009248,0.124649,0.085037
1,double,uniform,CPU,"D | N",256,35,0.019488,0,0.03839,0.008704,0.104299,0.066582
1,double,uniform,CPU,"D | N",256,36,0.019968,0,0.039369,0.009888,0.107649,0.069225
1,double,uniform,CPU,"D | N",256,37,0.020448,0,0.038849,0.007936,0.104388,0.067233
1,double,uniform,CPU,"D | N",256,38,0.019168,0,0.038069,0.009088,0.103389,0.066325
1,double,uniform,CPU,"D | N",256,39,0.019168,0,0.039889,0.01056,0.107459,0.069617
1,double,uniform,CPU,"D | N",256,40,0.019936,0,0.038159,0.008608,0.104889,0.066703
1,double,uniform,CPU,"D | N",256,41,0.019456,0,0.039549,0.009888,0.107649,0.068893
1,double,uniform,CPU,"D | N",256,42,0.020256,0,0.03833,0.009152,0.192708,0.067738
1,double,uniform,CPU,"D | N",256,43,0.024608,0,0.03877,0.00992,0.110829,0.073298
1,double,uniform,CPU,"D | N",256,44,0.018592,0,0.038669,0.007808,0.104729,0.065069
1,double,uniform,CPU,"D | N",256,45,0.019776,0,0.03921,0.010016,0.107569,0.069002
1,double,uniform,CPU,"D | N",256,46,0.021024,0,0.03999,0.009664,0.108149,0.070678
1,double,uniform,CPU,"D | N",256,47,0.02048,0,0.0395,0.00912,0.107819,0.0691
1,double,uniform,CPU,"D | N",256,48,0.01984,0,0.038299,0.01072,0.107609,0.068859
1,double,uniform,CPU,"D | N",256,49,0.019552,0,0.03894,0.01056,0.108069,0.069052
1,double,uniform,CPU,"D | N",256,50,0.019872,0,0.038429,0.009984,0.105899,0.068285
1,double,uniform,CPU,"D | N",256,51,0.018144,0,0.03868,0.010496,0.105899,0.06732
1,double,uniform,CPU,"D | N",256,52,0.019808,0,0.039939,0.009696,0.108459,0.069443
1,double,uniform,CPU,"D | N",256,53,0.018496,0,0.03878,0.008352,0.103889,0.065628
1,double,uniform,CPU,"D | N",256,54,0.021632,0,0.038779,0.00992,0.108419,0.070331
1,double,uniform,CPU,"D | N",256,55,0.019584,0,0.038769,0.009248,0.106649,0.067601
1,double,uniform,CPU,"D | N",256,56,0.01888,0,0.03853,0.010688,0.105619,0.068098
1,double,uniform,CPU,"D | N",256,57,0.019904,0,0.038569,0.008256,0.104089,0.066729
1,double,uniform,CPU,"D | N",256,58,0.02064,0,0.03881,0.009504,0.109538,0.068954
1,double,uniform,CPU,"D | N",256,59,0.019712,0,0.039009,0.01008,0.108498,0.068801
1,double,uniform,CPU,"D | N",256,60,0.018848,0,0.038329,0.009728,0.105449,0.066905
1,double,uniform,CPU,"D | N",256,61,0.022912,0,0.037129,0.008608,0.105659,0.068649
