dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"D | N",192,2,0.011264,0,0.04385,0.006464,0.096689,0.061578
1,double,uniform,GPU,"D | N",192,3,0.012192,0,0.134489,0.008736,0.184128,0.155417
1,double,uniform,GPU,"D | N",192,4,0.0112,0,0.0425,0.007136,0.095899,0.060836
1,double,uniform,GPU,"D | N",192,5,0.012192,0,0.043639,0.006624,0.096809,0.062455
1,double,uniform,GPU,"D | N",192,6,0.009888,0,0.04346,0.007712,0.096228,0.06106
1,double,uniform,GPU,"D | N",192,7,0.01232,0,0.0432,0.007744,0.099359,0.063264
1,double,uniform,GPU,"D | N",192,8,0.011328,0,0.043159,0.007872,0.097649,0.062359
1,double,uniform,GPU,"D | N",192,9,0.010432,0,0.043229,0.007616,0.097309,0.061277
1,double,uniform,GPU,"D | N",192,10,0.011264,0,0.04321,0.007872,0.097588,0.062346
1,double,uniform,GPU,"D | N",192,11,0.011616,0,0.0495,0.008224,0.105158,0.06934
1,double,uniform,GPU,"D | N",192,12,0.01072,0,0.043289,0.007808,0.096869,0.061817
1,double,uniform,GPU,"D | N",192,13,0.012928,0,0.043059,0.007392,0.097859,0.063379
1,double,uniform,GPU,"D | N",192,14,0.012448,0,0.04301,0.006112,0.097089,0.06157
1,double,uniform,GPU,"D | N",192,15,0.012544,0,0.04341,0.007712,0.099199,0.063666
1,double,uniform,GPU,"D | N",192,16,0.011872,0,0.043009,0.008064,0.098439,0.062945
1,double,uniform,GPU,"D | N",192,17,0.011584,0,0.04437,0.007456,0.097539,0.06341
1,double,uniform,GPU,"D | N",192,18,0.010848,0,0.043319,0.007488,0.097599,0.061655
1,double,uniform,GPU,"D | N",192,19,0.011104,0,0.043059,0.00784,0.097489,0.062003
1,double,uniform,GPU,"D | N",192,20,0.011936,0,0.04326,0.00816,0.101779,0.063356
1,double,uniform,GPU,"D | N",192,21,0.011424,0,0.043259,0.00752,0.182969,0.062203
1,double,uniform,GPU,"D | N",192,22,0.01136,0,0.043439,0.007328,0.104649,0.062127
