dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,42,0.029824,0.00166,0.526826,0.096736,0.718625,0.655046
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,43,0.032512,0.00168,0.529406,0.09984,0.724805,0.663438
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,44,0.030592,0.001571,0.526396,0.096448,0.719445,0.655007
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,45,0.029984,0.00155,0.526596,0.096416,0.717325,0.654546
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,46,0.030272,0.00158,0.527007,0.0968,0.720295,0.655659
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,47,0.030432,0.00162,0.527017,0.094432,0.717015,0.653501
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,48,0.027968,0.0017,0.520057,0.098912,0.704365,0.648637
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,49,0.029536,0.001551,0.526817,0.096,0.718596,0.653904
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,50,0.029888,0.001669,0.524895,0.09504,0.715545,0.651492
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,51,0.029888,0.00152,0.526536,0.097184,0.718395,0.655128
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,52,0.027264,0.00153,0.525347,0.09664,0.716336,0.650781
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,53,0.044896,0.0019,0.533656,0.103936,0.748315,0.684388
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,54,0.042656,0.0021,0.534727,0.102496,0.746595,0.681979
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,55,0.029568,0.00158,0.531027,0.097952,0.724024,0.660127
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,56,0.030304,0.00159,0.520828,0.097344,0.706605,0.650066
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,57,0.030112,0.001561,0.526267,0.097056,0.719635,0.654996
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,58,0.033088,0.0017,0.530446,0.099424,0.729185,0.664658
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,59,0.044192,0.00208,0.534587,0.104352,0.749075,0.685211
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,60,0.027968,0.001609,0.526878,0.096032,0.719005,0.652487
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,61,0.0296,0.00169,0.524876,0.09424,0.715415,0.650406
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,62,0.02912,0.0016,0.526216,0.0968,0.717565,0.653736
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,63,0.029376,0.00158,0.526886,0.096576,0.717295,0.654418
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,64,0.02944,0.0017,0.523386,0.099072,0.713735,0.653598
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,65,0.030048,0.00154,0.533076,0.096288,0.722255,0.660952
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,66,0.02992,0.001591,0.524817,0.096256,0.716665,0.652584
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,67,0.0288,0.00155,0.525966,0.095008,0.715635,0.651324
3,double,uniform,GPU,"P | P | P | P | Ds | Ds",128,68,0.030336,0.00158,0.526596,0.097888,0.721135,0.6564
