dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"N | D",128,49,0.011328,0,0.01788,0.005696,0.068639,0.034904
1,float,uniform,GPU,"N | D",128,50,0.010688,0,0.018421,0.00432,0.067689,0.033429
1,float,uniform,GPU,"N | D",128,51,0.012512,0,0.01811,0.00528,0.070229,0.035902
1,float,uniform,GPU,"N | D",128,52,0.010176,0,0.01779,0.00448,0.0652,0.032446
1,float,uniform,GPU,"N | D",128,53,0.010496,0,0.01854,0.004512,0.068279,0.033548
1,float,uniform,GPU,"N | D",128,54,0.0104,0,0.01798,0.00448,0.067799,0.03286
1,float,uniform,GPU,"N | D",128,55,0.011776,0,0.01439,0.006976,0.06156,0.033142
1,float,uniform,GPU,"N | D",128,56,0.010656,0,0.017799,0.005344,0.068589,0.033799
1,float,uniform,GPU,"N | D",128,57,0.013216,0,0.01775,0.012832,0.078079,0.043798
1,float,uniform,GPU,"N | D",128,58,0.010432,0,0.017879,0.004256,0.066539,0.032567
1,float,uniform,GPU,"N | D",128,59,0.011968,0,0.017889,0.004608,0.069419,0.034465
1,float,uniform,GPU,"N | D",128,60,0.010336,0,0.017919,0.004512,0.066069,0.032767
1,float,uniform,GPU,"N | D",128,61,0.01136,0,0.01764,0.004512,0.068829,0.033512
1,float,uniform,GPU,"N | D",128,62,0.010688,0,0.01777,0.006368,0.069159,0.034826
1,float,uniform,GPU,"N | D",128,63,0.010912,0,0.01843,0.00464,0.06877,0.033982
1,float,uniform,GPU,"N | D",128,64,0.012608,0,0.01805,0.004576,0.070249,0.035234
1,float,uniform,GPU,"N | D",128,65,0.011872,0,0.01881,0.00432,0.06813,0.035002
1,float,uniform,GPU,"N | D",128,66,0.012192,0,0.01784,0.004352,0.06914,0.034384
1,float,uniform,GPU,"N | D",128,67,0.010624,0,0.014149,0.005568,0.060129,0.030341
1,float,uniform,GPU,"N | D",128,68,0.012928,0,0.014421,0.00656,0.063189,0.033909
1,float,uniform,GPU,"N | D",128,69,0.01168,0,0.01822,0.004384,0.06845,0.034284
1,float,uniform,GPU,"N | D",128,70,0.012064,0,0.01781,0.004576,0.06946,0.03445
1,float,uniform,GPU,"N | D",128,71,0.012544,0,0.01776,0.005824,0.072489,0.036128
1,float,uniform,GPU,"N | D",128,72,0.009504,0,0.017789,0.006208,0.068799,0.033501
1,float,uniform,GPU,"N | D",128,73,0.013408,0,0.01782,0.00448,0.069769,0.035708
1,float,uniform,GPU,"N | D",128,74,0.012064,0,0.01806,0.006656,0.071859,0.03678
1,float,uniform,GPU,"N | D",192,0,0.024064,0,0.02246,0.01088,0.09829,0.057404
1,float,uniform,GPU,"N | D",192,1,0.011744,0,0.01516,0.006944,0.062089,0.033848
1,float,uniform,GPU,"N | D",192,2,0.012096,0,0.01914,0.005696,0.070119,0.036932
1,float,uniform,GPU,"N | D",192,3,0.0112,0,0.01846,0.005824,0.069149,0.035484
1,float,uniform,GPU,"N | D",192,4,0.011072,0,0.01811,0.005248,0.068129,0.03443
1,float,uniform,GPU,"N | D",192,5,0.01104,0,0.01839,0.005152,0.068389,0.034582
1,float,uniform,GPU,"N | D",192,6,0.009984,0,0.019091,0.013408,0.075969,0.042483
1,float,uniform,GPU,"N | D",192,7,0.01232,0,0.01814,0.013344,0.077709,0.043804
1,float,uniform,GPU,"N | D",192,8,0.010944,0,0.01825,0.0056,0.06759,0.034794
1,float,uniform,GPU,"N | D",192,9,0.011424,0,0.01843,0.005248,0.069329,0.035102
1,float,uniform,GPU,"N | D",192,10,0.011456,0,0.018109,0.004928,0.067959,0.034493
1,float,uniform,GPU,"N | D",192,11,0.010656,0,0.01798,0.006784,0.068689,0.03542
1,float,uniform,GPU,"N | D",192,12,0.010624,0,0.01819,0.005632,0.067889,0.034446
1,float,uniform,GPU,"N | D",192,13,0.012704,0,0.018349,0.007392,0.073729,0.038445
1,float,uniform,GPU,"N | D",192,14,0.011328,0,0.01546,0.00656,0.061519,0.033348
1,float,uniform,GPU,"N | D",192,15,0.01056,0,0.01816,0.007232,0.06923,0.035952
1,float,uniform,GPU,"N | D",192,16,0.010176,0,0.01885,0.005536,0.067219,0.034562
1,float,uniform,GPU,"N | D",192,17,0.010464,0,0.01842,0.01248,0.07532,0.041364
1,float,uniform,GPU,"N | D",192,18,0.011296,0,0.018231,0.005376,0.073499,0.034903
1,float,uniform,GPU,"N | D",192,19,0.011104,0,0.133518,0.004736,0.183418,0.149358
1,float,uniform,GPU,"N | D",192,20,0.010656,0,0.01844,0.004576,0.068109,0.033672
1,float,uniform,GPU,"N | D",192,21,0.011264,0,0.01843,0.00544,0.06909,0.035134
1,float,uniform,GPU,"N | D",192,22,0.011904,0,0.01845,0.00528,0.069589,0.035634
1,float,uniform,GPU,"N | D",192,23,0.011616,0,0.018399,0.006656,0.070119,0.036671
1,float,uniform,GPU,"N | D",192,24,0.010464,0,0.01838,0.005536,0.067119,0.03438
1,float,uniform,GPU,"N | D",192,25,0.01168,0,0.01856,0.006944,0.071299,0.037184
1,float,uniform,GPU,"N | D",192,26,0.009856,0,0.0182,0.005728,0.067399,0.033784
1,float,uniform,GPU,"N | D",192,27,0.011264,0,0.01507,0.00688,0.061619,0.033214
1,float,uniform,GPU,"N | D",192,28,0.011296,0,0.018329,0.005216,0.068569,0.034841
1,float,uniform,GPU,"N | D",192,29,0.012224,0,0.01891,0.00592,0.07134,0.037054
1,float,uniform,GPU,"N | D",192,30,0.0168,0,0.01825,0.005408,0.074099,0.040458
1,float,uniform,GPU,"N | D",192,31,0.012032,0,0.01818,0.005408,0.06975,0.03562
1,float,uniform,GPU,"N | D",192,32,0.01104,0,0.018159,0.005216,0.068279,0.034415
1,float,uniform,GPU,"N | D",192,33,0.010016,0,0.01878,0.005696,0.067259,0.034492
1,float,uniform,GPU,"N | D",192,34,0.013216,0,0.01825,0.00464,0.072269,0.036106
