dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | N",128,4,0.032736,0,0.02142,0.005376,0.098669,0.059532
1,float,uniform,CPU,"N | N",128,5,0.029696,0,0.022169,0.005568,0.094559,0.057433
1,float,uniform,CPU,"N | N",128,6,0.037696,0,0.021369,0.005504,0.102399,0.064569
1,float,uniform,CPU,"N | N",128,7,0.029344,0,0.021651,0.005152,0.093749,0.056147
1,float,uniform,CPU,"N | N",128,8,0.028704,0,0.017669,0.006976,0.086809,0.053349
1,float,uniform,CPU,"N | N",128,9,0.029856,0,0.02129,0.004576,0.094939,0.055722
1,float,uniform,CPU,"N | N",128,10,0.03056,0,0.02157,0.005408,0.095989,0.057538
1,float,uniform,CPU,"N | N",128,11,0.027968,0,0.0211,0.004512,0.092289,0.05358
1,float,uniform,CPU,"N | N",128,12,0.031488,0,0.02171,0.005376,0.098789,0.058574
1,float,uniform,CPU,"N | N",128,13,0.030912,0,0.02217,0.004608,0.102049,0.05769
1,float,uniform,CPU,"N | N",128,14,0.030048,0,0.0224,0.004608,0.240248,0.057056
1,float,uniform,CPU,"N | N",128,15,0.029024,0,0.02107,0.005536,0.092529,0.05563
1,float,uniform,CPU,"N | N",128,16,0.028352,0,0.02137,0.005344,0.093128,0.055066
1,float,uniform,CPU,"N | N",128,17,0.0296,0,0.02132,0.005504,0.095039,0.056424
1,float,uniform,CPU,"N | N",128,18,0.034336,0,0.02143,0.005536,0.100239,0.061302
1,float,uniform,CPU,"N | N",128,19,0.031584,0,0.021829,0.005856,0.097429,0.059269
1,float,uniform,CPU,"N | N",128,20,0.029376,0,0.02085,0.005312,0.094269,0.055538
1,float,uniform,CPU,"N | N",128,21,0.038752,0,0.02106,0.005888,0.102659,0.0657
1,float,uniform,CPU,"N | N",128,22,0.029184,0,0.02211,0.00576,0.095419,0.057054
1,float,uniform,CPU,"N | N",128,23,0.030592,0,0.021509,0.004576,0.096589,0.056677
1,float,uniform,CPU,"N | N",128,24,0.030368,0,0.02123,0.005216,0.096209,0.056814
1,float,uniform,CPU,"N | N",128,25,0.028832,0,0.02109,0.005888,0.094609,0.05581
1,float,uniform,CPU,"N | N",128,26,0.03136,0,0.02129,0.006144,0.097519,0.058794
1,float,uniform,CPU,"N | N",128,27,0.0336,0,0.01813,0.006848,0.09241,0.058578
1,float,uniform,CPU,"N | N",128,28,0.030816,0,0.02666,0.00464,0.100999,0.062116
1,float,uniform,CPU,"N | N",128,29,0.02784,0,0.02149,0.00544,0.092589,0.05477
1,float,uniform,CPU,"N | N",128,30,0.030272,0,0.02131,0.0072,0.098289,0.058782
1,float,uniform,CPU,"N | N",128,31,0.031584,0,0.02163,0.004416,0.097349,0.05763
