dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,70,0.240288,0.00152,0.11364,0.02352,0.436435,0.378968
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,71,0.243392,0.001559,0.107089,0.022592,0.430786,0.374632
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,72,0.242944,0.00161,0.106499,0.02496,0.430185,0.376013
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,73,0.243072,0.00151,0.107618,0.023936,0.432486,0.376136
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",64,74,0.247904,0.001661,0.106489,0.022464,0.434325,0.378518
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,0,1.8191,0.002141,0.493085,0.099904,2.4938,2.41423
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,1,1.53091,0.001959,0.487294,0.095296,2.17448,2.11546
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,2,1.5561,0.00177,0.488005,0.096032,2.20195,2.1419
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,3,1.52909,0.00178,0.485626,0.095328,2.17318,2.11182
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,4,1.52077,0.00167,0.482495,0.099168,2.15748,2.1041
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,5,1.56147,0.00207,0.494064,0.098976,2.24058,2.15658
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,6,1.50845,0.00174,0.486346,0.093408,2.15046,2.08994
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,7,1.52682,0.00164,0.487585,0.095232,2.17431,2.11127
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,8,1.53315,0.00168,0.488035,0.096064,2.17952,2.11893
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,9,1.54528,0.001761,0.486936,0.095072,2.18964,2.12905
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,10,1.5305,0.0018,0.487664,0.095936,2.17387,2.1159
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,11,1.53494,0.00164,0.486734,0.093216,2.17437,2.11653
3,double,uniform,CPU,"P | P | P | P | Ns | Ds",128,12,1.62246,0.001659,0.486085,0.095904,2.26694,2.20611
