dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,float,uniform,GPU,"P | P | P | P",128,30,0.015744,0,0.02198,0.01504,0.096469,0.052764
2,float,uniform,GPU,"P | P | P | P",128,31,0.012256,0,0.02091,0.014336,0.088469,0.047502
2,float,uniform,GPU,"P | P | P | P",128,32,0.013376,0,0.02197,0.013248,0.089909,0.048594
2,float,uniform,GPU,"P | P | P | P",128,33,0.011808,0,0.02227,0.013792,0.089319,0.04787
2,float,uniform,GPU,"P | P | P | P",128,34,0.012768,0,0.027899,0.014432,0.097079,0.055099
2,float,uniform,GPU,"P | P | P | P",128,35,0.015392,0,0.022049,0.013376,0.092999,0.050817
2,float,uniform,GPU,"P | P | P | P",128,36,0.013056,0,0.02277,0.014304,0.09153,0.05013
2,float,uniform,GPU,"P | P | P | P",128,37,0.011744,0,0.02238,0.013984,0.090419,0.048108
2,float,uniform,GPU,"P | P | P | P",128,38,0.013472,0,0.02201,0.014944,0.092529,0.050426
2,float,uniform,GPU,"P | P | P | P",128,39,0.014976,0,0.02218,0.014464,0.093968,0.05162
2,float,uniform,GPU,"P | P | P | P",128,40,0.014112,0,0.02274,0.015616,0.093559,0.052468
2,float,uniform,GPU,"P | P | P | P",128,41,0.015232,0,0.02212,0.01264,0.091448,0.049992
2,float,uniform,GPU,"P | P | P | P",128,42,0.013088,0,0.022029,0.015296,0.091619,0.050413
2,float,uniform,GPU,"P | P | P | P",128,43,0.01584,0,0.022549,0.014336,0.095259,0.052725
2,float,uniform,GPU,"P | P | P | P",128,44,0.013536,0,0.022719,0.013152,0.090429,0.049407
2,float,uniform,GPU,"P | P | P | P",128,45,0.012416,0,0.02205,0.014272,0.089219,0.048738
2,float,uniform,GPU,"P | P | P | P",128,46,0.011808,0,0.018921,0.01536,0.079829,0.046089
2,float,uniform,GPU,"P | P | P | P",128,47,0.013344,0,0.02201,0.015008,0.091839,0.050362
2,float,uniform,GPU,"P | P | P | P",128,48,0.013568,0,0.022129,0.014016,0.091279,0.049713
2,float,uniform,GPU,"P | P | P | P",128,49,0.012448,0,0.02201,0.01376,0.090469,0.048218
2,float,uniform,GPU,"P | P | P | P",128,50,0.01248,0,0.022309,0.105408,0.181438,0.140197
