dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ns | Ds",128,11,0.012288,0,0.0365,0.008128,0.090389,0.056916
1,double,uniform,GPU,"Ns | Ds",128,12,0.012896,0,0.03746,0.007456,0.091499,0.057812
1,double,uniform,GPU,"Ns | Ds",128,13,0.012096,0,0.036269,0.006592,0.087729,0.054957
1,double,uniform,GPU,"Ns | Ds",128,14,0.013504,0,0.03739,0.00816,0.093148,0.059054
1,double,uniform,GPU,"Ns | Ds",128,15,0.012608,0,0.03737,0.008608,0.092379,0.058586
1,double,uniform,GPU,"Ns | Ds",128,16,0.011968,0,0.036049,0.008608,0.086879,0.056625
1,double,uniform,GPU,"Ns | Ds",128,17,0.011648,0,0.032829,0.00784,0.082549,0.052317
1,double,uniform,GPU,"Ns | Ds",128,18,0.01264,0,0.03644,0.008864,0.091899,0.057944
1,double,uniform,GPU,"Ns | Ds",128,19,0.01296,0,0.037239,0.00752,0.092589,0.057719
1,double,uniform,GPU,"Ns | Ds",128,20,0.012896,0,0.03694,0.009472,0.092459,0.059308
1,double,uniform,GPU,"Ns | Ds",128,21,0.012608,0,0.037359,0.009344,0.204378,0.059311
1,double,uniform,GPU,"Ns | Ds",128,22,0.012832,0,0.03705,0.008608,0.091619,0.05849
1,double,uniform,GPU,"Ns | Ds",128,23,0.013568,0,0.03718,0.008192,0.09235,0.05894
1,double,uniform,GPU,"Ns | Ds",128,24,0.012416,0,0.036869,0.006752,0.090599,0.056037
1,double,uniform,GPU,"Ns | Ds",128,25,0.012672,0,0.03692,0.00688,0.089159,0.056472
1,double,uniform,GPU,"Ns | Ds",128,26,0.012032,0,0.036779,0.008032,0.089859,0.056843
1,double,uniform,GPU,"Ns | Ds",128,27,0.0136,0,0.036929,0.007712,0.097359,0.058241
1,double,uniform,GPU,"Ns | Ds",128,28,0.01328,0,0.0366,0.008,0.091088,0.05788
1,double,uniform,GPU,"Ns | Ds",128,29,0.01248,0,0.03648,0.008032,0.091289,0.056992
1,double,uniform,GPU,"Ns | Ds",128,30,0.013216,0,0.03704,0.008224,0.093439,0.05848
1,double,uniform,GPU,"Ns | Ds",128,31,0.011936,0,0.03742,0.009312,0.09245,0.058668
1,double,uniform,GPU,"Ns | Ds",128,32,0.01232,0,0.036819,0.007872,0.090969,0.057011
1,double,uniform,GPU,"Ns | Ds",128,33,0.01392,0,0.099569,0.009152,0.159509,0.122641
