dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,8,0.02944,0.00166,0.519675,0.096288,0.711642,0.647063
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,9,0.029248,0.00163,0.519284,0.09744,0.712722,0.647602
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,10,0.030176,0.00169,0.518735,0.09744,0.708872,0.648041
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,11,0.02912,0.001719,0.519785,0.097504,0.712742,0.648128
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,12,0.027168,0.00184,0.519115,0.096896,0.708882,0.645019
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,13,0.028736,0.001739,0.518114,0.102848,0.714912,0.651437
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,14,0.028192,0.00164,0.518194,0.096224,0.707372,0.64425
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,15,0.027744,0.001681,0.519825,0.097792,0.711122,0.647042
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,16,0.027872,0.00166,0.520795,0.095136,0.710232,0.645463
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,17,0.028288,0.00167,0.520934,0.097184,0.712203,0.648076
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,18,0.026528,0.00164,0.514465,0.099616,0.700522,0.642249
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,19,0.028448,0.00171,0.519934,0.097632,0.711412,0.647724
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,20,0.030336,0.00162,0.517643,0.096192,0.709172,0.645791
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,21,0.029568,0.001692,0.519206,0.09584,0.710092,0.646306
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,22,0.029856,0.0017,0.519065,0.095232,0.709972,0.645853
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,23,0.03024,0.001731,0.517405,0.096736,0.709643,0.646112
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,24,0.045344,0.00234,0.528134,0.10448,0.745971,0.680298
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,25,0.029024,0.00161,0.519383,0.095808,0.709992,0.645825
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,26,0.027264,0.0016,0.517164,0.097312,0.704392,0.64334
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,27,0.028128,0.00159,0.520584,0.09664,0.709722,0.646942
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,28,0.027392,0.001762,0.517494,0.096288,0.705062,0.642936
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,29,0.041984,0.00205,0.528203,0.102656,0.739862,0.674893
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,30,0.028416,0.00169,0.518845,0.09584,0.710283,0.644791
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,31,0.03008,0.00178,0.522475,0.0968,0.714842,0.651135
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,32,0.028672,0.00174,0.519864,0.095872,0.710662,0.646148
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,33,0.02944,0.00181,0.518995,0.096448,0.711112,0.646693
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,34,0.028672,0.00163,0.518555,0.095136,0.707822,0.643993
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,35,0.027328,0.001941,0.518703,0.096192,0.708682,0.644164
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,36,0.029152,0.00157,0.519234,0.095968,0.708452,0.645924
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,37,0.027424,0.00167,0.519845,0.095456,0.708152,0.644395
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,38,0.028512,0.0017,0.516375,0.09824,0.703003,0.644827
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,39,0.026496,0.001631,0.519284,0.097504,0.708123,0.644915
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,40,0.04192,0.002109,0.528123,0.103136,0.740142,0.675288
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,41,0.030816,0.001579,0.518724,0.099072,0.722642,0.650191
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,42,0.028224,0.001691,0.520344,0.096128,0.710052,0.646387
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,43,0.030528,0.001719,0.518484,0.097216,0.709912,0.647947
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,44,0.030048,0.00168,0.519795,0.095328,0.711682,0.646851
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,45,0.02864,0.001841,0.519152,0.096384,0.711432,0.646017
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,46,0.02912,0.00154,0.518364,0.096864,0.709582,0.645888
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,47,0.027584,0.001609,0.519454,0.096064,0.707693,0.644711
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,48,0.029824,0.00173,0.514674,0.097248,0.702102,0.643476
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,49,0.02928,0.00164,0.520655,0.09568,0.718032,0.647255
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,50,0.03184,0.00156,0.520564,0.097056,0.715552,0.65102
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,51,0.02864,0.00163,0.518443,0.095584,0.708782,0.644297
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,52,0.028256,0.00168,0.519214,0.097408,0.711832,0.646558
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,53,0.029952,0.00175,0.518305,0.095424,0.708012,0.645431
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,54,0.02896,0.001719,0.522374,0.096288,0.713123,0.649341
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,55,0.030464,0.001641,0.518675,0.0952,0.711982,0.64598
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,56,0.029024,0.00162,0.519025,0.094688,0.710512,0.644357
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,57,0.02816,0.001581,0.518004,0.095392,0.706913,0.643137
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,58,0.028032,0.00161,0.518955,0.0952,0.708082,0.643797
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,59,0.027424,0.001669,0.518094,0.093504,0.704542,0.640691
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,60,0.028192,0.00169,0.528664,0.09664,0.719452,0.655186
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,61,0.028928,0.00172,0.518605,0.096704,0.709802,0.645957
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,62,0.043328,0.00206,0.527954,0.103776,0.747102,0.677118
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,63,0.029056,0.00176,0.518975,0.0952,0.711312,0.644991
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,64,0.028896,0.00177,0.517675,0.09488,0.707752,0.643221
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,65,0.029984,0.0017,0.518373,0.09728,0.711092,0.647337
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,66,0.028192,0.00172,0.519395,0.094208,0.707952,0.643515
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,67,0.029536,0.00161,0.520154,0.094912,0.710772,0.646212
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,68,0.027008,0.00174,0.519805,0.095936,0.708503,0.644489
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,69,0.027552,0.001559,0.512914,0.098688,0.695642,0.640713
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,70,0.027264,0.001669,0.519202,0.094688,0.707132,0.642823
3,double,uniform,GPU,"P | P | Ns | Ns | P | P",128,71,0.026144,0.00158,0.518484,0.09616,0.704913,0.642368
