dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,9,0.027616,0.00154,0.549754,0.098976,0.741422,0.677886
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,10,0.034528,0.001909,0.554943,0.105248,0.760482,0.696628
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,11,0.036608,0.00196,0.556494,0.106976,0.766902,0.702038
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,12,0.029824,0.00164,0.550002,0.101472,0.752822,0.682938
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,13,0.02848,0.001571,0.548564,0.09936,0.739982,0.677975
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,14,0.028096,0.001549,0.549462,0.10096,0.743952,0.680067
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,15,0.028768,0.00164,0.549154,0.107488,0.750932,0.68705
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,16,0.029408,0.001531,0.548014,0.100288,0.742312,0.679241
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,17,0.029664,0.00183,0.549945,0.100128,0.745052,0.681567
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,18,0.029568,0.00172,0.550035,0.100864,0.746532,0.682187
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,19,0.030176,0.001591,0.549015,0.104224,0.749022,0.685006
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,20,0.03056,0.001509,0.549304,0.100288,0.744022,0.681661
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,21,0.03088,0.001511,0.548796,0.101312,0.745282,0.682499
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,22,0.028576,0.001481,0.549084,0.100032,0.742262,0.679173
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,23,0.029568,0.00155,0.556385,0.103168,0.754372,0.690671
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,24,0.0288,0.00155,0.554104,0.101184,0.748061,0.685638
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,25,0.028064,0.001491,0.548783,0.102304,0.743472,0.680642
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,26,0.028736,0.001621,0.549804,0.10144,0.745292,0.681601
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,27,0.029152,0.00166,0.547633,0.10048,0.742872,0.678925
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,28,0.028992,0.001861,0.542454,0.103072,0.733852,0.676379
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,29,0.029472,0.00151,0.549204,0.100704,0.744361,0.68089
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,30,0.028416,0.00155,0.549914,0.102208,0.745682,0.682088
3,double,uniform,GPU,"P | P | Ns | Ns | Ns | Ns",128,31,0.030144,0.00144,0.549174,0.103488,0.746662,0.684246
