dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ds | Ds",128,37,0.031168,0,0.03359,0.007936,0.111679,0.072694
1,double,uniform,CPU,"Ds | Ds",128,38,0.031232,0,0.033749,0.006528,0.110079,0.071509
1,double,uniform,CPU,"Ds | Ds",128,39,0.031456,0,0.03419,0.008992,0.113969,0.074638
1,double,uniform,CPU,"Ds | Ds",128,40,0.031168,0,0.03383,0.00704,0.110269,0.072038
1,double,uniform,CPU,"Ds | Ds",128,41,0.02976,0,0.03352,0.00736,0.111909,0.07064
1,double,uniform,CPU,"Ds | Ds",128,42,0.030304,0,0.03471,0.006176,0.111299,0.07119
1,double,uniform,CPU,"Ds | Ds",128,43,0.030848,0,0.03443,0.005856,0.112529,0.071134
1,double,uniform,CPU,"Ds | Ds",128,44,0.032672,0,0.033649,0.006368,0.111869,0.072689
1,double,uniform,CPU,"Ds | Ds",128,45,0.036544,0,0.033439,0.007456,0.118669,0.077439
1,double,uniform,CPU,"Ds | Ds",128,46,0.029248,0,0.03418,0.006912,0.109679,0.07034
1,double,uniform,CPU,"Ds | Ds",128,47,0.03328,0,0.033839,0.006336,0.113449,0.073455
1,double,uniform,CPU,"Ds | Ds",128,48,0.030272,0,0.03357,0.006144,0.110979,0.069986
1,double,uniform,CPU,"Ds | Ds",128,49,0.030624,0,0.03405,0.006176,0.110619,0.07085
1,double,uniform,CPU,"Ds | Ds",128,50,0.029984,0,0.03366,0.00656,0.112989,0.070204
1,double,uniform,CPU,"Ds | Ds",128,51,0.112544,0,0.03353,0.008096,0.193868,0.15417
1,double,uniform,CPU,"Ds | Ds",128,52,0.028736,0,0.03411,0.006432,0.107599,0.069278
1,double,uniform,CPU,"Ds | Ds",128,53,0.029248,0,0.03367,0.008192,0.110659,0.07111
1,double,uniform,CPU,"Ds | Ds",128,54,0.028768,0,0.03351,0.005696,0.10792,0.067974
1,double,uniform,CPU,"Ds | Ds",128,55,0.029024,0,0.033679,0.00752,0.110779,0.070223
1,double,uniform,CPU,"Ds | Ds",128,56,0.029888,0,0.033889,0.0064,0.110749,0.070177
1,double,uniform,CPU,"Ds | Ds",128,57,0.029952,0,0.03393,0.006336,0.111039,0.070218
1,double,uniform,CPU,"Ds | Ds",128,58,0.029472,0,0.034279,0.00608,0.109389,0.069831
1,double,uniform,CPU,"Ds | Ds",128,59,0.0288,0,0.02991,0.009472,0.099039,0.068182
1,double,uniform,CPU,"Ds | Ds",128,60,0.028608,0,0.03419,0.00592,0.110909,0.068718
1,double,uniform,CPU,"Ds | Ds",128,61,0.030624,0,0.033439,0.005664,0.109449,0.069727
1,double,uniform,CPU,"Ds | Ds",128,62,0.031328,0,0.033789,0.005952,0.110939,0.071069
1,double,uniform,CPU,"Ds | Ds",128,63,0.030016,0,0.03359,0.007392,0.10967,0.070998
1,double,uniform,CPU,"Ds | Ds",128,64,0.030176,0,0.03356,0.005632,0.10979,0.069368
1,double,uniform,CPU,"Ds | Ds",128,65,0.029088,0,0.033479,0.006144,0.108739,0.068711
1,double,uniform,CPU,"Ds | Ds",128,66,0.030944,0,0.03409,0.006784,0.109449,0.071818
1,double,uniform,CPU,"Ds | Ds",128,67,0.03152,0,0.033629,0.005792,0.110959,0.070941
1,double,uniform,CPU,"Ds | Ds",128,68,0.029728,0,0.03329,0.006016,0.109599,0.069034
1,double,uniform,CPU,"Ds | Ds",128,69,0.03216,0,0.03499,0.005952,0.116279,0.073102
1,double,uniform,CPU,"Ds | Ds",128,70,0.030048,0,0.034049,0.006048,0.108719,0.070145
1,double,uniform,CPU,"Ds | Ds",128,71,0.028256,0,0.03352,0.006688,0.1087,0.068464
1,double,uniform,CPU,"Ds | Ds",128,72,0.03328,0,0.033259,0.006688,0.112869,0.073227
1,double,uniform,CPU,"Ds | Ds",128,73,0.033152,0,0.03417,0.007552,0.115818,0.074874
1,double,uniform,CPU,"Ds | Ds",128,74,0.029632,0,0.0336,0.006656,0.109389,0.069888
