dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | N | D",128,30,0.78608,0.00157,0.07714,0.029504,0.948869,0.894294
3,float,uniform,CPU,"P | P | P | P | N | D",128,31,0.78512,0.00158,0.07622,0.030656,0.948089,0.893576
3,float,uniform,CPU,"P | P | P | P | N | D",128,32,0.772128,0.00164,0.071029,0.030656,0.923629,0.875453
3,float,uniform,CPU,"P | P | P | P | N | D",128,33,0.786912,0.001711,0.077278,0.029632,0.949829,0.895533
3,float,uniform,CPU,"P | P | P | P | N | D",128,34,0.773824,0.001609,0.075849,0.029024,0.95229,0.880306
3,float,uniform,CPU,"P | P | P | P | N | D",128,35,0.780064,0.0019,0.076489,0.030016,0.94533,0.888469
3,float,uniform,CPU,"P | P | P | P | N | D",128,36,0.772928,0.001599,0.076109,0.02944,0.93688,0.880076
3,float,uniform,CPU,"P | P | P | P | N | D",128,37,0.774208,0.001541,0.076398,0.029632,0.93441,0.881779
3,float,uniform,CPU,"P | P | P | P | N | D",128,38,0.787328,0.001541,0.07688,0.028096,0.94936,0.893845
3,float,uniform,CPU,"P | P | P | P | N | D",128,39,0.77504,0.001691,0.08008,0.029056,0.94157,0.885867
3,float,uniform,CPU,"P | P | P | P | N | D",128,40,0.767648,0.00165,0.070289,0.031328,0.91816,0.870915
3,float,uniform,CPU,"P | P | P | P | N | D",128,41,0.85568,0.001599,0.074798,0.028448,1.0138,0.960525
3,float,uniform,CPU,"P | P | P | P | N | D",128,42,0.777888,0.001579,0.076299,0.028448,0.94494,0.884214
3,float,uniform,CPU,"P | P | P | P | N | D",128,43,0.786368,0.001611,0.076369,0.029568,0.94811,0.893916
3,float,uniform,CPU,"P | P | P | P | N | D",128,44,0.816576,0.001629,0.07712,0.027264,0.978529,0.922589
3,float,uniform,CPU,"P | P | P | P | N | D",128,45,0.860512,0.00158,0.071899,0.031808,1.01361,0.965799
3,float,uniform,CPU,"P | P | P | P | N | D",128,46,0.881792,0.001588,0.076659,0.029504,1.04421,0.989543
3,float,uniform,CPU,"P | P | P | P | N | D",128,47,0.786592,0.00163,0.077199,0.03008,0.95185,0.895501
