dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,60,0.243648,0.001521,0.102678,0.019808,0.421999,0.367655
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,61,0.24272,0.001511,0.10218,0.022496,0.425708,0.368907
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,62,0.234272,0.001529,0.10364,0.021184,0.522978,0.360625
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,63,0.241184,0.00158,0.096069,0.024032,0.406739,0.362865
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,64,0.235488,0.00159,0.10194,0.019968,0.419748,0.358986
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,65,0.236,0.00152,0.102439,0.021728,0.417598,0.361687
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,66,0.237504,0.001559,0.103249,0.019456,0.419018,0.361768
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,67,0.239648,0.00165,0.10339,0.023424,0.423598,0.368112
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,68,0.364928,0.00153,0.10213,0.022016,0.541947,0.490604
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,69,0.237536,0.001631,0.10262,0.021824,0.418239,0.363611
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,70,0.237792,0.00155,0.10178,0.021664,0.417018,0.362786
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,71,0.237856,0.00151,0.10351,0.02304,0.421308,0.365916
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,72,0.232992,0.00175,0.102919,0.023264,0.415749,0.360925
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,73,0.242624,0.00154,0.101999,0.021824,0.422758,0.367987
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",64,74,0.2384,0.00152,0.102621,0.02304,0.421218,0.365581
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,0,1.78256,0.001941,0.444458,0.100736,2.40142,2.32969
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,1,1.52902,0.0017,0.443978,0.095552,2.1333,2.07025
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,2,1.54291,0.00172,0.445728,0.0944,2.1428,2.08476
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,3,1.58147,0.00166,0.441828,0.094816,2.17856,2.11978
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,4,1.51552,0.001619,0.442928,0.092992,2.11183,2.05306
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,5,1.55574,0.001701,0.443459,0.094528,2.15111,2.09543
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,6,1.52829,0.001681,0.443459,0.093632,2.12882,2.06706
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,7,1.53827,0.002,0.450078,0.101248,2.17669,2.0916
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,8,1.54211,0.002041,0.450088,0.099808,2.17734,2.09405
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,9,1.49734,0.00169,0.442998,0.094944,2.09434,2.03698
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,10,1.6001,0.00197,0.437488,0.09728,2.19109,2.13683
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,11,1.48851,0.001649,0.444508,0.095392,2.09214,2.03006
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,12,1.51158,0.00165,0.443928,0.094528,2.11315,2.05169
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,13,1.52781,0.00165,0.449888,0.095136,2.13263,2.07448
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,14,1.5319,0.00163,0.456649,0.095424,2.14446,2.08561
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,15,1.50493,0.0017,0.443518,0.095296,2.10579,2.04544
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,16,1.53056,0.00163,0.443308,0.094368,2.131,2.06987
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,17,1.51286,0.001599,0.447088,0.09408,2.11342,2.05563
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,18,1.56781,0.001669,0.442458,0.095936,2.16766,2.10787
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,19,1.55261,0.00171,0.443287,0.09696,2.15445,2.09457
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,20,1.51085,0.00179,0.442828,0.095808,2.10941,2.05127
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,21,1.54205,0.002,0.450478,0.100512,2.18096,2.09504
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,22,1.52509,0.0019,0.444218,0.094784,2.12603,2.06599
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,23,1.53242,0.001709,0.443638,0.094528,2.13316,2.07229
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,24,1.51453,0.00178,0.448688,0.094592,2.11968,2.05959
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,25,1.53939,0.00183,0.442288,0.094592,2.14113,2.0781
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,26,1.53414,0.00184,0.443528,0.094752,2.14203,2.07426
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,27,1.50909,0.001559,0.443477,0.093504,2.10722,2.04763
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,28,1.52586,0.00174,0.441937,0.093472,2.12218,2.063
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,29,1.51568,0.00171,0.442089,0.096,2.11265,2.05548
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,30,1.54202,0.00179,0.442748,0.09536,2.14107,2.08191
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,31,1.49702,0.00161,0.443908,0.095616,2.10162,2.03816
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,32,1.6031,0.001661,0.443589,0.094368,2.20628,2.14272
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,33,1.51757,0.00161,0.442648,0.094624,2.1172,2.05645
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,34,1.55152,0.00164,0.442898,0.093984,2.14795,2.09004
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,35,1.54435,0.00168,0.443887,0.096,2.14769,2.08592
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,36,1.49712,0.00167,0.437058,0.098496,2.08723,2.03434
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,37,1.50694,0.0016,0.443118,0.09312,2.10634,2.04478
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,38,1.54371,0.00199,0.450358,0.098784,2.18006,2.09484
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,39,1.53245,0.00196,0.442908,0.094688,2.13337,2.072
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,40,1.49805,0.00182,0.448427,0.096448,2.10264,2.04474
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,41,1.52112,0.00178,0.442639,0.094976,2.122,2.06052
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,42,1.51642,0.00172,0.444248,0.093408,2.11606,2.05579
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,43,1.55936,0.00162,0.437698,0.0984,2.15035,2.09708
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,44,1.54339,0.00172,0.443108,0.0936,2.14292,2.08182
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,45,1.49805,0.00175,0.444058,0.096672,2.10239,2.04053
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,46,1.54835,0.00162,0.441988,0.096864,2.14899,2.08882
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,47,1.5271,0.001599,0.441948,0.094336,2.12552,2.06499
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,48,1.52102,0.0016,0.441537,0.094656,2.11794,2.05882
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,49,1.51066,0.001721,0.441368,0.095296,2.10785,2.04904
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,50,1.54758,0.00197,0.437518,0.095712,2.13899,2.08278
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,51,1.5199,0.001529,0.442678,0.094368,2.19284,2.05848
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,52,1.4896,0.0016,0.436779,0.097856,2.07507,2.02584
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,53,1.49754,0.001549,0.442628,0.093248,2.09348,2.03496
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,54,1.54848,0.00153,0.442619,0.093632,2.14595,2.08626
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,55,1.50723,0.00171,0.443478,0.095872,2.10801,2.04829
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,56,1.63488,0.00155,0.442437,0.093248,2.23171,2.17211
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,57,1.51843,0.00168,0.440278,0.100064,2.11446,2.06045
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,58,1.51987,0.001591,0.441798,0.094176,2.11656,2.05744
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,59,1.50262,0.001721,0.441157,0.09456,2.09993,2.04006
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,60,1.51821,0.0018,0.442708,0.09536,2.11827,2.05808
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,61,1.53152,0.00164,0.442698,0.096288,2.13258,2.07215
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,62,1.55702,0.001581,0.448498,0.093184,2.15691,2.10029
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,63,1.51658,0.001629,0.457409,0.094944,2.1296,2.07056
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,64,1.50406,0.001569,0.442118,0.094784,2.09937,2.04254
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,65,1.51568,0.001679,0.442818,0.095072,2.1163,2.05525
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,66,1.55626,0.00158,0.443858,0.097056,2.15788,2.09875
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,67,1.55258,0.00163,0.442458,0.09424,2.14743,2.0909
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,68,1.5368,0.00157,0.44235,0.093376,2.13168,2.0741
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,69,1.52506,0.00182,0.441468,0.097248,2.12211,2.06559
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,70,1.53312,0.0021,0.449998,0.103264,2.17439,2.08848
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,71,1.53485,0.00179,0.443989,0.094656,2.13651,2.07528
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,72,1.53997,0.00157,0.442878,0.093856,2.13442,2.07827
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,73,1.5879,0.001641,0.442787,0.093824,2.18739,2.12616
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",128,74,1.5033,0.001591,0.441608,0.096192,2.09901,2.04269
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,0,5.8777,0.001881,1.49266,0.333344,7.78881,7.70558
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,1,5.76851,0.00191,1.49148,0.335936,7.66763,7.59784
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,2,5.60522,0.00187,1.49652,0.3328,7.50508,7.43641
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,3,5.52269,0.00204,1.49074,0.333472,7.41698,7.34894
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,4,5.56301,0.00185,1.49882,0.332832,7.46236,7.39651
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,5,5.52688,0.001779,1.49065,0.332192,7.42262,7.35151
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,6,5.45379,0.001939,1.49159,0.33344,7.34923,7.28076
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,7,5.46714,0.001939,1.49024,0.333376,7.36304,7.2927
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,8,5.49034,0.00199,1.49094,0.332192,7.3867,7.31546
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,9,5.53693,0.0016,1.4906,0.331936,7.42808,7.36107
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,10,5.49702,0.001929,1.49135,0.332832,7.39342,7.32314
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,11,5.468,0.00173,1.48918,0.334304,7.36163,7.29322
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,12,5.76022,0.001641,1.49642,0.336992,7.66774,7.59528
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,13,5.77882,0.00189,1.50259,0.331136,7.68508,7.61444
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,14,5.42749,0.001899,1.49425,0.33424,7.32418,7.25788
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,15,5.46336,0.001821,1.50036,0.337152,7.37341,7.3027
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,16,5.71981,0.00208,1.49323,0.334592,7.64054,7.54971
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,17,5.93645,0.00204,1.49393,0.336096,7.83835,7.76852
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,18,5.47139,0.00175,1.49641,0.336416,7.37579,7.30597
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,19,5.92941,0.001899,1.49288,0.332416,7.82538,7.7566
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,20,5.42115,0.001829,1.4933,0.339072,7.32299,7.25536
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,21,5.4343,0.00194,1.48993,0.333088,7.3283,7.25926
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,22,5.86525,0.00188,1.4964,0.336768,7.77126,7.7003
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,23,5.43363,0.0021,1.50529,0.335392,7.34418,7.27642
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,24,5.43443,0.001911,1.49991,0.339456,7.34831,7.27571
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,25,5.41296,0.00182,1.49643,0.332832,7.31015,7.24405
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,26,5.92861,0.00209,1.49523,0.333632,7.8427,7.75956
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,27,5.55466,0.00182,1.49094,0.33472,7.44836,7.38214
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,28,5.77949,0.00216,1.49244,0.33264,7.68088,7.60673
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,29,5.45635,0.001911,1.49089,0.332224,7.34842,7.28138
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,30,5.68051,0.0017,1.48889,0.336768,7.57339,7.50787
3,double,uniform,CPU,"Ns | Ns | P | P | P | P",192,31,5.44797,0.001919,1.49306,0.335264,7.35058,7.27821
