dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,1.50611,0.00182,0.307466,0.066048,2.10451,1.88145
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,1.51549,0.0018,0.306757,0.066496,2.1111,1.89054
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,1.52602,0.00177,0.306486,0.066464,2.12239,1.90074
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,1.53965,0.001811,0.306397,0.066016,2.13453,1.91387
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,1.5505,0.00186,0.306797,0.064672,2.1435,1.92383
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,1.57978,0.00222,0.312196,0.068832,2.21097,1.96302
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,1.55779,0.00198,0.308437,0.066432,2.1587,1.93464
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,1.53555,0.002041,0.311927,0.067904,2.16604,1.91742
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,1.5064,0.00163,0.308247,0.06656,2.1047,1.88284
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,1.53795,0.00168,0.306397,0.065088,2.13287,1.91112
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,20,1.52582,0.00189,0.307487,0.06608,2.12463,1.90128
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,21,1.53587,0.00189,0.307387,0.06624,2.13225,1.91139
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,22,1.54029,0.00162,0.306417,0.067104,2.1382,1.91543
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,23,1.53088,0.00175,0.306337,0.06592,2.12708,1.90489
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,24,1.62227,0.001821,0.307147,0.065696,2.21724,1.99694
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,25,1.54458,0.00171,0.316466,0.065952,2.15223,1.9287
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,26,1.55434,0.00168,0.308617,0.067744,2.15672,1.93238
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,27,1.50374,0.00229,0.308037,0.066784,2.10394,1.88085
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,28,1.52944,0.001669,0.307586,0.066304,2.12611,1.905
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,29,1.53117,0.001729,0.306696,0.066176,2.12973,1.90577
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,30,1.56214,0.001761,0.307398,0.0648,2.15964,1.9361
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,31,1.5368,0.0016,0.306976,0.066912,2.12994,1.91229
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,32,1.53421,0.0017,0.306787,0.066624,2.13251,1.90932
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,33,1.56426,0.001849,0.306597,0.066432,2.16057,1.93913
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,34,1.56026,0.00203,0.311826,0.068064,2.18846,1.94218
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,35,1.6,0.00184,0.313117,0.06592,2.20291,1.98088
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,36,1.52157,0.001771,0.308086,0.066208,2.12029,1.89763
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,37,1.5111,0.00194,0.307827,0.06752,2.10911,1.88839
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,38,1.53005,0.001719,0.423235,0.065952,2.24274,2.02095
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,39,1.60758,0.0018,0.306547,0.066176,2.20349,1.98211
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,40,1.53264,0.00169,0.307477,0.066112,2.13251,1.90792
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,41,1.544,0.001849,0.307487,0.0664,2.14401,1.91974
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,42,1.54541,0.001879,0.307147,0.066784,2.14473,1.92122
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,43,1.53357,0.00189,0.307986,0.0656,2.12907,1.90904
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,44,1.52701,0.00218,0.307237,0.06608,2.13264,1.90251
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,45,1.49517,0.00184,0.306577,0.066528,2.09836,1.87011
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,46,1.51264,0.002031,0.307856,0.065952,2.11148,1.88848
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,47,1.50534,0.0016,0.307406,0.06544,2.10038,1.87979
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,48,1.56288,0.00167,0.308716,0.064256,2.15954,1.93752
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,49,1.58064,0.00189,0.306537,0.066784,2.1785,1.95585
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,50,1.51882,0.001969,0.306478,0.066048,2.11688,1.89331
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,51,1.5169,0.00178,0.307777,0.065952,2.11594,1.89241
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,52,1.54717,0.00185,0.306287,0.065888,2.14174,1.92119
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,53,1.51997,0.001859,0.307807,0.066304,2.11693,1.89594
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,54,1.51725,0.00163,0.304916,0.066208,2.1045,1.89
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,55,1.52445,0.001571,0.307807,0.069984,2.1266,1.90381
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,56,1.52125,0.00183,0.307267,0.066272,2.11791,1.89662
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,57,1.54986,0.00204,0.306797,0.065696,2.14379,1.92439
3,double,nonuniform_z,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,58,1.55562,0.00165,0.307366,0.066464,2.15536,1.9311
