dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,70,0.151264,0.001531,0.04182,0.01104,0.260517,0.205655
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,71,0.149088,0.001549,0.04218,0.012064,0.256538,0.204881
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,72,0.22192,0.00153,0.04149,0.012288,0.332776,0.277228
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,73,0.153184,0.00156,0.042529,0.01456,0.264717,0.211833
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",64,74,0.151328,0.00146,0.042019,0.012032,0.260407,0.206839
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,0,1.01373,0.00192,0.07724,0.034688,1.1862,1.12758
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,1,0.804608,0.00162,0.076599,0.031392,0.970379,0.914219
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,2,0.8,0.001499,0.07625,0.02944,0.96166,0.907189
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,3,0.804064,0.00148,0.076329,0.029696,0.965539,0.911569
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,4,1.0391,0.00167,0.077458,0.03216,1.20637,1.15039
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,5,0.835904,0.001549,0.07808,0.027616,0.998339,0.943149
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,6,0.801408,0.00161,0.075969,0.028896,0.962419,0.907883
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,7,0.860512,0.001601,0.076319,0.031296,1.02344,0.969728
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,8,0.865792,0.00159,0.076529,0.028672,1.02792,0.972583
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,9,0.795456,0.00158,0.076119,0.029312,0.956589,0.902467
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,10,0.7928,0.0015,0.07626,0.029696,0.953499,0.900256
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,11,0.807168,0.001489,0.076499,0.029536,0.971119,0.914692
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,12,0.79856,0.00149,0.075929,0.028064,0.956429,0.904043
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,13,0.793088,0.00151,0.077569,0.028416,0.950259,0.900583
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,14,0.794464,0.0016,0.076648,0.026976,0.965599,0.899688
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,15,0.802656,0.00173,0.076749,0.028896,0.963289,0.910031
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,16,0.797024,0.001451,0.076619,0.031232,0.96103,0.906326
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,17,0.80128,0.001529,0.076579,0.028416,0.96239,0.907804
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,18,0.79216,0.001659,0.07678,0.031232,0.95572,0.901831
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,19,0.800384,0.00154,0.076619,0.031296,0.96449,0.909839
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,20,0.805664,0.001469,0.076839,0.029056,0.968269,0.913028
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,21,0.869728,0.00155,0.07612,0.029152,1.03177,0.97655
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,22,0.85088,0.00163,0.07806,0.031584,1.017,0.962154
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,23,0.805152,0.00159,0.07745,0.029024,0.96784,0.913216
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,24,0.796224,0.001569,0.076529,0.028672,0.955849,0.902994
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,25,0.809472,0.00144,0.0763,0.029344,0.971019,0.916556
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,26,0.783328,0.00156,0.077509,0.030304,0.945739,0.892701
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,27,0.794304,0.00151,0.076179,0.029952,0.95578,0.901945
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,28,0.791904,0.00154,0.07587,0.031776,0.954579,0.90109
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,29,0.79776,0.00155,0.076669,0.031968,0.963809,0.907947
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,30,0.817696,0.001591,0.07722,0.02912,0.978489,0.925627
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,31,0.802176,0.00153,0.077388,0.028736,0.96689,0.90983
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,32,0.799104,0.00162,0.07655,0.02896,0.960329,0.906234
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,33,0.788864,0.00155,0.07086,0.033792,0.94257,0.895066
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,34,0.795008,0.00163,0.073789,0.0296,0.949329,0.900027
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,35,0.800352,0.001439,0.076549,0.029472,0.959919,0.907812
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,36,0.799488,0.00162,0.076309,0.03136,0.962929,0.908777
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,37,0.921568,0.001531,0.076718,0.031008,1.08491,1.03083
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,38,0.884064,0.00149,0.07638,0.028128,1.04293,0.990062
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,39,0.91296,0.00167,0.077659,0.030176,1.0779,1.02247
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,40,0.809632,0.00162,0.077049,0.030496,0.974549,0.918797
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,41,0.799616,0.00151,0.076279,0.031424,0.96313,0.908829
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,42,0.791552,0.00161,0.06889,0.032096,0.942269,0.894148
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,43,0.788576,0.00156,0.076718,0.027616,0.955869,0.89447
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,44,0.79552,0.001619,0.07622,0.0296,0.958969,0.902959
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,45,0.7968,0.001599,0.073559,0.029312,0.95164,0.90127
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,46,0.79376,0.001479,0.073399,0.028992,0.951639,0.89763
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,47,0.791712,0.00154,0.076341,0.029024,0.952519,0.898617
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,48,0.801984,0.00156,0.077409,0.028352,0.961829,0.909305
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,49,0.971136,0.001519,0.077239,0.028384,1.13342,1.07828
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,50,0.877664,0.00166,0.076439,0.029632,1.04075,0.985395
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,51,0.797376,0.00154,0.076929,0.029984,0.960069,0.905829
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,52,0.856576,0.00151,0.0764,0.030496,1.0202,0.964982
3,float,uniform,CPU,"P | P | Ns | Ns | Ns | Ns",128,53,0.785472,0.00167,0.077358,0.031552,0.9495,0.896052
