dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | P | P",128,15,1.5184,0,0.472645,0.100768,2.14384,2.09181
3,double,uniform,CPU,"P | P | P | P | P | P",128,16,1.53894,0,0.473605,0.103456,2.16871,2.116
3,double,uniform,CPU,"P | P | P | P | P | P",128,17,1.612,0,0.478054,0.119168,2.27174,2.20922
3,double,uniform,CPU,"P | P | P | P | P | P",128,18,1.56947,0,0.473215,0.102752,2.19767,2.14544
3,double,uniform,CPU,"P | P | P | P | P | P",128,19,1.58163,0,0.469735,0.10384,2.20167,2.15521
3,double,uniform,CPU,"P | P | P | P | P | P",128,20,1.5656,0,0.473764,0.1,2.19087,2.13936
3,double,uniform,CPU,"P | P | P | P | P | P",128,21,1.54096,0,0.471434,0.100928,2.16794,2.11332
3,double,uniform,CPU,"P | P | P | P | P | P",128,22,1.53222,0,0.471705,0.100672,2.15825,2.1046
3,double,uniform,CPU,"P | P | P | P | P | P",128,23,1.58138,0,0.472105,0.101504,2.20661,2.15499
3,double,uniform,CPU,"P | P | P | P | P | P",128,24,1.52707,0,0.472875,0.102432,2.15196,2.10238
3,double,uniform,CPU,"P | P | P | P | P | P",128,25,1.54765,0,0.472315,0.100512,2.17401,2.12048
3,double,uniform,CPU,"P | P | P | P | P | P",128,26,1.58051,0,0.471835,0.104224,2.2098,2.15657
3,double,uniform,CPU,"P | P | P | P | P | P",128,27,1.55802,0,0.473395,0.100736,2.18533,2.13215
3,double,uniform,CPU,"P | P | P | P | P | P",128,28,1.51536,0,0.472464,0.101664,2.14165,2.08949
3,double,uniform,CPU,"P | P | P | P | P | P",128,29,1.55434,0,0.472614,0.100896,2.18035,2.12785
3,double,uniform,CPU,"P | P | P | P | P | P",128,30,1.54304,0,0.472405,0.100704,2.16586,2.11615
3,double,uniform,CPU,"P | P | P | P | P | P",128,31,1.54493,0,0.471755,0.102176,2.16993,2.11886
3,double,uniform,CPU,"P | P | P | P | P | P",128,32,1.53594,0,0.472434,0.103904,2.16872,2.11227
3,double,uniform,CPU,"P | P | P | P | P | P",128,33,1.54128,0,0.473204,0.101856,2.16856,2.11634
3,double,uniform,CPU,"P | P | P | P | P | P",128,34,1.53043,0,0.472225,0.10096,2.15727,2.10362
3,double,uniform,CPU,"P | P | P | P | P | P",128,35,1.54224,0,0.478595,0.116512,2.21373,2.13735
3,double,uniform,CPU,"P | P | P | P | P | P",128,36,1.51635,0,0.473574,0.104192,2.14681,2.09412
3,double,uniform,CPU,"P | P | P | P | P | P",128,37,1.57392,0,0.472645,0.102144,2.20117,2.14871
3,double,uniform,CPU,"P | P | P | P | P | P",128,38,1.54237,0,0.472094,0.101696,2.16714,2.11616
3,double,uniform,CPU,"P | P | P | P | P | P",128,39,1.58589,0,0.473455,0.101952,2.21332,2.16129
3,double,uniform,CPU,"P | P | P | P | P | P",128,40,1.5303,0,0.482695,0.098976,2.16481,2.11197
3,double,uniform,CPU,"P | P | P | P | P | P",128,41,1.53075,0,0.473684,0.104864,2.16632,2.1093
3,double,uniform,CPU,"P | P | P | P | P | P",128,42,1.5689,0,0.476434,0.101376,2.19948,2.14671
3,double,uniform,CPU,"P | P | P | P | P | P",128,43,1.52282,0,0.472925,0.102432,2.15008,2.09817
3,double,uniform,CPU,"P | P | P | P | P | P",128,44,1.57168,0,0.472564,0.101696,2.19679,2.14594
3,double,uniform,CPU,"P | P | P | P | P | P",128,45,1.54506,0,0.472985,0.099552,2.16915,2.11759
3,double,uniform,CPU,"P | P | P | P | P | P",128,46,1.54083,0,0.475495,0.10192,2.1717,2.11825
