dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,67,0.795456,0.00154,0.0716,0.02192,0.928799,0.890516
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,68,0.805792,0.00179,0.075798,0.018432,0.94598,0.901812
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,69,0.820512,0.001471,0.07616,0.018528,0.96119,0.916671
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,70,0.959168,0.0016,0.075339,0.018848,1.0993,1.05496
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,71,0.791616,0.00152,0.06702,0.022144,0.918789,0.8823
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,72,0.80144,0.00148,0.081237,0.01984,0.947149,0.903997
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,73,0.811872,0.0016,0.07493,0.01968,0.950079,0.908082
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",128,74,0.806944,0.001761,0.077399,0.021152,0.961199,0.907256
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,2.65693,0.00206,0.164938,0.052672,2.94403,2.8766
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,2.60624,0.001739,0.154678,0.048928,2.86355,2.81159
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,2.63197,0.00179,0.149908,0.048736,2.8785,2.8324
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,2.66202,0.002059,0.164978,0.052736,2.95282,2.88179
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,2.59642,0.00181,0.153137,0.048032,2.85134,2.7994
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,2.59542,0.001609,0.144008,0.048512,2.83539,2.78955
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,6,2.6287,0.001521,0.149848,0.046496,2.87364,2.82657
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,7,2.65155,0.0017,0.15193,0.045984,2.90086,2.85117
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,8,2.6183,0.001749,0.150768,0.046784,2.8653,2.81761
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,9,2.58086,0.001929,0.149409,0.047072,2.8278,2.77927
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,10,2.57786,0.001529,0.149869,0.04736,2.83482,2.77661
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,11,2.58266,0.00163,0.151309,0.046592,2.83164,2.78219
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,12,2.5911,0.00179,0.151819,0.047648,2.84331,2.79236
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,13,2.6049,0.00183,0.151089,0.045888,2.85468,2.8037
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,14,2.57875,0.001479,0.14911,0.04688,2.82214,2.77622
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,15,2.58816,0.001589,0.213178,0.046688,2.90061,2.84962
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,16,2.58662,0.001661,0.152769,0.047968,2.84091,2.78902
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,17,2.59888,0.00173,0.151399,0.046816,2.847,2.79882
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,18,2.60074,0.00167,0.151377,0.048064,2.86314,2.80185
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,19,2.7712,0.00216,0.161198,0.053856,3.05615,2.98841
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,20,2.60246,0.00179,0.150258,0.04848,2.86025,2.80299
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,21,2.59754,0.00171,0.152168,0.049728,2.85347,2.80114
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,22,2.65917,0.00172,0.150498,0.046848,2.90775,2.85823
3,float,uniform,CPU,"Ds | Ds | Ds | Ds | Ns | Ds",192,23,2.63456,0.00207,0.160288,0.05344,2.91792,2.85036
