dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | N | D",64,69,0.014784,0.00153,0.04294,0.01376,0.136408,0.073014
3,float,uniform,GPU,"P | P | P | P | N | D",64,70,0.01488,0.001582,0.04169,0.013504,0.134778,0.071656
3,float,uniform,GPU,"P | P | P | P | N | D",64,71,0.013408,0.00147,0.042069,0.012992,0.132418,0.069939
3,float,uniform,GPU,"P | P | P | P | N | D",64,72,0.009184,0.00153,0.04204,0.013312,0.128228,0.066066
3,float,uniform,GPU,"P | P | P | P | N | D",64,73,0.014304,0.001518,0.042081,0.012512,0.132898,0.070415
3,float,uniform,GPU,"P | P | P | P | N | D",64,74,0.014464,0.00146,0.041649,0.013504,0.134669,0.071077
3,float,uniform,GPU,"P | P | P | P | N | D",128,0,0.030368,0.00174,0.08966,0.03376,0.218178,0.155528
3,float,uniform,GPU,"P | P | P | P | N | D",128,1,0.01696,0.001901,0.078659,0.028928,0.196847,0.126448
3,float,uniform,GPU,"P | P | P | P | N | D",128,2,0.018496,0.0016,0.075789,0.028736,0.184967,0.124621
3,float,uniform,GPU,"P | P | P | P | N | D",128,3,0.01824,0.001751,0.077239,0.06768,0.227377,0.16491
3,float,uniform,GPU,"P | P | P | P | N | D",128,4,0.01696,0.001709,0.068669,0.031456,0.172148,0.118794
3,float,uniform,GPU,"P | P | P | P | N | D",128,5,0.018112,0.00158,0.073069,0.030688,0.180878,0.123449
3,float,uniform,GPU,"P | P | P | P | N | D",128,6,0.02432,0.00172,0.077209,0.030208,0.195348,0.133457
3,float,uniform,GPU,"P | P | P | P | N | D",128,7,0.017568,0.001661,0.076378,0.029056,0.185118,0.124663
3,float,uniform,GPU,"P | P | P | P | N | D",128,8,0.0176,0.00149,0.07756,0.028512,0.185598,0.125162
3,float,uniform,GPU,"P | P | P | P | N | D",128,9,0.02672,0.00153,0.07812,0.02848,0.194857,0.13485
3,float,uniform,GPU,"P | P | P | P | N | D",128,10,0.018752,0.00157,0.07673,0.028416,0.186128,0.125468
3,float,uniform,GPU,"P | P | P | P | N | D",128,11,0.019232,0.001591,0.076469,0.02928,0.186268,0.126572
3,float,uniform,GPU,"P | P | P | P | N | D",128,12,0.018752,0.001461,0.076139,0.02896,0.185918,0.125312
3,float,uniform,GPU,"P | P | P | P | N | D",128,13,0.018816,0.00151,0.07545,0.027904,0.184277,0.12368
3,float,uniform,GPU,"P | P | P | P | N | D",128,14,0.0192,0.00161,0.07581,0.029312,0.185218,0.125932
3,float,uniform,GPU,"P | P | P | P | N | D",128,15,0.019424,0.001452,0.076788,0.027584,0.185948,0.125248
3,float,uniform,GPU,"P | P | P | P | N | D",128,16,0.016896,0.001491,0.07624,0.031776,0.187128,0.126403
3,float,uniform,GPU,"P | P | P | P | N | D",128,17,0.017312,0.001559,0.077039,0.02928,0.185908,0.12519
3,float,uniform,GPU,"P | P | P | P | N | D",128,18,0.0184,0.00151,0.07658,0.02944,0.186247,0.12593
3,float,uniform,GPU,"P | P | P | P | N | D",128,19,0.017472,0.00155,0.07585,0.029248,0.183988,0.12412
3,float,uniform,GPU,"P | P | P | P | N | D",128,20,0.019072,0.00186,0.07764,0.028864,0.190327,0.127436
3,float,uniform,GPU,"P | P | P | P | N | D",128,21,0.017504,0.001541,0.07584,0.028672,0.184728,0.123557
3,float,uniform,GPU,"P | P | P | P | N | D",128,22,0.018496,0.001439,0.077238,0.033024,0.191498,0.130197
3,float,uniform,GPU,"P | P | P | P | N | D",128,23,0.019264,0.001541,0.068529,0.03408,0.176288,0.123414
3,float,uniform,GPU,"P | P | P | P | N | D",128,24,0.016608,0.001521,0.076138,0.029504,0.184308,0.123771
3,float,uniform,GPU,"P | P | P | P | N | D",128,25,0.01808,0.00166,0.07807,0.029056,0.187037,0.126866
3,float,uniform,GPU,"P | P | P | P | N | D",128,26,0.02624,0.00155,0.07539,0.028,0.191798,0.13118
3,float,uniform,GPU,"P | P | P | P | N | D",128,27,0.020288,0.00147,0.071028,0.029664,0.175728,0.12245
3,float,uniform,GPU,"P | P | P | P | N | D",128,28,0.016736,0.00154,0.072939,0.02928,0.177108,0.120495
3,float,uniform,GPU,"P | P | P | P | N | D",128,29,0.02624,0.00145,0.076699,0.029536,0.195468,0.133925
3,float,uniform,GPU,"P | P | P | P | N | D",128,30,0.020192,0.00151,0.166479,0.02704,0.276827,0.215221
3,float,uniform,GPU,"P | P | P | P | N | D",128,31,0.019104,0.00168,0.076549,0.028064,0.193208,0.125397
3,float,uniform,GPU,"P | P | P | P | N | D",128,32,0.018592,0.00147,0.07592,0.027904,0.184028,0.123886
3,float,uniform,GPU,"P | P | P | P | N | D",128,33,0.016992,0.001491,0.076058,0.031008,0.186578,0.125549
3,float,uniform,GPU,"P | P | P | P | N | D",128,34,0.02064,0.001881,0.077249,0.03216,0.192098,0.13193
3,float,uniform,GPU,"P | P | P | P | N | D",128,35,0.0192,0.001591,0.076818,0.02736,0.186547,0.124969
3,float,uniform,GPU,"P | P | P | P | N | D",128,36,0.026048,0.00152,0.07645,0.029344,0.193548,0.133362
3,float,uniform,GPU,"P | P | P | P | N | D",128,37,0.01728,0.0015,0.076229,0.02992,0.185498,0.124929
3,float,uniform,GPU,"P | P | P | P | N | D",128,38,0.017376,0.00158,0.310806,0.0296,0.420636,0.359362
3,float,uniform,GPU,"P | P | P | P | N | D",128,39,0.01904,0.00189,0.07632,0.028832,0.180838,0.126082
3,float,uniform,GPU,"P | P | P | P | N | D",128,40,0.035264,0.002,0.084879,0.037728,0.221517,0.159871
3,float,uniform,GPU,"P | P | P | P | N | D",128,41,0.020384,0.001679,0.076558,0.03008,0.189578,0.128701
3,float,uniform,GPU,"P | P | P | P | N | D",128,42,0.017472,0.00156,0.076688,0.029568,0.185038,0.125288
3,float,uniform,GPU,"P | P | P | P | N | D",128,43,0.01808,0.00156,0.07706,0.030496,0.187798,0.127196
3,float,uniform,GPU,"P | P | P | P | N | D",128,44,0.017152,0.0018,0.077099,0.028864,0.180438,0.124915
3,float,uniform,GPU,"P | P | P | P | N | D",128,45,0.02672,0.00161,0.07033,0.030976,0.183078,0.129636
3,float,uniform,GPU,"P | P | P | P | N | D",128,46,0.018464,0.00159,0.076118,0.02976,0.185678,0.125932
3,float,uniform,GPU,"P | P | P | P | N | D",128,47,0.016832,0.001561,0.077869,0.029152,0.290546,0.125414
