dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,10,1.50566,0,0.493155,0.060128,2.10621,2.05895
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,11,1.50966,0,0.494824,0.062208,2.11137,2.0667
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,12,1.53603,0,0.493195,0.061504,2.13562,2.09073
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,13,1.53731,0,0.492404,0.060768,2.13382,2.09048
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,14,1.51232,0,0.493484,0.059808,2.11423,2.06561
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,15,1.52278,0,0.494435,0.057312,2.12003,2.07453
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,16,1.51274,0,0.493884,0.06144,2.1114,2.06806
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,17,1.55485,0,0.493685,0.0624,2.15627,2.11093
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,18,1.57578,0,0.493574,0.062432,2.17611,2.13178
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,19,1.4944,0,0.495404,0.059392,2.09346,2.0492
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,20,1.51133,0,0.492804,0.061184,2.11128,2.06532
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,21,1.5057,0,0.495596,0.062816,2.11017,2.06411
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,22,1.54003,0,0.507465,0.069952,2.18804,2.11745
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,23,1.49526,0,0.502655,0.06928,2.13022,2.0672
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,24,1.50979,0,0.494684,0.06048,2.11167,2.06496
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,25,1.55606,0,0.493814,0.0592,2.15734,2.10908
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,26,1.508,0,0.492614,0.061184,2.10453,2.0618
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,27,1.55725,0,0.496064,0.059744,2.15881,2.11306
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,28,1.56058,0,0.493845,0.06096,2.15958,2.11538
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,29,1.53798,0,0.494945,0.059488,2.13527,2.09242
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,30,1.50486,0,0.488874,0.061056,2.0952,2.05479
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,31,1.50454,0,0.495635,0.062208,2.10842,2.06239
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,32,1.53779,0,0.508444,0.068416,2.18418,2.11465
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,33,1.53981,0,0.494014,0.061664,2.14274,2.09549
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,34,1.51296,0,0.494084,0.05952,2.11463,2.06656
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,35,1.49952,0,0.493964,0.059488,2.09855,2.05297
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,36,1.51229,0,0.494704,0.061312,2.11253,2.0683
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,37,1.54224,0,0.506424,0.066656,2.19016,2.11532
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,38,1.52339,0,0.494325,0.059488,2.12173,2.0772
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,39,1.5079,0,0.492594,0.059968,2.10246,2.06047
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,40,1.52643,0,0.493724,0.0608,2.12634,2.08096
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,41,1.52051,0,0.492135,0.061408,2.1195,2.07405
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,42,1.55168,0,0.508394,0.067968,2.19714,2.12804
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,43,1.56992,0,0.507214,0.065664,2.21236,2.1428
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,44,1.51152,0,0.493204,0.061152,2.11287,2.06588
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,45,1.51043,0,0.494334,0.060448,2.11274,2.06521
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,46,1.49379,0,0.495215,0.061408,2.09246,2.05042
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,47,1.49446,0,0.492935,0.059104,2.09111,2.0465
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,48,1.49398,0,0.533134,0.0632,2.12987,2.09032
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,49,1.51366,0,0.491974,0.060672,2.11204,2.06631
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,50,1.53456,0,0.496284,0.0624,2.13921,2.09324
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,51,1.49222,0,0.492545,0.06016,2.08607,2.04493
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,52,1.61763,0,0.507854,0.06816,2.26337,2.19365
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,53,1.5449,0,0.506034,0.0664,2.1863,2.11733
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,54,1.51514,0,0.494035,0.061568,2.11801,2.07074
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,55,1.52006,0,0.493845,0.060256,2.12005,2.07416
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,56,1.51331,0,0.494514,0.059968,2.11185,2.06779
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,57,1.54662,0,0.492634,0.06192,2.14702,2.10118
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,58,1.56829,0,0.494675,0.059104,2.16617,2.12207
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,59,1.4975,0,0.493124,0.060064,2.09456,2.05069
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,60,1.52646,0,0.491335,0.061216,2.12327,2.07901
3,double,uniform,CPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,61,1.53808,0,0.494314,0.0632,2.13939,2.09559
