dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"P | P",128,23,0.013952,0,0.02978,0.01344,0.099168,0.057172
1,double,uniform,GPU,"P | P",128,24,0.011808,0,0.02949,0.011328,0.093028,0.052626
1,double,uniform,GPU,"P | P",128,25,0.012928,0,0.025949,0.015328,0.095189,0.054205
1,double,uniform,GPU,"P | P",128,26,0.013248,0,0.02949,0.015008,0.099369,0.057746
1,double,uniform,GPU,"P | P",128,27,0.012608,0,0.030059,0.011392,0.095789,0.054059
1,double,uniform,GPU,"P | P",128,28,0.012128,0,0.029449,0.0136,0.099869,0.055177
1,double,uniform,GPU,"P | P",128,29,0.012288,0,0.03002,0.012512,0.096269,0.05482
1,double,uniform,GPU,"P | P",128,30,0.013088,0,0.02959,0.013952,0.099409,0.05663
1,double,uniform,GPU,"P | P",128,31,0.01328,0,0.029789,0.015136,0.099579,0.058205
1,double,uniform,GPU,"P | P",128,32,0.01408,0,0.0295,0.012832,0.097039,0.056412
1,double,uniform,GPU,"P | P",128,33,0.011584,0,0.02939,0.014112,0.095488,0.055086
1,double,uniform,GPU,"P | P",128,34,0.013408,0,0.02952,0.012576,0.096309,0.055504
1,double,uniform,GPU,"P | P",128,35,0.012192,0,0.029969,0.011616,0.094589,0.053777
1,double,uniform,GPU,"P | P",128,36,0.01296,0,0.02945,0.01248,0.095959,0.05489
1,double,uniform,GPU,"P | P",128,37,0.013568,0,0.029799,0.012576,0.097979,0.055943
1,double,uniform,GPU,"P | P",128,38,0.011936,0,0.03555,0.014912,0.104469,0.062398
1,double,uniform,GPU,"P | P",128,39,0.012096,0,0.03003,0.012,0.286376,0.054126
1,double,uniform,GPU,"P | P",128,40,0.012512,0,0.02923,0.013984,0.094879,0.055726
1,double,uniform,GPU,"P | P",128,41,0.01152,0,0.02976,0.011104,0.093889,0.052384
1,double,uniform,GPU,"P | P",128,42,0.012832,0,0.029459,0.011936,0.094679,0.054227
1,double,uniform,GPU,"P | P",128,43,0.012192,0,0.029339,0.013152,0.094999,0.054683
1,double,uniform,GPU,"P | P",128,44,0.01312,0,0.02955,0.012864,0.096139,0.055534
1,double,uniform,GPU,"P | P",128,45,0.012992,0,0.029269,0.01136,0.093859,0.053621
1,double,uniform,GPU,"P | P",128,46,0.010336,0,0.02929,0.014016,0.094649,0.053642
1,double,uniform,GPU,"P | P",128,47,0.011968,0,0.02924,0.012992,0.094768,0.0542
1,double,uniform,GPU,"P | P",128,48,0.103776,0,0.02933,0.015488,0.190188,0.148594
1,double,uniform,GPU,"P | P",128,49,0.013344,0,0.029329,0.013088,0.096499,0.055761
1,double,uniform,GPU,"P | P",128,50,0.012768,0,0.029629,0.013568,0.097499,0.055965
1,double,uniform,GPU,"P | P",128,51,0.012288,0,0.02959,0.012608,0.094909,0.054486
1,double,uniform,GPU,"P | P",128,52,0.01248,0,0.02954,0.015264,0.098549,0.057284
1,double,uniform,GPU,"P | P",128,53,0.012352,0,0.029669,0.015232,0.098889,0.057253
