dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | P | P",128,8,0.795008,0,0.060849,0.029696,0.93874,0.885553
3,float,uniform,CPU,"P | P | P | P | P | P",128,9,0.793632,0,0.057199,0.031648,0.930289,0.882479
3,float,uniform,CPU,"P | P | P | P | P | P",128,10,0.78448,0,0.060779,0.03104,0.9307,0.876299
3,float,uniform,CPU,"P | P | P | P | P | P",128,11,0.810368,0,0.065989,0.036992,0.994679,0.913349
3,float,uniform,CPU,"P | P | P | P | P | P",128,12,0.785184,0,0.06106,0.030752,0.93237,0.876996
3,float,uniform,CPU,"P | P | P | P | P | P",128,13,0.784704,0,0.05698,0.032512,0.92379,0.874196
3,float,uniform,CPU,"P | P | P | P | P | P",128,14,0.78672,0,0.061099,0.028192,0.933099,0.876011
3,float,uniform,CPU,"P | P | P | P | P | P",128,15,0.82784,0,0.06166,0.028896,0.973489,0.918396
3,float,uniform,CPU,"P | P | P | P | P | P",128,16,0.785312,0,0.061259,0.031104,0.93218,0.877675
3,float,uniform,CPU,"P | P | P | P | P | P",128,17,0.785024,0,0.06053,0.029504,0.92958,0.875058
3,float,uniform,CPU,"P | P | P | P | P | P",128,18,0.78736,0,0.06105,0.030496,0.93325,0.878906
3,float,uniform,CPU,"P | P | P | P | P | P",128,19,0.827552,0,0.060569,0.031712,0.97277,0.919833
3,float,uniform,CPU,"P | P | P | P | P | P",128,20,0.796512,0,0.06064,0.03056,0.942319,0.887712
3,float,uniform,CPU,"P | P | P | P | P | P",128,21,0.873664,0,0.060369,0.032032,1.01786,0.966065
3,float,uniform,CPU,"P | P | P | P | P | P",128,22,0.857568,0,0.059149,0.03088,0.995079,0.947597
3,float,uniform,CPU,"P | P | P | P | P | P",128,23,0.7816,0,0.060639,0.029024,0.92553,0.871263
3,float,uniform,CPU,"P | P | P | P | P | P",128,24,0.77808,0,0.060099,0.030624,0.924,0.868803
3,float,uniform,CPU,"P | P | P | P | P | P",128,25,0.792416,0,0.061359,0.029408,0.94027,0.883183
3,float,uniform,CPU,"P | P | P | P | P | P",128,26,0.775616,0,0.060749,0.031712,0.92832,0.868077
3,float,uniform,CPU,"P | P | P | P | P | P",128,27,0.790432,0,0.06166,0.030272,0.93936,0.882364
3,float,uniform,CPU,"P | P | P | P | P | P",128,28,0.781824,0,0.061229,0.02944,0.92648,0.872493
3,float,uniform,CPU,"P | P | P | P | P | P",128,29,0.774976,0,0.060489,0.029504,0.92118,0.864969
3,float,uniform,CPU,"P | P | P | P | P | P",128,30,0.776256,0,0.060959,0.02832,0.91755,0.865535
3,float,uniform,CPU,"P | P | P | P | P | P",128,31,0.787072,0,0.06098,0.029792,0.99205,0.877844
3,float,uniform,CPU,"P | P | P | P | P | P",128,32,0.792032,0,0.06098,0.032608,0.938099,0.88562
3,float,uniform,CPU,"P | P | P | P | P | P",128,33,0.786848,0,0.061979,0.029824,0.93346,0.878651
3,float,uniform,CPU,"P | P | P | P | P | P",128,34,0.783296,0,0.060669,0.030016,0.92617,0.873981
3,float,uniform,CPU,"P | P | P | P | P | P",128,35,0.879104,0,0.060839,0.030624,1.02393,0.970567
3,float,uniform,CPU,"P | P | P | P | P | P",128,36,0.8368,0,0.06054,0.028768,0.982099,0.926108
