dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ns | Ns",128,3,0.028128,0,0.0331,0.0072,0.110479,0.068428
1,double,uniform,CPU,"Ns | Ns",128,4,0.031616,0,0.03344,0.008416,0.113809,0.073472
1,double,uniform,CPU,"Ns | Ns",128,5,0.032736,0,0.03292,0.007008,0.112308,0.072664
1,double,uniform,CPU,"Ns | Ns",128,6,0.031488,0,0.03298,0.009344,0.111609,0.073812
1,double,uniform,CPU,"Ns | Ns",128,7,0.029344,0,0.03302,0.006368,0.109069,0.068732
1,double,uniform,CPU,"Ns | Ns",128,8,0.030912,0,0.03291,0.008864,0.11335,0.072686
1,double,uniform,CPU,"Ns | Ns",128,9,0.031456,0,0.03317,0.00736,0.109548,0.071986
1,double,uniform,CPU,"Ns | Ns",128,10,0.0296,0,0.03311,0.007488,0.109848,0.070198
1,double,uniform,CPU,"Ns | Ns",128,11,0.028672,0,0.03264,0.00736,0.107279,0.068672
1,double,uniform,CPU,"Ns | Ns",128,12,0.028096,0,0.03272,0.007456,0.10769,0.068272
1,double,uniform,CPU,"Ns | Ns",128,13,0.031136,0,0.03339,0.006816,0.112369,0.071342
1,double,uniform,CPU,"Ns | Ns",128,14,0.031424,0,0.033168,0.007296,0.111139,0.071888
1,double,uniform,CPU,"Ns | Ns",128,15,0.030368,0,0.03333,0.007424,0.107929,0.071122
1,double,uniform,CPU,"Ns | Ns",128,16,0.029984,0,0.03385,0.009216,0.111629,0.07305
1,double,uniform,CPU,"Ns | Ns",128,17,0.03056,0,0.03393,0.00688,0.109819,0.07137
1,double,uniform,CPU,"Ns | Ns",128,18,0.036064,0,0.03309,0.007872,0.116919,0.077026
1,double,uniform,CPU,"Ns | Ns",128,19,0.129824,0,0.033029,0.00656,0.209838,0.169413
1,double,uniform,CPU,"Ns | Ns",128,20,0.028384,0,0.033239,0.008096,0.110989,0.069719
1,double,uniform,CPU,"Ns | Ns",128,21,0.031744,0,0.032949,0.00768,0.110269,0.072373
1,double,uniform,CPU,"Ns | Ns",128,22,0.029952,0,0.03292,0.007072,0.108869,0.069944
1,double,uniform,CPU,"Ns | Ns",128,23,0.030784,0,0.033419,0.007264,0.111269,0.071467
1,double,uniform,CPU,"Ns | Ns",128,24,0.031392,0,0.132699,0.00832,0.213509,0.172411
1,double,uniform,CPU,"Ns | Ns",128,25,0.029376,0,0.03296,0.007328,0.109649,0.069664
1,double,uniform,CPU,"Ns | Ns",128,26,0.029888,0,0.03017,0.007968,0.101199,0.068026
1,double,uniform,CPU,"Ns | Ns",128,27,0.028704,0,0.03101,0.00848,0.100929,0.068194
1,double,uniform,CPU,"Ns | Ns",128,28,0.030048,0,0.033159,0.007456,0.109469,0.070663
1,double,uniform,CPU,"Ns | Ns",128,29,0.02912,0,0.03201,0.007648,0.108469,0.068778
1,double,uniform,CPU,"Ns | Ns",128,30,0.032928,0,0.033409,0.007488,0.114679,0.073825
1,double,uniform,CPU,"Ns | Ns",128,31,0.030464,0,0.03285,0.006656,0.109019,0.06997
1,double,uniform,CPU,"Ns | Ns",128,32,0.03104,0,0.03461,0.006528,0.112559,0.072178
1,double,uniform,CPU,"Ns | Ns",128,33,0.029024,0,0.02933,0.008608,0.09882,0.066962
1,double,uniform,CPU,"Ns | Ns",128,34,0.029472,0,0.032749,0.007296,0.108579,0.069517
