dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,42,0.021504,0.001719,0.306257,0.066528,0.619304,0.396008
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,43,0.01872,0.00177,0.306917,0.066304,0.619993,0.393711
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,44,0.021376,0.001921,0.313076,0.065888,0.627533,0.402261
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,45,0.02624,0.00202,0.309417,0.066464,0.631693,0.404141
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,46,0.02,0.00186,0.307037,0.066464,0.621404,0.395361
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,47,0.01888,0.001639,0.306836,0.065664,0.619394,0.393019
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,48,0.019232,0.00168,0.306627,0.065824,0.618223,0.393363
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,49,0.020704,0.001949,0.307717,0.065664,0.623064,0.396034
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,50,0.07216,0.00163,0.305597,0.06736,0.669913,0.446747
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,51,0.023072,0.00161,0.307057,0.065248,0.622463,0.396987
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,52,0.021408,0.00167,0.306906,0.066304,0.622454,0.396288
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,53,0.019072,0.0016,0.306866,0.065632,0.619484,0.39317
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,54,0.018656,0.00181,0.307597,0.066208,0.620874,0.394271
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,55,0.037696,0.002419,0.311736,0.067936,0.649603,0.419787
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,56,0.03856,0.0022,0.311347,0.068736,0.648923,0.420843
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,57,0.022368,0.00165,0.307697,0.0672,0.626124,0.398915
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,58,0.018656,0.00175,0.307366,0.066816,0.621263,0.394588
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,59,0.021856,0.00157,0.306547,0.065376,0.622924,0.395349
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,60,0.01952,0.001641,0.308077,0.064608,0.620633,0.393846
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,61,0.021792,0.00175,0.307427,0.06576,0.623323,0.396729
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,62,0.020736,0.001599,0.308336,0.065664,0.623073,0.396335
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,63,0.021696,0.001631,0.306307,0.064448,0.626283,0.394082
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,64,0.019168,0.00166,0.306207,0.06576,0.619404,0.392795
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,65,0.019488,0.00208,0.306807,0.066272,0.620894,0.394647
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,66,0.020416,0.00152,0.306427,0.065856,0.619453,0.394219
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,67,0.019776,0.00204,0.306557,0.06816,0.622113,0.396533
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,68,0.04368,0.00211,0.310177,0.069728,0.653543,0.425695
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,69,0.021824,0.0019,0.306407,0.065472,0.621434,0.395603
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,70,0.019552,0.00168,0.307647,0.066432,0.622823,0.395311
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,71,0.029568,0.0016,0.308406,0.067008,0.631893,0.406582
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,72,0.018336,0.0017,0.307607,0.066368,0.620913,0.394011
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,73,0.020032,0.00175,0.307137,0.066176,0.621413,0.395095
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",128,74,0.018944,0.00178,0.306617,0.065312,0.620074,0.392653
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,0,0.099744,0.0019,1.02778,0.099168,1.54603,1.22859
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,1,0.095456,0.00187,1.02964,0.102976,1.55564,1.22994
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,2,0.105728,0.00193,1.02674,0.0992,1.5578,1.2336
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,3,0.095072,0.00197,1.02632,0.098304,1.54556,1.22167
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,4,0.094336,0.0018,1.02493,0.100544,1.54116,1.22161
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,5,0.096032,0.00167,1.0282,0.102784,1.55236,1.22869
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,6,0.11072,0.0018,1.03039,0.102112,1.57113,1.24502
3,double,nonuniform_z,GPU,"Ns | Ns | Ns | Ns | Ns | Ns",192,7,0.093888,0.001879,1.02357,0.100928,1.54352,1.22026
