dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"N | D",128,10,0.018624,0,0.017479,0.009024,0.077779,0.045127
1,float,uniform,CPU,"N | D",128,11,0.020416,0,0.02147,0.006944,0.085149,0.04883
1,float,uniform,CPU,"N | D",128,12,0.019072,0,0.021949,0.006496,0.086039,0.047517
1,float,uniform,CPU,"N | D",128,13,0.023488,0,0.02067,0.006368,0.087839,0.050526
1,float,uniform,CPU,"N | D",128,14,0.018464,0,0.021689,0.009216,0.087019,0.049369
1,float,uniform,CPU,"N | D",128,15,0.018112,0,0.02068,0.006432,0.082259,0.045224
1,float,uniform,CPU,"N | D",128,16,0.017984,0,0.02157,0.006336,0.0833,0.04589
1,float,uniform,CPU,"N | D",128,17,0.021056,0,0.026909,0.007904,0.092769,0.055869
1,float,uniform,CPU,"N | D",128,18,0.017824,0,0.020449,0.005376,0.081189,0.043649
1,float,uniform,CPU,"N | D",128,19,0.018976,0,0.02068,0.00624,0.082948,0.045896
1,float,uniform,CPU,"N | D",128,20,0.019648,0,0.02045,0.006528,0.084609,0.046626
1,float,uniform,CPU,"N | D",128,21,0.019008,0,0.02137,0.007648,0.085619,0.048026
1,float,uniform,CPU,"N | D",128,22,0.018944,0,0.017259,0.009792,0.076699,0.045995
1,float,uniform,CPU,"N | D",128,23,0.020512,0,0.02055,0.007328,0.088439,0.04839
1,float,uniform,CPU,"N | D",128,24,0.021856,0,0.02257,0.0064,0.088319,0.050826
1,float,uniform,CPU,"N | D",128,25,0.020096,0,0.02079,0.006656,0.08387,0.047542
1,float,uniform,CPU,"N | D",128,26,0.020064,0,0.020621,0.008128,0.087279,0.048813
1,float,uniform,CPU,"N | D",128,27,0.01984,0,0.02146,0.007968,0.086819,0.049268
1,float,uniform,CPU,"N | D",128,28,0.020384,0,0.022209,0.00816,0.089269,0.050753
1,float,uniform,CPU,"N | D",128,29,0.0184,0,0.022281,0.00784,0.086839,0.048521
1,float,uniform,CPU,"N | D",128,30,0.019584,0,0.02158,0.006528,0.083369,0.047692
1,float,uniform,CPU,"N | D",128,31,0.019104,0,0.02253,0.008736,0.088999,0.05037
1,float,uniform,CPU,"N | D",128,32,0.018496,0,0.02094,0.006368,0.082229,0.045804
1,float,uniform,CPU,"N | D",128,33,0.020192,0,0.02284,0.008192,0.088669,0.051224
1,float,uniform,CPU,"N | D",128,34,0.019456,0,0.02127,0.006944,0.084689,0.04767
1,float,uniform,CPU,"N | D",128,35,0.018336,0,0.01738,0.007648,0.074509,0.043364
1,float,uniform,CPU,"N | D",128,36,0.017856,0,0.021509,0.006336,0.083389,0.045701
1,float,uniform,CPU,"N | D",128,37,0.01888,0,0.021969,0.008128,0.087319,0.048977
1,float,uniform,CPU,"N | D",128,38,0.02048,0,0.021449,0.00848,0.090239,0.050409
1,float,uniform,CPU,"N | D",128,39,0.020256,0,0.021279,0.0064,0.086679,0.047935
1,float,uniform,CPU,"N | D",128,40,0.019072,0,0.02166,0.009024,0.088059,0.049756
1,float,uniform,CPU,"N | D",128,41,0.017856,0,0.0206,0.008736,0.084389,0.047192
1,float,uniform,CPU,"N | D",128,42,0.021312,0,0.02107,0.006528,0.08603,0.04891
1,float,uniform,CPU,"N | D",128,43,0.020704,0,0.02673,0.006336,0.090569,0.05377
1,float,uniform,CPU,"N | D",128,44,0.024224,0,0.02037,0.0064,0.086369,0.050994
1,float,uniform,CPU,"N | D",128,45,0.019552,0,0.02046,0.006336,0.082889,0.046348
1,float,uniform,CPU,"N | D",128,46,0.022624,0,0.02038,0.008416,0.089569,0.05142
1,float,uniform,CPU,"N | D",128,47,0.020064,0,0.020709,0.00656,0.083269,0.047333
1,float,uniform,CPU,"N | D",128,48,0.019072,0,0.017539,0.007936,0.074479,0.044547
1,float,uniform,CPU,"N | D",128,49,0.020032,0,0.02155,0.007104,0.088049,0.048686
1,float,uniform,CPU,"N | D",128,50,0.020288,0,0.022259,0.008128,0.091339,0.050675
1,float,uniform,CPU,"N | D",128,51,0.020288,0,0.021349,0.007168,0.087349,0.048805
1,float,uniform,CPU,"N | D",128,52,0.017152,0,0.020319,0.008544,0.081859,0.046015
1,float,uniform,CPU,"N | D",128,53,0.019488,0,0.02153,0.008576,0.085959,0.049594
1,float,uniform,CPU,"N | D",128,54,0.01792,0,0.02112,0.006272,0.08321,0.045312
1,float,uniform,CPU,"N | D",128,55,0.02624,0,0.0221,0.008384,0.093289,0.056724
1,float,uniform,CPU,"N | D",128,56,0.018592,0,0.022209,0.00672,0.086189,0.047521
1,float,uniform,CPU,"N | D",128,57,0.018592,0,0.02196,0.0072,0.084609,0.047752
1,float,uniform,CPU,"N | D",128,58,0.018464,0,0.02182,0.006688,0.085119,0.046972
1,float,uniform,CPU,"N | D",128,59,0.017696,0,0.021,0.006496,0.08135,0.045192
1,float,uniform,CPU,"N | D",128,60,0.01952,0,0.02188,0.006432,0.084939,0.047832
1,float,uniform,CPU,"N | D",128,61,0.01952,0,0.02106,0.007904,0.08564,0.048484
1,float,uniform,CPU,"N | D",128,62,0.022816,0,0.021249,0.0064,0.087769,0.050465
1,float,uniform,CPU,"N | D",128,63,0.018176,0,0.02121,0.006848,0.083819,0.046234
1,float,uniform,CPU,"N | D",128,64,0.018368,0,0.02137,0.008192,0.085849,0.04793
1,float,uniform,CPU,"N | D",128,65,0.02064,0,0.02131,0.008224,0.087369,0.050174
1,float,uniform,CPU,"N | D",128,66,0.019552,0,0.02098,0.008544,0.088079,0.049076
1,float,uniform,CPU,"N | D",128,67,0.018432,0,0.02077,0.008608,0.081979,0.04781
1,float,uniform,CPU,"N | D",128,68,0.018368,0,0.020381,0.006528,0.080719,0.045277
1,float,uniform,CPU,"N | D",128,69,0.018304,0,0.02187,0.006592,0.084869,0.046766
1,float,uniform,CPU,"N | D",128,70,0.018816,0,0.021149,0.006272,0.083729,0.046237
1,float,uniform,CPU,"N | D",128,71,0.018976,0,0.02037,0.006304,0.081509,0.04565
1,float,uniform,CPU,"N | D",128,72,0.018368,0,0.02056,0.006368,0.081919,0.045296
1,float,uniform,CPU,"N | D",128,73,0.0184,0,0.02038,0.006784,0.082448,0.045564
1,float,uniform,CPU,"N | D",128,74,0.019744,0,0.020778,0.006528,0.081859,0.04705
1,float,uniform,CPU,"N | D",192,0,0.026688,0,0.032029,0.014624,0.117629,0.073341
1,float,uniform,CPU,"N | D",192,1,0.019584,0,0.022189,0.007072,0.087279,0.048845
1,float,uniform,CPU,"N | D",192,2,0.019776,0,0.02133,0.014208,0.095149,0.055314
1,float,uniform,CPU,"N | D",192,3,0.020672,0,0.02223,0.006464,0.088259,0.049366
1,float,uniform,CPU,"N | D",192,4,0.01952,0,0.02128,0.006816,0.084649,0.047616
1,float,uniform,CPU,"N | D",192,5,0.01808,0,0.02125,0.005984,0.08212,0.045314
1,float,uniform,CPU,"N | D",192,6,0.018944,0,0.021889,0.005568,0.084199,0.046401
1,float,uniform,CPU,"N | D",192,7,0.01888,0,0.02099,0.005888,0.082188,0.045758
1,float,uniform,CPU,"N | D",192,8,0.01808,0,0.02099,0.005344,0.081719,0.044414
1,float,uniform,CPU,"N | D",192,9,0.020512,0,0.02096,0.006016,0.085489,0.047488
1,float,uniform,CPU,"N | D",192,10,0.019488,0,0.02073,0.005728,0.08333,0.045946
1,float,uniform,CPU,"N | D",192,11,0.019552,0,0.02181,0.006272,0.085599,0.047634
1,float,uniform,CPU,"N | D",192,12,0.020992,0,0.025939,0.008352,0.095599,0.055283
1,float,uniform,CPU,"N | D",192,13,0.020896,0,0.02089,0.006208,0.085769,0.047994
1,float,uniform,CPU,"N | D",192,14,0.020064,0,0.02311,0.006336,0.088819,0.04951
1,float,uniform,CPU,"N | D",192,15,0.019264,0,0.02158,0.006304,0.085769,0.047148
1,float,uniform,CPU,"N | D",192,16,0.018912,0,0.02158,0.008192,0.087929,0.048684
1,float,uniform,CPU,"N | D",192,17,0.01856,0,0.02172,0.007296,0.085809,0.047576
1,float,uniform,CPU,"N | D",192,18,0.021792,0,0.022449,0.007648,0.090399,0.051889
1,float,uniform,CPU,"N | D",192,19,0.018976,0,0.022799,0.00624,0.086039,0.048015
1,float,uniform,CPU,"N | D",192,20,0.019168,0,0.02235,0.006176,0.084409,0.047694
1,float,uniform,CPU,"N | D",192,21,0.019072,0,0.02224,0.005536,0.084319,0.046848
1,float,uniform,CPU,"N | D",192,22,0.018656,0,0.021519,0.005504,0.084119,0.045679
1,float,uniform,CPU,"N | D",192,23,0.020736,0,0.142228,0.006976,0.206438,0.16994
1,float,uniform,CPU,"N | D",192,24,0.018848,0,0.021019,0.005952,0.083799,0.045819
1,float,uniform,CPU,"N | D",192,25,0.019168,0,0.02174,0.006048,0.085069,0.046956
1,float,uniform,CPU,"N | D",192,26,0.018368,0,0.02117,0.005664,0.080589,0.045202
1,float,uniform,CPU,"N | D",192,27,0.01968,0,0.02216,0.006496,0.086649,0.048336
1,float,uniform,CPU,"N | D",192,28,0.020864,0,0.0224,0.006304,0.086489,0.049568
1,float,uniform,CPU,"N | D",192,29,0.019808,0,0.02103,0.005824,0.085179,0.046662
1,float,uniform,CPU,"N | D",192,30,0.019648,0,0.02182,0.00576,0.085339,0.047228
1,float,uniform,CPU,"N | D",192,31,0.019648,0,0.02179,0.00656,0.084589,0.047998
1,float,uniform,CPU,"N | D",192,32,0.017952,0,0.01742,0.007712,0.075209,0.043084
1,float,uniform,CPU,"N | D",192,33,0.020224,0,0.02249,0.012096,0.093379,0.05481
1,float,uniform,CPU,"N | D",192,34,0.020512,0,0.02118,0.005888,0.085148,0.04758
1,float,uniform,CPU,"N | D",192,35,0.018112,0,0.02127,0.005472,0.081909,0.044854
1,float,uniform,CPU,"N | D",192,36,0.024064,0,0.02163,0.006304,0.302177,0.051998
1,float,uniform,CPU,"N | D",192,37,0.018816,0,0.02079,0.006272,0.083148,0.045878
1,float,uniform,CPU,"N | D",192,38,0.020352,0,0.02116,0.006592,0.084299,0.048104
1,float,uniform,CPU,"N | D",192,39,0.021696,0,0.02203,0.0064,0.087449,0.050126
1,float,uniform,CPU,"N | D",192,40,0.019488,0,0.0212,0.006784,0.087299,0.047472
1,float,uniform,CPU,"N | D",192,41,0.020736,0,0.023469,0.006272,0.090679,0.050477
1,float,uniform,CPU,"N | D",192,42,0.020288,0,0.0217,0.00608,0.086309,0.048068
1,float,uniform,CPU,"N | D",192,43,0.01936,0,0.02094,0.006112,0.084319,0.046412
1,float,uniform,CPU,"N | D",192,44,0.020064,0,0.02204,0.0056,0.084859,0.047704
1,float,uniform,CPU,"N | D",192,45,0.01904,0,0.019789,0.00672,0.078119,0.045549
1,float,uniform,CPU,"N | D",192,46,0.01936,0,0.022829,0.0064,0.087079,0.048589
1,float,uniform,CPU,"N | D",192,47,0.018048,0,0.021899,0.006144,0.083399,0.046091
1,float,uniform,CPU,"N | D",192,48,0.019712,0,0.021879,0.006336,0.084469,0.047927
1,float,uniform,CPU,"N | D",192,49,0.018848,0,0.022091,0.005728,0.085019,0.046667
1,float,uniform,CPU,"N | D",192,50,0.018752,0,0.02147,0.004928,0.083389,0.04515
1,float,uniform,CPU,"N | D",192,51,0.019424,0,0.02191,0.00624,0.086199,0.047574
1,float,uniform,CPU,"N | D",192,52,0.01968,0,0.02223,0.00672,0.085259,0.04863
1,float,uniform,CPU,"N | D",192,53,0.01888,0,0.02181,0.006528,0.08485,0.047218
1,float,uniform,CPU,"N | D",192,54,0.018848,0,0.0221,0.006368,0.086328,0.047316
1,float,uniform,CPU,"N | D",192,55,0.019552,0,0.02199,0.006272,0.085829,0.047814
1,float,uniform,CPU,"N | D",192,56,0.019648,0,0.021789,0.005568,0.085919,0.047005
1,float,uniform,CPU,"N | D",192,57,0.019392,0,0.021869,0.005856,0.085349,0.047117
1,float,uniform,CPU,"N | D",192,58,0.02032,0,0.021881,0.007136,0.086339,0.049337
1,float,uniform,CPU,"N | D",192,59,0.019328,0,0.02179,0.006304,0.086089,0.047422
1,float,uniform,CPU,"N | D",192,60,0.019872,0,0.021949,0.006048,0.085829,0.047869
1,float,uniform,CPU,"N | D",192,61,0.018976,0,0.02068,0.006368,0.084739,0.046024
1,float,uniform,CPU,"N | D",192,62,0.018912,0,0.02098,0.006112,0.083299,0.046004
1,float,uniform,CPU,"N | D",192,63,0.020576,0,0.02094,0.006048,0.084779,0.047564
1,float,uniform,CPU,"N | D",192,64,0.020448,0,0.02105,0.00592,0.082609,0.047418
1,float,uniform,CPU,"N | D",192,65,0.022752,0,0.0217,0.006048,0.087689,0.0505
1,float,uniform,CPU,"N | D",192,66,0.020128,0,0.02249,0.006464,0.089639,0.049082
1,float,uniform,CPU,"N | D",192,67,0.019712,0,0.02312,0.005824,0.089359,0.048656
1,float,uniform,CPU,"N | D",192,68,0.02048,0,0.02246,0.006432,0.08747,0.049372
1,float,uniform,CPU,"N | D",192,69,0.01744,0,0.017551,0.007936,0.072829,0.042927
1,float,uniform,CPU,"N | D",192,70,0.01984,0,0.02175,0.00608,0.085479,0.04767
1,float,uniform,CPU,"N | D",192,71,0.018816,0,0.01777,0.008,0.07533,0.044586
1,float,uniform,CPU,"N | D",192,72,0.02,0,0.02306,0.0064,0.087199,0.04946
1,float,uniform,CPU,"N | D",192,73,0.018944,0,0.022,0.006272,0.08601,0.047216
1,float,uniform,CPU,"N | D",192,74,0.01936,0,0.02196,0.00608,0.084689,0.0474
1,float,uniform,CPU,"N | D",256,0,0.025984,0,0.03008,0.015328,0.115478,0.071392
1,float,uniform,CPU,"N | D",256,1,0.019968,0,0.02136,0.007456,0.087359,0.048784
1,float,uniform,CPU,"N | D",256,2,0.020288,0,0.02124,0.008672,0.087659,0.0502
1,float,uniform,CPU,"N | D",256,3,0.021312,0,0.02186,0.007136,0.086999,0.050308
1,float,uniform,CPU,"N | D",256,4,0.019904,0,0.02152,0.008384,0.088149,0.049808
1,float,uniform,CPU,"N | D",256,5,0.019904,0,0.02103,0.006624,0.085959,0.047558
1,float,uniform,CPU,"N | D",256,6,0.019616,0,0.02201,0.009504,0.089009,0.05113
1,float,uniform,CPU,"N | D",256,7,0.017696,0,0.020299,0.006112,0.081139,0.044107
1,float,uniform,CPU,"N | D",256,8,0.0208,0,0.02169,0.006304,0.085889,0.048794
1,float,uniform,CPU,"N | D",256,9,0.020448,0,0.01752,0.007584,0.077339,0.045552
1,float,uniform,CPU,"N | D",256,10,0.022464,0,0.0207,0.00816,0.087379,0.051324
1,float,uniform,CPU,"N | D",256,11,0.018592,0,0.02078,0.006528,0.083539,0.0459
1,float,uniform,CPU,"N | D",256,12,0.019328,0,0.02055,0.008416,0.08603,0.048294
1,float,uniform,CPU,"N | D",256,13,0.01888,0,0.02101,0.00816,0.085509,0.04805
1,float,uniform,CPU,"N | D",256,14,0.019232,0,0.02156,0.006336,0.083799,0.047128
1,float,uniform,CPU,"N | D",256,15,0.020448,0,0.02195,0.0088,0.091499,0.051198
1,float,uniform,CPU,"N | D",256,16,0.02224,0,0.02318,0.007936,0.093729,0.053356
