dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"P | P | P | P | P | P",64,41,0.01824,0,0.02717,0.01392,0.121858,0.05933
3,float,uniform,GPU,"P | P | P | P | P | P",64,42,0.020448,0,0.0272,0.016192,0.124009,0.06384
3,float,uniform,GPU,"P | P | P | P | P | P",64,43,0.011776,0,0.027529,0.013856,0.112179,0.053161
3,float,uniform,GPU,"P | P | P | P | P | P",64,44,0.018336,0,0.02716,0.013984,0.119028,0.05948
3,float,uniform,GPU,"P | P | P | P | P | P",64,45,0.021728,0,0.02734,0.01392,0.121359,0.062988
3,float,uniform,GPU,"P | P | P | P | P | P",64,46,0.01952,0,0.02511,0.017568,0.112658,0.062198
3,float,uniform,GPU,"P | P | P | P | P | P",64,47,0.017728,0,0.02731,0.016,0.121349,0.061038
3,float,uniform,GPU,"P | P | P | P | P | P",64,48,0.019584,0,0.027689,0.015296,0.122709,0.062569
3,float,uniform,GPU,"P | P | P | P | P | P",64,49,0.018752,0,0.02695,0.014272,0.119058,0.059974
3,float,uniform,GPU,"P | P | P | P | P | P",64,50,0.012352,0,0.02737,0.01552,0.114689,0.055242
3,float,uniform,GPU,"P | P | P | P | P | P",64,51,0.01856,0,0.02693,0.013568,0.119199,0.059058
3,float,uniform,GPU,"P | P | P | P | P | P",64,52,0.018336,0,0.02705,0.015392,0.119059,0.060778
3,float,uniform,GPU,"P | P | P | P | P | P",64,53,0.010144,0,0.027689,0.015584,0.111838,0.053417
3,float,uniform,GPU,"P | P | P | P | P | P",64,54,0.013664,0,0.0269,0.014912,0.113889,0.055476
3,float,uniform,GPU,"P | P | P | P | P | P",64,55,0.018592,0,0.0278,0.015168,0.127638,0.06156
3,float,uniform,GPU,"P | P | P | P | P | P",64,56,0.018016,0,0.027519,0.013472,0.118289,0.059007
3,float,uniform,GPU,"P | P | P | P | P | P",64,57,0.018304,0,0.027279,0.014752,0.120188,0.060335
3,float,uniform,GPU,"P | P | P | P | P | P",64,58,0.01808,0,0.02713,0.012608,0.117429,0.057818
3,float,uniform,GPU,"P | P | P | P | P | P",64,59,0.017344,0,0.02711,0.014464,0.117999,0.058918
3,float,uniform,GPU,"P | P | P | P | P | P",64,60,0.020448,0,0.02684,0.013568,0.120189,0.060856
3,float,uniform,GPU,"P | P | P | P | P | P",64,61,0.021952,0,0.027429,0.015136,0.123568,0.064517
3,float,uniform,GPU,"P | P | P | P | P | P",64,62,0.0176,0,0.027319,0.014816,0.125378,0.059735
3,float,uniform,GPU,"P | P | P | P | P | P",64,63,0.01184,0,0.02681,0.014144,0.111079,0.052794
3,float,uniform,GPU,"P | P | P | P | P | P",64,64,0.019744,0,0.02465,0.0168,0.112589,0.061194
3,float,uniform,GPU,"P | P | P | P | P | P",64,65,0.019072,0,0.028119,0.015296,0.121509,0.062487
3,float,uniform,GPU,"P | P | P | P | P | P",64,66,0.0112,0,0.02342,0.01792,0.103719,0.05254
3,float,uniform,GPU,"P | P | P | P | P | P",64,67,0.012928,0,0.027239,0.01328,0.115418,0.053447
3,float,uniform,GPU,"P | P | P | P | P | P",64,68,0.018368,0,0.027249,0.016096,0.121089,0.061713
3,float,uniform,GPU,"P | P | P | P | P | P",64,69,0.019712,0,0.02728,0.016192,0.122428,0.063184
3,float,uniform,GPU,"P | P | P | P | P | P",64,70,0.018432,0,0.02755,0.014496,0.120169,0.060478
3,float,uniform,GPU,"P | P | P | P | P | P",64,71,0.0184,0,0.02684,0.0144,0.118969,0.05964
3,float,uniform,GPU,"P | P | P | P | P | P",64,72,0.01216,0,0.02743,0.01584,0.113579,0.05543
3,float,uniform,GPU,"P | P | P | P | P | P",64,73,0.017568,0,0.02743,0.014304,0.119449,0.059302
3,float,uniform,GPU,"P | P | P | P | P | P",64,74,0.020608,0,0.02707,0.01536,0.122279,0.063038
3,float,uniform,GPU,"P | P | P | P | P | P",128,0,0.036736,0,0.064759,0.04016,0.202128,0.141655
3,float,uniform,GPU,"P | P | P | P | P | P",128,1,0.029344,0,0.061539,0.03504,0.184138,0.125923
3,float,uniform,GPU,"P | P | P | P | P | P",128,2,0.026944,0,0.061919,0.03088,0.177208,0.119743
3,float,uniform,GPU,"P | P | P | P | P | P",128,3,0.04144,0,0.06607,0.049504,0.216077,0.157014
3,float,uniform,GPU,"P | P | P | P | P | P",128,4,0.026016,0,0.061939,0.034496,0.186028,0.122451
3,float,uniform,GPU,"P | P | P | P | P | P",128,5,0.026592,0,0.0613,0.034112,0.181768,0.122004
3,float,uniform,GPU,"P | P | P | P | P | P",128,6,0.026048,0,0.06091,0.032928,0.177738,0.119886
3,float,uniform,GPU,"P | P | P | P | P | P",128,7,0.0336,0,0.06145,0.029856,0.184238,0.124906
