dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,63,0.2392,0.001549,0.110599,0.021216,0.430046,0.372564
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,64,0.242496,0.00165,0.111228,0.021344,0.430145,0.376718
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,65,0.231488,0.00158,0.110719,0.022176,0.421535,0.365963
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,66,0.235168,0.00159,0.110919,0.02016,0.423796,0.367837
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,67,0.23376,0.00162,0.112129,0.022432,0.426465,0.369941
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,68,0.238336,0.0016,0.110479,0.026688,0.432615,0.377103
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,69,0.234976,0.0016,0.110598,0.021024,0.424026,0.368198
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,70,0.239744,0.00161,0.110929,0.020064,0.428685,0.372347
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,71,0.233888,0.00177,0.110759,0.022464,0.423166,0.368881
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,72,0.235328,0.00158,0.110988,0.021728,0.424625,0.369624
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,73,0.22944,0.001612,0.111349,0.018848,0.418486,0.361249
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",64,74,0.23632,0.00163,0.10969,0.023168,0.426116,0.370808
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,0,1.79792,0.00189,0.493914,0.099872,2.47047,2.3936
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,1,1.56022,0.001791,0.487765,0.097248,2.20674,2.14703
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,2,1.51318,0.00189,0.488786,0.096448,2.15884,2.10031
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,3,1.54259,0.001749,0.487225,0.09488,2.1849,2.12645
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,4,1.54531,0.00152,0.487195,0.0944,2.1901,2.12843
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,5,1.54426,0.00158,0.487574,0.09456,2.18574,2.12797
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,6,1.56893,0.00166,0.485564,0.095584,2.21185,2.15174
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,7,1.52858,0.00175,0.487864,0.092672,2.17195,2.11086
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,8,1.53238,0.00161,0.486346,0.091616,2.17195,2.11196
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,9,1.54048,0.001521,0.486516,0.092224,2.18317,2.12074
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,10,1.55606,0.00166,0.485865,0.095648,2.20095,2.13924
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,11,1.54531,0.00168,0.479064,0.097824,2.18005,2.12388
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,12,1.52403,0.001722,0.486675,0.092992,2.17272,2.10542
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,13,1.55635,0.00175,0.481564,0.0976,2.1893,2.13727
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,14,1.59082,0.00161,0.488354,0.096064,2.23741,2.17684
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,15,1.55392,0.00169,0.486937,0.095488,2.19519,2.13804
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,16,1.55619,0.002,0.488934,0.104288,2.23074,2.15141
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,17,1.58848,0.00173,0.486484,0.094144,2.23171,2.17084
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,18,1.536,0.00168,0.487753,0.094528,2.17954,2.11996
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,19,1.5023,0.001601,0.485924,0.093056,2.147,2.08289
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,20,1.50083,0.00161,0.523804,0.093088,2.18011,2.11933
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,21,1.61894,0.00162,0.486634,0.094656,2.26089,2.20185
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,22,1.50771,0.001801,0.486245,0.096096,2.14902,2.09185
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,23,1.53133,0.00173,0.485444,0.092896,2.17367,2.1114
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,24,1.51696,0.001629,0.487036,0.093472,2.15883,2.0991
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,25,1.5409,0.001641,0.481524,0.098528,2.17399,2.12259
3,double,uniform,CPU,"Ds | Ds | Ds | Ds | P | P",128,26,1.53952,0.00158,0.486184,0.093728,2.18188,2.12101
