dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"Ds | Ns",192,22,0.031584,0,0.048759,0.009536,0.127969,0.089879
1,double,uniform,CPU,"Ds | Ns",192,23,0.028768,0,0.04892,0.00736,0.122619,0.085048
1,double,uniform,CPU,"Ds | Ns",192,24,0.028192,0,0.048919,0.00832,0.127209,0.085431
1,double,uniform,CPU,"Ds | Ns",192,25,0.029824,0,0.048899,0.008544,0.126969,0.087267
1,double,uniform,CPU,"Ds | Ns",192,26,0.028864,0,0.048769,0.008896,0.125759,0.086529
1,double,uniform,CPU,"Ds | Ns",192,27,0.031776,0,0.04845,0.008832,0.12763,0.089058
1,double,uniform,CPU,"Ds | Ns",192,28,0.028288,0,0.04534,0.009888,0.116719,0.083516
1,double,uniform,CPU,"Ds | Ns",192,29,0.029024,0,0.04928,0.008032,0.125309,0.086336
1,double,uniform,CPU,"Ds | Ns",192,30,0.03328,0,0.049249,0.00784,0.132149,0.090369
1,double,uniform,CPU,"Ds | Ns",192,31,0.027872,0,0.048799,0.006464,0.124069,0.083135
1,double,uniform,CPU,"Ds | Ns",192,32,0.02848,0,0.049129,0.006976,0.126349,0.084585
1,double,uniform,CPU,"Ds | Ns",192,33,0.031872,0,0.04875,0.007648,0.128219,0.08827
1,double,uniform,CPU,"Ds | Ns",192,34,0.033248,0,0.0513,0.007968,0.130049,0.092516
1,double,uniform,CPU,"Ds | Ns",192,35,0.02992,0,0.04866,0.009024,0.126868,0.087604
1,double,uniform,CPU,"Ds | Ns",192,36,0.03024,0,0.048939,0.009536,0.128619,0.088715
1,double,uniform,CPU,"Ds | Ns",192,37,0.02928,0,0.04902,0.007712,0.126299,0.086012
1,double,uniform,CPU,"Ds | Ns",192,38,0.029984,0,0.04871,0.006752,0.12347,0.085446
1,double,uniform,CPU,"Ds | Ns",192,39,0.029792,0,0.04888,0.00784,0.126779,0.086512
1,double,uniform,CPU,"Ds | Ns",192,40,0.029536,0,0.04928,0.006016,0.123849,0.084832
1,double,uniform,CPU,"Ds | Ns",192,41,0.029184,0,0.04616,0.009408,0.117439,0.084752
1,double,uniform,CPU,"Ds | Ns",192,42,0.029664,0,0.04926,0.008288,0.126519,0.087212
1,double,uniform,CPU,"Ds | Ns",192,43,0.033216,0,0.048699,0.007232,0.128049,0.089147
1,double,uniform,CPU,"Ds | Ns",192,44,0.031168,0,0.04881,0.00768,0.210198,0.087658
1,double,uniform,CPU,"Ds | Ns",192,45,0.032768,0,0.04903,0.008448,0.130378,0.090246
1,double,uniform,CPU,"Ds | Ns",192,46,0.030592,0,0.049029,0.007904,0.128809,0.087525
1,double,uniform,CPU,"Ds | Ns",192,47,0.031136,0,0.04899,0.007744,0.126469,0.08787
1,double,uniform,CPU,"Ds | Ns",192,48,0.029216,0,0.049149,0.005856,0.123259,0.084221
1,double,uniform,CPU,"Ds | Ns",192,49,0.0312,0,0.04863,0.009152,0.127989,0.088982
1,double,uniform,CPU,"Ds | Ns",192,50,0.029024,0,0.04883,0.007776,0.124739,0.08563
1,double,uniform,CPU,"Ds | Ns",192,51,0.028224,0,0.04856,0.00896,0.125659,0.085744
1,double,uniform,CPU,"Ds | Ns",192,52,0.030304,0,0.04891,0.006688,0.128609,0.085902
1,double,uniform,CPU,"Ds | Ns",192,53,0.028064,0,0.04882,0.007744,0.122479,0.084628
1,double,uniform,CPU,"Ds | Ns",192,54,0.029024,0,0.04636,0.007584,0.116009,0.082968
1,double,uniform,CPU,"Ds | Ns",192,55,0.030464,0,0.049019,0.008256,0.128939,0.087739
1,double,uniform,CPU,"Ds | Ns",192,56,0.028768,0,0.04904,0.008384,0.126719,0.086192
1,double,uniform,CPU,"Ds | Ns",192,57,0.027968,0,0.049029,0.00832,0.125399,0.085317
1,double,uniform,CPU,"Ds | Ns",192,58,0.031264,0,0.049299,0.00832,0.129929,0.088883
1,double,uniform,CPU,"Ds | Ns",192,59,0.029312,0,0.04873,0.00768,0.124579,0.085722
1,double,uniform,CPU,"Ds | Ns",192,60,0.032256,0,0.04919,0.008736,0.128359,0.090182
1,double,uniform,CPU,"Ds | Ns",192,61,0.031456,0,0.04903,0.00848,0.12817,0.088966
1,double,uniform,CPU,"Ds | Ns",192,62,0.030432,0,0.04927,0.008448,0.128619,0.08815
1,double,uniform,CPU,"Ds | Ns",192,63,0.030752,0,0.048779,0.006624,0.126139,0.086155
1,double,uniform,CPU,"Ds | Ns",192,64,0.028672,0,0.048779,0.00864,0.125539,0.086091
1,double,uniform,CPU,"Ds | Ns",192,65,0.034784,0,0.0455,0.00928,0.122759,0.089564
1,double,uniform,CPU,"Ds | Ns",192,66,0.029696,0,0.048759,0.0088,0.127519,0.087255
1,double,uniform,CPU,"Ds | Ns",192,67,0.02896,0,0.045699,0.009792,0.116609,0.084451
1,double,uniform,CPU,"Ds | Ns",192,68,0.03344,0,0.04932,0.007296,0.129829,0.090056
1,double,uniform,CPU,"Ds | Ns",192,69,0.028064,0,0.04863,0.007936,0.126629,0.08463
1,double,uniform,CPU,"Ds | Ns",192,70,0.029088,0,0.048949,0.007232,0.124529,0.085269
1,double,uniform,CPU,"Ds | Ns",192,71,0.030016,0,0.0495,0.008704,0.128969,0.08822
1,double,uniform,CPU,"Ds | Ns",192,72,0.029248,0,0.04902,0.008544,0.126358,0.086812
1,double,uniform,CPU,"Ds | Ns",192,73,0.029984,0,0.048978,0.007584,0.123519,0.086546
1,double,uniform,CPU,"Ds | Ns",192,74,0.030752,0,0.04864,0.008448,0.127029,0.08784
1,double,uniform,CPU,"Ds | Ns",256,0,0.057056,0,0.043749,0.011552,0.160189,0.112357
1,double,uniform,CPU,"Ds | Ns",256,1,0.028544,0,0.03983,0.009568,0.116869,0.077942
1,double,uniform,CPU,"Ds | Ns",256,2,0.029216,0,0.03979,0.008512,0.118309,0.077518
1,double,uniform,CPU,"Ds | Ns",256,3,0.030496,0,0.03577,0.009088,0.110819,0.075354
1,double,uniform,CPU,"Ds | Ns",256,4,0.028832,0,0.03955,0.008096,0.115779,0.076478
1,double,uniform,CPU,"Ds | Ns",256,5,0.028384,0,0.03977,0.008,0.116319,0.076154
1,double,uniform,CPU,"Ds | Ns",256,6,0.030016,0,0.03974,0.008768,0.117179,0.078524
1,double,uniform,CPU,"Ds | Ns",256,7,0.028416,0,0.04017,0.008128,0.118569,0.076714
1,double,uniform,CPU,"Ds | Ns",256,8,0.029152,0,0.039309,0.009408,0.116709,0.077869
1,double,uniform,CPU,"Ds | Ns",256,9,0.0328,0,0.0403,0.008512,0.120049,0.081612
1,double,uniform,CPU,"Ds | Ns",256,10,0.032032,0,0.03709,0.008832,0.110379,0.077954
1,double,uniform,CPU,"Ds | Ns",256,11,0.031072,0,0.03974,0.008192,0.120199,0.079004
1,double,uniform,CPU,"Ds | Ns",256,12,0.028576,0,0.03954,0.007936,0.115708,0.076052
1,double,uniform,CPU,"Ds | Ns",256,13,0.029664,0,0.039819,0.007808,0.121189,0.077291
1,double,uniform,CPU,"Ds | Ns",256,14,0.030176,0,0.03989,0.008448,0.118269,0.078514
1,double,uniform,CPU,"Ds | Ns",256,15,0.02848,0,0.039629,0.00832,0.116909,0.076429
1,double,uniform,CPU,"Ds | Ns",256,16,0.028032,0,0.040169,0.008128,0.116119,0.076329
1,double,uniform,CPU,"Ds | Ns",256,17,0.028096,0,0.03981,0.008672,0.115389,0.076578
1,double,uniform,CPU,"Ds | Ns",256,18,0.033344,0,0.039439,0.00816,0.121409,0.080943
1,double,uniform,CPU,"Ds | Ns",256,19,0.027552,0,0.03962,0.008832,0.115149,0.076004
1,double,uniform,CPU,"Ds | Ns",256,20,0.033184,0,0.03966,0.008608,0.124389,0.081452
1,double,uniform,CPU,"Ds | Ns",256,21,0.03008,0,0.039459,0.008832,0.117769,0.078371
1,double,uniform,CPU,"Ds | Ns",256,22,0.029952,0,0.039789,0.0088,0.116929,0.078541
1,double,uniform,CPU,"Ds | Ns",256,23,0.030592,0,0.03848,0.008576,0.116639,0.077648
1,double,uniform,CPU,"Ds | Ns",256,24,0.031232,0,0.0395,0.008928,0.119079,0.07966
1,double,uniform,CPU,"Ds | Ns",256,25,0.027424,0,0.03947,0.008384,0.114279,0.075278
1,double,uniform,CPU,"Ds | Ns",256,26,0.028352,0,0.040069,0.008448,0.116719,0.076869
1,double,uniform,CPU,"Ds | Ns",256,27,0.03168,0,0.03993,0.007456,0.118279,0.079066
1,double,uniform,CPU,"Ds | Ns",256,28,0.028704,0,0.03944,0.00832,0.116359,0.076464
1,double,uniform,CPU,"Ds | Ns",256,29,0.02928,0,0.03995,0.008544,0.118108,0.077774
1,double,uniform,CPU,"Ds | Ns",256,30,0.030144,0,0.03953,0.00768,0.119109,0.077354
1,double,uniform,CPU,"Ds | Ns",256,31,0.027616,0,0.0396,0.008288,0.114859,0.075504
1,double,uniform,CPU,"Ds | Ns",256,32,0.02832,0,0.039729,0.007424,0.117669,0.075473
1,double,uniform,CPU,"Ds | Ns",256,33,0.029792,0,0.03951,0.009184,0.115649,0.078486
1,double,uniform,CPU,"Ds | Ns",256,34,0.030272,0,0.03986,0.008448,0.118759,0.07858
1,double,uniform,CPU,"Ds | Ns",256,35,0.027712,0,0.03972,0.008512,0.113259,0.075944
1,double,uniform,CPU,"Ds | Ns",256,36,0.032576,0,0.03956,0.008128,0.121369,0.080264
1,double,uniform,CPU,"Ds | Ns",256,37,0.035168,0,0.03959,0.00896,0.123609,0.083718
1,double,uniform,CPU,"Ds | Ns",256,38,0.0312,0,0.03969,0.0096,0.120809,0.08049
