dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"D | D | D | D | D | D",128,4,1.55123,0,2.13219,0.063264,3.79643,3.74669
3,double,uniform,CPU,"D | D | D | D | D | D",128,5,1.55248,0,2.13497,0.06528,3.82316,3.75273
3,double,uniform,CPU,"D | D | D | D | D | D",128,6,1.55155,0,2.13163,0.061856,3.79352,3.74504
3,double,uniform,CPU,"D | D | D | D | D | D",128,7,1.51219,0,2.13152,0.06128,3.75143,3.70499
3,double,uniform,CPU,"D | D | D | D | D | D",128,8,1.55738,0,2.13098,0.060032,3.79638,3.74839
3,double,uniform,CPU,"D | D | D | D | D | D",128,9,1.53338,0,2.13288,0.059872,3.77555,3.72613
3,double,uniform,CPU,"D | D | D | D | D | D",128,10,1.52752,0,2.12863,0.06016,3.76807,3.71631
3,double,uniform,CPU,"D | D | D | D | D | D",128,11,1.51763,0,2.13081,0.05936,3.75791,3.7078
3,double,uniform,CPU,"D | D | D | D | D | D",128,12,1.5639,0,2.13305,0.063776,3.81622,3.76073
3,double,uniform,CPU,"D | D | D | D | D | D",128,13,1.50358,0,2.13153,0.058464,3.74242,3.69358
3,double,uniform,CPU,"D | D | D | D | D | D",128,14,1.53027,0,2.1364,0.064256,3.8068,3.73093
3,double,uniform,CPU,"D | D | D | D | D | D",128,15,1.52006,0,2.1315,0.062144,3.76153,3.71371
3,double,uniform,CPU,"D | D | D | D | D | D",128,16,1.53642,0,2.13204,0.061248,3.85323,3.72971
3,double,uniform,CPU,"D | D | D | D | D | D",128,17,1.51405,0,2.13605,0.064512,3.78123,3.71461
3,double,uniform,CPU,"D | D | D | D | D | D",128,18,1.50362,0,2.13009,0.058976,3.74174,3.69268
3,double,uniform,CPU,"D | D | D | D | D | D",128,19,1.54154,0,2.13586,0.061792,3.80196,3.73919
3,double,uniform,CPU,"D | D | D | D | D | D",128,20,1.52128,0,2.1334,0.06272,3.77407,3.7174
3,double,uniform,CPU,"D | D | D | D | D | D",128,21,1.54544,0,2.13174,0.059616,3.79002,3.7368
3,double,uniform,CPU,"D | D | D | D | D | D",128,22,1.51427,0,2.13156,0.060096,3.75478,3.70593
3,double,uniform,CPU,"D | D | D | D | D | D",128,23,1.5409,0,2.13008,0.059968,3.78026,3.73094
