dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"P | P | P | P",128,43,0.012192,0,0.050079,0.016352,0.121679,0.078623
2,double,uniform,GPU,"P | P | P | P",128,44,0.014944,0,0.050079,0.01504,0.129178,0.080063
2,double,uniform,GPU,"P | P | P | P",128,45,0.0128,0,0.049789,0.016544,0.121019,0.079133
2,double,uniform,GPU,"P | P | P | P",128,46,0.011744,0,0.049759,0.016672,0.119699,0.078175
2,double,uniform,GPU,"P | P | P | P",128,47,0.012768,0,0.048959,0.016128,0.119658,0.077855
2,double,uniform,GPU,"P | P | P | P",128,48,0.015488,0,0.05053,0.01456,0.125179,0.080578
2,double,uniform,GPU,"P | P | P | P",128,49,0.011584,0,0.05015,0.01408,0.117459,0.075814
2,double,uniform,GPU,"P | P | P | P",128,50,0.01344,0,0.050709,0.015744,0.121279,0.079893
2,double,uniform,GPU,"P | P | P | P",128,51,0.015072,0,0.049819,0.015968,0.124279,0.080859
2,double,uniform,GPU,"P | P | P | P",128,52,0.012,0,0.049729,0.01648,0.119828,0.078209
2,double,uniform,GPU,"P | P | P | P",128,53,0.012512,0,0.04635,0.01744,0.109959,0.076302
2,double,uniform,GPU,"P | P | P | P",128,54,0.012672,0,0.05006,0.014464,0.118748,0.077196
2,double,uniform,GPU,"P | P | P | P",128,55,0.013696,0,0.04952,0.016736,0.122159,0.079952
2,double,uniform,GPU,"P | P | P | P",128,56,0.013888,0,0.05008,0.017408,0.123318,0.081376
2,double,uniform,GPU,"P | P | P | P",128,57,0.013376,0,0.050129,0.016864,0.125369,0.080369
2,double,uniform,GPU,"P | P | P | P",128,58,0.013632,0,0.050179,0.0168,0.123199,0.080611
2,double,uniform,GPU,"P | P | P | P",128,59,0.014464,0,0.049789,0.016768,0.123279,0.081021
2,double,uniform,GPU,"P | P | P | P",128,60,0.012192,0,0.049809,0.016832,0.120559,0.078833
2,double,uniform,GPU,"P | P | P | P",128,61,0.012128,0,0.04993,0.015392,0.119258,0.07745
2,double,uniform,GPU,"P | P | P | P",128,62,0.015456,0,0.050009,0.01584,0.125039,0.081305
2,double,uniform,GPU,"P | P | P | P",128,63,0.012512,0,0.049749,0.016864,0.120219,0.079125
2,double,uniform,GPU,"P | P | P | P",128,64,0.014048,0,0.049749,0.014688,0.120159,0.078485
2,double,uniform,GPU,"P | P | P | P",128,65,0.011744,0,0.049989,0.014784,0.117628,0.076517
2,double,uniform,GPU,"P | P | P | P",128,66,0.013088,0,0.046819,0.015744,0.110698,0.075651
2,double,uniform,GPU,"P | P | P | P",128,67,0.012224,0,0.04983,0.016672,0.120609,0.078726
2,double,uniform,GPU,"P | P | P | P",128,68,0.012608,0,0.049609,0.016768,0.124028,0.078985
2,double,uniform,GPU,"P | P | P | P",128,69,0.01376,0,0.127359,0.014784,0.198747,0.155903
2,double,uniform,GPU,"P | P | P | P",128,70,0.011744,0,0.050109,0.014976,0.119119,0.076829
2,double,uniform,GPU,"P | P | P | P",128,71,0.012256,0,0.049998,0.015616,0.119189,0.07787
2,double,uniform,GPU,"P | P | P | P",128,72,0.01264,0,0.046119,0.016352,0.116149,0.075111
2,double,uniform,GPU,"P | P | P | P",128,73,0.011552,0,0.153089,0.015968,0.222367,0.180609
2,double,uniform,GPU,"P | P | P | P",128,74,0.0128,0,0.050979,0.0176,0.123569,0.081379
2,double,uniform,GPU,"P | P | P | P",192,0,0.0256,0,0.07345,0.022368,0.173928,0.121418
2,double,uniform,GPU,"P | P | P | P",192,1,0.013088,0,0.069189,0.013472,0.143449,0.095749
2,double,uniform,GPU,"P | P | P | P",192,2,0.010944,0,0.06894,0.016064,0.144338,0.095948
2,double,uniform,GPU,"P | P | P | P",192,3,0.015264,0,0.069349,0.01424,0.145369,0.098853
2,double,uniform,GPU,"P | P | P | P",192,4,0.01136,0,0.075539,0.01488,0.149208,0.101779
2,double,uniform,GPU,"P | P | P | P",192,5,0.013536,0,0.068479,0.014432,0.141559,0.096447
2,double,uniform,GPU,"P | P | P | P",192,6,0.011872,0,0.06878,0.016,0.144298,0.096652
2,double,uniform,GPU,"P | P | P | P",192,7,0.01024,0,0.068559,0.014944,0.141378,0.093743
2,double,uniform,GPU,"P | P | P | P",192,8,0.013056,0,0.068769,0.014912,0.142558,0.096737
2,double,uniform,GPU,"P | P | P | P",192,9,0.012256,0,0.069249,0.014368,0.143868,0.095873
2,double,uniform,GPU,"P | P | P | P",192,10,0.014528,0,0.076059,0.016608,0.153849,0.107195
2,double,uniform,GPU,"P | P | P | P",192,11,0.01408,0,0.06509,0.016032,0.131608,0.095202
2,double,uniform,GPU,"P | P | P | P",192,12,0.011936,0,0.06858,0.016704,0.144429,0.09722
2,double,uniform,GPU,"P | P | P | P",192,13,0.01184,0,0.069209,0.013536,0.143489,0.094585
2,double,uniform,GPU,"P | P | P | P",192,14,0.01264,0,0.068519,0.015232,0.142829,0.096391
2,double,uniform,GPU,"P | P | P | P",192,15,0.01328,0,0.06863,0.0144,0.147638,0.09631
2,double,uniform,GPU,"P | P | P | P",192,16,0.011648,0,0.068329,0.01504,0.142169,0.095017
2,double,uniform,GPU,"P | P | P | P",192,17,0.0112,0,0.068669,0.01408,0.140398,0.093949
2,double,uniform,GPU,"P | P | P | P",192,18,0.014016,0,0.06872,0.012992,0.141009,0.095728
2,double,uniform,GPU,"P | P | P | P",192,19,0.010912,0,0.06871,0.012896,0.139929,0.092518
2,double,uniform,GPU,"P | P | P | P",192,20,0.011168,0,0.068319,0.013056,0.148579,0.092543
2,double,uniform,GPU,"P | P | P | P",192,21,0.012512,0,0.06854,0.014336,0.142858,0.095388
2,double,uniform,GPU,"P | P | P | P",192,22,0.011712,0,0.068339,0.014496,0.142419,0.094547
2,double,uniform,GPU,"P | P | P | P",192,23,0.013472,0,0.06859,0.014752,0.142069,0.096814
2,double,uniform,GPU,"P | P | P | P",192,24,0.013408,0,0.068559,0.014016,0.141859,0.095983
2,double,uniform,GPU,"P | P | P | P",192,25,0.012256,0,0.06883,0.015616,0.144888,0.096702
2,double,uniform,GPU,"P | P | P | P",192,26,0.011232,0,0.157517,0.015552,0.230147,0.184301
2,double,uniform,GPU,"P | P | P | P",192,27,0.012896,0,0.069039,0.014528,0.143488,0.096463
2,double,uniform,GPU,"P | P | P | P",192,28,0.012384,0,0.06897,0.014176,0.143909,0.09553
2,double,uniform,GPU,"P | P | P | P",192,29,0.010592,0,0.068879,0.015776,0.142638,0.095247
2,double,uniform,GPU,"P | P | P | P",192,30,0.01472,0,0.06848,0.014336,0.143888,0.097536
2,double,uniform,GPU,"P | P | P | P",192,31,0.0112,0,0.068859,0.014496,0.142728,0.094555
2,double,uniform,GPU,"P | P | P | P",192,32,0.01264,0,0.068889,0.021792,0.151389,0.103321
2,double,uniform,GPU,"P | P | P | P",192,33,0.014496,0,0.068589,0.014112,0.143508,0.097197
2,double,uniform,GPU,"P | P | P | P",192,34,0.00944,0,0.068599,0.015328,0.140778,0.093367
2,double,uniform,GPU,"P | P | P | P",192,35,0.014176,0,0.069269,0.01408,0.143609,0.097525
2,double,uniform,GPU,"P | P | P | P",192,36,0.012416,0,0.06463,0.016608,0.131659,0.093654
2,double,uniform,GPU,"P | P | P | P",192,37,0.014432,0,0.06854,0.0168,0.144999,0.099772
2,double,uniform,GPU,"P | P | P | P",192,38,0.012128,0,0.06842,0.013024,0.140758,0.093572
2,double,uniform,GPU,"P | P | P | P",192,39,0.012448,0,0.069219,0.0144,0.142028,0.096067
2,double,uniform,GPU,"P | P | P | P",192,40,0.012096,0,0.068999,0.014848,0.143528,0.095943
2,double,uniform,GPU,"P | P | P | P",192,41,0.012256,0,0.068589,0.01552,0.144499,0.096365
2,double,uniform,GPU,"P | P | P | P",192,42,0.011136,0,0.068229,0.013984,0.141058,0.093349
2,double,uniform,GPU,"P | P | P | P",192,43,0.012192,0,0.06862,0.016416,0.143648,0.097228
2,double,uniform,GPU,"P | P | P | P",192,44,0.013248,0,0.06853,0.014048,0.141738,0.095826
2,double,uniform,GPU,"P | P | P | P",192,45,0.01152,0,0.06873,0.012704,0.141308,0.092954
2,double,uniform,GPU,"P | P | P | P",192,46,0.010912,0,0.068469,0.014112,0.141588,0.093493
2,double,uniform,GPU,"P | P | P | P",192,47,0.01216,0,0.068459,0.01312,0.141568,0.093739
2,double,uniform,GPU,"P | P | P | P",192,48,0.012352,0,0.068549,0.013632,0.142698,0.094533
2,double,uniform,GPU,"P | P | P | P",192,49,0.01344,0,0.06829,0.016384,0.143808,0.098114
2,double,uniform,GPU,"P | P | P | P",192,50,0.01056,0,0.139069,0.014912,0.211127,0.164541
2,double,uniform,GPU,"P | P | P | P",192,51,0.01088,0,0.068479,0.013728,0.141648,0.093087
2,double,uniform,GPU,"P | P | P | P",192,52,0.011008,0,0.068519,0.015488,0.141389,0.095015
2,double,uniform,GPU,"P | P | P | P",192,53,0.013248,0,0.06864,0.01648,0.144699,0.098368
2,double,uniform,GPU,"P | P | P | P",192,54,0.014208,0,0.067949,0.015392,0.137049,0.097549
2,double,uniform,GPU,"P | P | P | P",192,55,0.011808,0,0.064939,0.018464,0.136329,0.095211
2,double,uniform,GPU,"P | P | P | P",192,56,0.017312,0,0.068899,0.01648,0.148518,0.102691
2,double,uniform,GPU,"P | P | P | P",192,57,0.010912,0,0.068509,0.014304,0.140548,0.093725
2,double,uniform,GPU,"P | P | P | P",192,58,0.011808,0,0.06865,0.016064,0.147399,0.096522
2,double,uniform,GPU,"P | P | P | P",192,59,0.013184,0,0.068979,0.015968,0.144369,0.098131
2,double,uniform,GPU,"P | P | P | P",192,60,0.012576,0,0.068509,0.017504,0.145479,0.098589
2,double,uniform,GPU,"P | P | P | P",192,61,0.01312,0,0.06891,0.016448,0.143789,0.098478
2,double,uniform,GPU,"P | P | P | P",192,62,0.014176,0,0.06852,0.014816,0.186607,0.097512
2,double,uniform,GPU,"P | P | P | P",192,63,0.012864,0,0.068818,0.013888,0.143128,0.09557
2,double,uniform,GPU,"P | P | P | P",192,64,0.010016,0,0.068389,0.016032,0.140889,0.094437
2,double,uniform,GPU,"P | P | P | P",192,65,0.01152,0,0.069499,0.01504,0.144058,0.096059
2,double,uniform,GPU,"P | P | P | P",192,66,0.014048,0,0.068969,0.016704,0.144718,0.099721
2,double,uniform,GPU,"P | P | P | P",192,67,0.012736,0,0.065879,0.017696,0.132548,0.096311
2,double,uniform,GPU,"P | P | P | P",192,68,0.01344,0,0.068399,0.015648,0.144648,0.097487
2,double,uniform,GPU,"P | P | P | P",192,69,0.011616,0,0.068509,0.014592,0.141998,0.094717
2,double,uniform,GPU,"P | P | P | P",192,70,0.01312,0,0.06858,0.013408,0.141589,0.095108
2,double,uniform,GPU,"P | P | P | P",192,71,0.012704,0,0.06774,0.016,0.142098,0.096444
2,double,uniform,GPU,"P | P | P | P",192,72,0.011232,0,0.06856,0.012704,0.140489,0.092496
2,double,uniform,GPU,"P | P | P | P",192,73,0.012064,0,0.068589,0.013824,0.147629,0.094477
2,double,uniform,GPU,"P | P | P | P",192,74,0.016256,0,0.069139,0.014336,0.146419,0.099731
2,double,uniform,GPU,"P | P | P | P",256,0,0.023968,0,0.06387,0.02608,0.165498,0.113918
2,double,uniform,GPU,"P | P | P | P",256,1,0.013952,0,0.06126,0.019776,0.144558,0.094988
2,double,uniform,GPU,"P | P | P | P",256,2,0.009696,0,0.060049,0.016672,0.136639,0.086417
2,double,uniform,GPU,"P | P | P | P",256,3,0.008352,0,0.0599,0.017248,0.134708,0.0855
2,double,uniform,GPU,"P | P | P | P",256,4,0.008192,0,0.059919,0.016704,0.135059,0.084815
2,double,uniform,GPU,"P | P | P | P",256,5,0.00848,0,0.05989,0.016128,0.135548,0.084498
2,double,uniform,GPU,"P | P | P | P",256,6,0.00864,0,0.059469,0.0168,0.134389,0.084909
