dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"Ds | Ns",128,11,0.029376,0,0.01857,0.005472,0.092209,0.053418
1,float,uniform,CPU,"Ds | Ns",128,12,0.030208,0,0.018479,0.005856,0.093389,0.054543
1,float,uniform,CPU,"Ds | Ns",128,13,0.031104,0,0.01849,0.005728,0.093599,0.055322
1,float,uniform,CPU,"Ds | Ns",128,14,0.032992,0,0.01841,0.0056,0.097239,0.057002
1,float,uniform,CPU,"Ds | Ns",128,15,0.029248,0,0.018639,0.009248,0.094629,0.057135
1,float,uniform,CPU,"Ds | Ns",128,16,0.03312,0,0.01844,0.005792,0.096229,0.057352
1,float,uniform,CPU,"Ds | Ns",128,17,0.030528,0,0.018401,0.006272,0.094269,0.055201
1,float,uniform,CPU,"Ds | Ns",128,18,0.02896,0,0.01938,0.005504,0.09101,0.053844
1,float,uniform,CPU,"Ds | Ns",128,19,0.03024,0,0.018819,0.006912,0.094679,0.055971
1,float,uniform,CPU,"Ds | Ns",128,20,0.033248,0,0.01881,0.00512,0.096219,0.057178
1,float,uniform,CPU,"Ds | Ns",128,21,0.027584,0,0.01836,0.007456,0.092219,0.0534
1,float,uniform,CPU,"Ds | Ns",128,22,0.029472,0,0.01809,0.005344,0.08889,0.052906
1,float,uniform,CPU,"Ds | Ns",128,23,0.029824,0,0.01823,0.005248,0.090869,0.053302
1,float,uniform,CPU,"Ds | Ns",128,24,0.03328,0,0.01855,0.005888,0.095619,0.057718
1,float,uniform,CPU,"Ds | Ns",128,25,0.028864,0,0.0187,0.00544,0.090329,0.053004
1,float,uniform,CPU,"Ds | Ns",128,26,0.030048,0,0.018819,0.007808,0.097359,0.056675
1,float,uniform,CPU,"Ds | Ns",128,27,0.030624,0,0.01807,0.005216,0.092659,0.05391
1,float,uniform,CPU,"Ds | Ns",128,28,0.029248,0,0.01926,0.00768,0.094989,0.056188
1,float,uniform,CPU,"Ds | Ns",128,29,0.028992,0,0.01837,0.00752,0.093939,0.054882
1,float,uniform,CPU,"Ds | Ns",128,30,0.028032,0,0.01496,0.00768,0.082669,0.050672
1,float,uniform,CPU,"Ds | Ns",128,31,0.027968,0,0.01837,0.007744,0.092099,0.054082
1,float,uniform,CPU,"Ds | Ns",128,32,0.032,0,0.018449,0.005536,0.096469,0.055985
1,float,uniform,CPU,"Ds | Ns",128,33,0.03008,0,0.019189,0.005856,0.092649,0.055125
1,float,uniform,CPU,"Ds | Ns",128,34,0.03056,0,0.01836,0.006912,0.094649,0.055832
1,float,uniform,CPU,"Ds | Ns",128,35,0.030336,0,0.01845,0.00656,0.094769,0.055346
1,float,uniform,CPU,"Ds | Ns",128,36,0.030784,0,0.01956,0.005728,0.094039,0.056072
1,float,uniform,CPU,"Ds | Ns",128,37,0.028096,0,0.019059,0.005632,0.090799,0.052787
1,float,uniform,CPU,"Ds | Ns",128,38,0.029536,0,0.01858,0.00512,0.091239,0.053236
1,float,uniform,CPU,"Ds | Ns",128,39,0.030656,0,0.0184,0.005408,0.091929,0.054464
1,float,uniform,CPU,"Ds | Ns",128,40,0.027392,0,0.018529,0.005216,0.088939,0.051137
1,float,uniform,CPU,"Ds | Ns",128,41,0.035552,0,0.018879,0.006048,0.103179,0.060479
1,float,uniform,CPU,"Ds | Ns",128,42,0.028608,0,0.01872,0.007488,0.092909,0.054816
1,float,uniform,CPU,"Ds | Ns",128,43,0.030048,0,0.0185,0.005792,0.091609,0.05434
