dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,1,0.048576,0.001791,0.154548,0.04544,0.304217,0.250355
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,2,0.064,0.00212,0.157649,0.05024,0.321956,0.274009
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,3,0.045824,0.00178,0.153079,0.045888,0.301816,0.246571
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,4,0.046048,0.00188,0.151878,0.044384,0.297967,0.24419
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,5,0.05168,0.001789,0.153658,0.044256,0.306067,0.251383
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,6,0.062464,0.00221,0.158588,0.047872,0.334037,0.271134
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,7,0.046464,0.00191,0.148198,0.046592,0.293177,0.243164
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,8,0.046368,0.00187,0.154299,0.044992,0.303167,0.247529
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,9,0.062944,0.002171,0.158548,0.04752,0.327366,0.271183
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,10,0.06288,0.00205,0.158968,0.047168,0.325497,0.271066
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,11,0.048032,0.001889,0.153549,0.045088,0.302647,0.248558
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,12,0.056736,0.00188,0.158398,0.047456,0.320206,0.26447
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,13,0.047008,0.00201,0.153657,0.046176,0.303797,0.248851
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,14,0.044256,0.00177,0.151788,0.04656,0.298736,0.244374
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,15,0.061184,0.00218,0.157628,0.0488,0.324927,0.269792
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,16,0.045824,0.001842,0.155189,0.045856,0.304696,0.248711
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,17,0.04736,0.00205,0.15474,0.046464,0.305056,0.250614
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,18,0.04784,0.00177,0.15066,0.044544,0.297566,0.244814
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,19,0.052512,0.00183,0.154798,0.045472,0.309856,0.254612
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,20,0.045152,0.001748,0.154929,0.045184,0.301836,0.247013
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,21,0.061888,0.002101,0.158818,0.04864,0.326776,0.271447
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,22,0.048288,0.001729,0.152888,0.0448,0.302847,0.247705
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,23,0.063072,0.00215,0.158338,0.047936,0.326127,0.271496
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,24,0.044768,0.001829,0.153689,0.044864,0.300216,0.24515
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,25,0.047264,0.00185,0.152838,0.0432,0.300086,0.245152
3,float,uniform,GPU,"Ns | Ds | Ns | Ns | Ns | Ns",192,26,0.044896,0.001599,0.152408,0.0472,0.350246,0.246103
