dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,37,0.014112,0,0.06045,0.008736,0.118068,0.083298
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,38,0.012576,0,0.059009,0.007776,0.116128,0.079361
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,39,0.011488,0,0.05922,0.007776,0.114759,0.078484
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,40,0.012608,0,0.058259,0.008096,0.114428,0.078963
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,41,0.011456,0,0.05929,0.008128,0.114699,0.078874
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,42,0.012096,0,0.058049,0.008384,0.113848,0.078529
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,43,0.014784,0,0.054269,0.009728,0.107939,0.078781
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,44,0.01168,0,0.05851,0.008704,0.113679,0.078894
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,45,0.013888,0,0.05835,0.009152,0.116868,0.08139
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,46,0.012256,0,0.05806,0.007488,0.114428,0.077804
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,47,0.013088,0,0.058009,0.008992,0.114989,0.080089
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,48,0.011968,0,0.05785,0.00784,0.113389,0.077658
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,49,0.012096,0,0.058619,0.007168,0.114469,0.077883
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,50,0.01312,0,0.05443,0.009504,0.105298,0.077054
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,51,0.012192,0,0.0586,0.008192,0.115729,0.078984
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,52,0.012704,0,0.058629,0.006784,0.115579,0.078117
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,53,0.01136,0,0.058099,0.007744,0.114119,0.077203
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,54,0.01264,0,0.05868,0.008544,0.115169,0.079864
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,55,0.019744,0,0.058009,0.008,0.120998,0.085753
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,56,0.012992,0,0.05797,0.008512,0.115148,0.079474
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,57,0.013856,0,0.05807,0.009696,0.117399,0.081622
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,58,0.012192,0,0.05808,0.007776,0.113339,0.078048
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,59,0.01408,0,0.0588,0.009216,0.118149,0.082096
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,60,0.012384,0,0.05835,0.008672,0.114438,0.079406
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,61,0.012128,0,0.05896,0.008512,0.116009,0.0796
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,62,0.011296,0,0.058949,0.007712,0.114239,0.077957
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,63,0.014208,0,0.05797,0.00784,0.116109,0.080018
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,64,0.01136,0,0.058369,0.007392,0.113799,0.077121
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,65,0.012992,0,0.0593,0.008672,0.116108,0.080964
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,66,0.012512,0,0.058219,0.00864,0.114449,0.079371
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,67,0.012448,0,0.05906,0.007456,0.117108,0.078964
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,68,0.011936,0,0.058549,0.007776,0.113769,0.078261
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,69,0.014144,0,0.057429,0.00784,0.114799,0.079413
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,70,0.012896,0,0.05811,0.007072,0.114669,0.078078
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,71,0.01264,0,0.05831,0.00768,0.115009,0.07863
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,72,0.012736,0,0.05821,0.007776,0.116848,0.078722
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,73,0.01216,0,0.05808,0.007584,0.114209,0.077824
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",128,74,0.013088,0,0.05477,0.010816,0.107569,0.078674
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,0,0.025728,0,0.084529,0.01168,0.164629,0.121937
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,1,0.009344,0,0.080159,0.007968,0.138348,0.097471
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,2,0.010784,0,0.080089,0.008544,0.137569,0.099417
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,3,0.010624,0,0.079609,0.008544,0.139329,0.098777
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,4,0.008544,0,0.079569,0.00656,0.135749,0.094673
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,5,0.010976,0,0.079699,0.007552,0.137048,0.098227
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,6,0.009152,0,0.079589,0.007936,0.137009,0.096677
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,7,0.009152,0,0.08023,0.008544,0.137439,0.097926
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,8,0.010144,0,0.08016,0.007232,0.137599,0.097536
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,9,0.0096,0,0.079949,0.006752,0.136709,0.096301
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,10,0.012736,0,0.07744,0.010784,0.132578,0.10096
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,11,0.01136,0,0.079749,0.00992,0.138318,0.101029
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,12,0.011232,0,0.079879,0.006688,0.139389,0.097799
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,13,0.009056,0,0.07951,0.007616,0.137508,0.096182
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,14,0.008288,0,0.080169,0.009056,0.137118,0.097513
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,15,0.009312,0,0.080179,0.008192,0.137778,0.097683
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,16,0.011392,0,0.07954,0.008448,0.138279,0.09938
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,17,0.0104,0,0.079649,0.00928,0.138688,0.099329
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,18,0.008448,0,0.08103,0.007584,0.137069,0.097062
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,19,0.009504,0,0.130348,0.00656,0.187888,0.146412
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,20,0.009504,0,0.08135,0.007616,0.139568,0.09847
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,21,0.009984,0,0.079769,0.007488,0.136838,0.097241
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,22,0.015008,0,0.07992,0.0072,0.140299,0.102128
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,23,0.010784,0,0.076729,0.010976,0.130159,0.098489
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,24,0.011936,0,0.079819,0.007872,0.140008,0.099627
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,25,0.010688,0,0.080199,0.00752,0.139269,0.098407
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,26,0.010784,0,0.079969,0.007488,0.139239,0.098241
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,27,0.008736,0,0.07982,0.007264,0.137049,0.09582
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,28,0.009952,0,0.080308,0.009536,0.140018,0.099796
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,29,0.011232,0,0.076019,0.011744,0.129628,0.098995
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,30,0.008992,0,0.079629,0.007008,0.136128,0.095629
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,31,0.010464,0,0.079769,0.007744,0.137459,0.097977
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,32,0.009248,0,0.079569,0.007968,0.137599,0.096785
2,double,uniform,GPU,"Ns | Ns | Ns | Ns",192,33,0.009824,0,0.080369,0.006688,0.136589,0.096881
