dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,GPU,"Ns | Ds",64,71,0.0104,0,0.01842,0.004608,0.06729,0.033428
1,float,uniform,GPU,"Ns | Ds",64,72,0.01248,0,0.01831,0.013248,0.077599,0.044038
1,float,uniform,GPU,"Ns | Ds",64,73,0.010688,0,0.018,0.004576,0.06627,0.033264
1,float,uniform,GPU,"Ns | Ds",64,74,0.010432,0,0.01832,0.004512,0.06649,0.033264
1,float,uniform,GPU,"Ns | Ds",128,0,0.025632,0,0.0254,0.009792,0.102419,0.060824
1,float,uniform,GPU,"Ns | Ds",128,1,0.010816,0,0.019229,0.005888,0.069739,0.035933
1,float,uniform,GPU,"Ns | Ds",128,2,0.012352,0,0.018349,0.005952,0.069559,0.036653
1,float,uniform,GPU,"Ns | Ds",128,3,0.011072,0,0.01849,0.005504,0.067789,0.035066
1,float,uniform,GPU,"Ns | Ds",128,4,0.009216,0,0.0184,0.005856,0.067019,0.033472
1,float,uniform,GPU,"Ns | Ds",128,5,0.011296,0,0.014549,0.006944,0.061439,0.032789
1,float,uniform,GPU,"Ns | Ds",128,6,0.009344,0,0.01901,0.00544,0.066249,0.033794
1,float,uniform,GPU,"Ns | Ds",128,7,0.010976,0,0.018219,0.005408,0.069299,0.034603
1,float,uniform,GPU,"Ns | Ds",128,8,0.009856,0,0.018759,0.00528,0.066699,0.033895
1,float,uniform,GPU,"Ns | Ds",128,9,0.012416,0,0.02171,0.00528,0.072619,0.039406
1,float,uniform,GPU,"Ns | Ds",128,10,0.00992,0,0.01809,0.006016,0.067669,0.034026
1,float,uniform,GPU,"Ns | Ds",128,11,0.012224,0,0.01808,0.007552,0.0717,0.037856
1,float,uniform,GPU,"Ns | Ds",128,12,0.011552,0,0.01907,0.00512,0.07013,0.035742
1,float,uniform,GPU,"Ns | Ds",128,13,0.011808,0,0.01815,0.005728,0.069599,0.035686
1,float,uniform,GPU,"Ns | Ds",128,14,0.010784,0,0.018731,0.005728,0.068179,0.035243
1,float,uniform,GPU,"Ns | Ds",128,15,0.010432,0,0.018269,0.005152,0.066789,0.033853
1,float,uniform,GPU,"Ns | Ds",128,16,0.011552,0,0.01821,0.005696,0.069359,0.035458
1,float,uniform,GPU,"Ns | Ds",128,17,0.011456,0,0.01452,0.0064,0.06059,0.032376
1,float,uniform,GPU,"Ns | Ds",128,18,0.00912,0,0.0182,0.00512,0.06526,0.03244
1,float,uniform,GPU,"Ns | Ds",128,19,0.01232,0,0.01793,0.005536,0.07044,0.035786
1,float,uniform,GPU,"Ns | Ds",128,20,0.011232,0,0.01898,0.005024,0.068279,0.035236
1,float,uniform,GPU,"Ns | Ds",128,21,0.011456,0,0.018659,0.005344,0.070039,0.035459
1,float,uniform,GPU,"Ns | Ds",128,22,0.009504,0,0.01856,0.008,0.070479,0.036064
1,float,uniform,GPU,"Ns | Ds",128,23,0.01136,0,0.01851,0.005568,0.069109,0.035438
1,float,uniform,GPU,"Ns | Ds",128,24,0.011424,0,0.022779,0.005472,0.072469,0.039675
1,float,uniform,GPU,"Ns | Ds",128,25,0.011008,0,0.01865,0.005504,0.069059,0.035162
1,float,uniform,GPU,"Ns | Ds",128,26,0.011872,0,0.0182,0.005056,0.06911,0.035128
1,float,uniform,GPU,"Ns | Ds",128,27,0.011232,0,0.01853,0.005632,0.068769,0.035394
