dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | D | N",64,44,0.240384,0.00161,0.115909,0.023552,0.437435,0.381455
3,double,uniform,CPU,"P | P | P | P | D | N",64,45,0.352288,0.00162,0.117008,0.02224,0.548434,0.493156
3,double,uniform,CPU,"P | P | P | P | D | N",64,46,0.241568,0.00158,0.116688,0.02288,0.435475,0.382716
3,double,uniform,CPU,"P | P | P | P | D | N",64,47,0.240736,0.00188,0.114808,0.023584,0.431695,0.381008
3,double,uniform,CPU,"P | P | P | P | D | N",64,48,0.238624,0.0016,0.115838,0.024576,0.433475,0.380638
3,double,uniform,CPU,"P | P | P | P | D | N",64,49,0.240448,0.00167,0.116628,0.025056,0.438856,0.383802
3,double,uniform,CPU,"P | P | P | P | D | N",64,50,0.245632,0.001781,0.116019,0.024192,0.443725,0.387624
3,double,uniform,CPU,"P | P | P | P | D | N",64,51,0.240544,0.00163,0.116328,0.0216,0.437345,0.380102
3,double,uniform,CPU,"P | P | P | P | D | N",64,52,0.237984,0.001581,0.116528,0.021792,0.573594,0.377885
3,double,uniform,CPU,"P | P | P | P | D | N",64,53,0.244448,0.00162,0.117228,0.025376,0.443886,0.388672
3,double,uniform,CPU,"P | P | P | P | D | N",64,54,0.244928,0.0017,0.117309,0.023584,0.441115,0.387521
3,double,uniform,CPU,"P | P | P | P | D | N",64,55,0.24352,0.00162,0.116088,0.02544,0.439496,0.386668
3,double,uniform,CPU,"P | P | P | P | D | N",64,56,0.237632,0.00154,0.116108,0.01952,0.429355,0.3748
3,double,uniform,CPU,"P | P | P | P | D | N",64,57,0.240384,0.001619,0.115489,0.023424,0.436515,0.380916
3,double,uniform,CPU,"P | P | P | P | D | N",64,58,0.242048,0.0016,0.117099,0.024288,0.448415,0.385035
3,double,uniform,CPU,"P | P | P | P | D | N",64,59,0.2384,0.001631,0.116418,0.0224,0.433275,0.378849
3,double,uniform,CPU,"P | P | P | P | D | N",64,60,0.430208,0.001551,0.109279,0.026368,0.613803,0.567406
3,double,uniform,CPU,"P | P | P | P | D | N",64,61,0.241056,0.001611,0.11643,0.023424,0.439446,0.382521
3,double,uniform,CPU,"P | P | P | P | D | N",64,62,0.241984,0.00185,0.115678,0.023296,0.436645,0.382808
3,double,uniform,CPU,"P | P | P | P | D | N",64,63,0.245024,0.00181,0.117539,0.023904,0.445005,0.388277
3,double,uniform,CPU,"P | P | P | P | D | N",64,64,0.237952,0.00156,0.11642,0.024032,0.435685,0.379964
3,double,uniform,CPU,"P | P | P | P | D | N",64,65,0.248032,0.00164,0.115989,0.021024,0.442685,0.386685
3,double,uniform,CPU,"P | P | P | P | D | N",64,66,0.250176,0.001671,0.115738,0.023808,0.444275,0.391393
