dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,56,0.021376,0,0.02896,0.010112,0.110969,0.060448
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,57,0.019328,0,0.028159,0.009216,0.108549,0.056703
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,58,0.02064,0,0.0295,0.0096,0.111549,0.05974
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,59,0.02032,0,0.02855,0.009664,0.110769,0.058534
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,60,0.019808,0,0.02848,0.0096,0.109629,0.057888
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,61,0.010816,0,0.02647,0.00944,0.091349,0.046726
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,62,0.019872,0,0.02908,0.010784,0.109799,0.059736
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,63,0.020576,0,0.02902,0.00864,0.302827,0.058236
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,64,0.02032,0,0.028909,0.0096,0.110119,0.058829
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,65,0.019104,0,0.028869,0.010048,0.110399,0.058021
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,66,0.020128,0,0.02883,0.012192,0.112188,0.06115
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,67,0.018784,0,0.02873,0.016128,0.115129,0.063642
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,68,0.012256,0,0.026379,0.010496,0.094029,0.049131
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,69,0.018304,0,0.028259,0.011232,0.109119,0.057795
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,70,0.020576,0,0.02908,0.011904,0.113418,0.06156
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,71,0.019392,0,0.028299,0.010016,0.109269,0.057707
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,72,0.01984,0,0.028709,0.011488,0.110828,0.060037
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,73,0.02,0,0.0284,0.009536,0.110019,0.057936
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",64,74,0.020416,0,0.02859,0.009728,0.109949,0.058734
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,0,0.036256,0,0.07069,0.025184,0.186298,0.13213
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,1,0.026656,0,0.064898,0.019008,0.163458,0.110562
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,2,0.027712,0,0.064269,0.02032,0.163929,0.112301
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,3,0.025824,0,0.064549,0.020128,0.162518,0.110501
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,4,0.026048,0,0.06415,0.020192,0.160518,0.11039
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,5,0.026848,0,0.064289,0.020352,0.162268,0.111489
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,6,0.033536,0,0.061909,0.021408,0.164918,0.116853
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,7,0.027648,0,0.06499,0.01968,0.163678,0.112318
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,8,0.026688,0,0.064109,0.019136,0.162068,0.109933
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,9,0.02688,0,0.06503,0.018816,0.245198,0.110726
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,10,0.026368,0,0.06481,0.020128,0.162528,0.111306
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,11,0.026688,0,0.064449,0.020736,0.163869,0.111873
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ds | Ds",128,12,0.02656,0,0.06202,0.020224,0.158608,0.108804
