dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,21,1.55366,0.001581,0.499956,0.095072,2.20961,2.15027
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,22,1.536,0.001751,0.493495,0.0936,2.18585,2.12485
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,23,1.54416,0.001719,0.493286,0.094976,2.1906,2.13414
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,24,1.64323,0.00185,0.492805,0.095264,2.29542,2.23315
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,25,1.56662,0.00223,0.501085,0.099616,2.2548,2.16955
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,26,1.55174,0.00172,0.495544,0.097664,2.20986,2.14667
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,27,1.56349,0.00177,0.495465,0.103808,2.22514,2.16453
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,28,1.53309,0.001821,0.494995,0.092064,2.18041,2.12197
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,29,1.59216,0.00171,0.492745,0.095424,2.23867,2.18204
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,30,1.5601,0.00177,0.496014,0.096064,2.21502,2.15394
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,31,1.61347,0.001679,0.488615,0.096512,2.25529,2.20028
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,32,1.54765,0.00207,0.508134,0.100608,2.24269,2.15846
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,33,1.56845,0.00207,0.500114,0.098784,2.2494,2.16942
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,34,1.57619,0.00181,0.495384,0.096768,2.23368,2.17015
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,35,1.53491,0.00194,0.496895,0.097344,2.19745,2.13109
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,36,1.64134,0.00168,0.495755,0.094752,2.29157,2.23353
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,37,1.60547,0.00173,0.494075,0.094624,2.25648,2.1959
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,38,1.57424,0.001909,0.495285,0.094592,2.22706,2.16603
3,double,uniform,CPU,"P | P | P | P | Ds | Ns",128,39,1.54214,0.001799,0.493575,0.094176,2.18901,2.13169
