dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,21,0.112768,0.00176,1.53338,0.33664,2.04503,1.98455
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,22,0.114816,0.00184,1.53424,0.336032,2.05172,1.98693
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,23,0.117376,0.00191,1.53884,0.334944,2.05931,1.99307
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,24,0.112384,0.00195,1.53682,0.33664,2.05343,1.98779
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,25,0.1104,0.00188,1.53645,0.334624,2.05194,1.98335
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,26,0.12416,0.0022,1.54528,0.339584,2.07827,2.01122
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,27,0.115872,0.00188,1.54292,0.33696,2.06332,1.99763
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,28,0.113088,0.0018,1.54319,0.335328,2.06046,1.99341
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,29,0.117344,0.00189,1.53248,0.335488,2.05479,1.9872
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,30,0.111584,0.00191,1.5365,0.33328,2.04798,1.98327
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,31,0.111232,0.00197,1.54194,0.334976,2.05457,1.99012
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,32,0.112064,0.00198,1.53704,0.33552,2.05161,1.9866
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,33,0.11408,0.00174,1.53533,0.332064,2.04865,1.98321
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,34,0.113888,0.00176,1.53649,0.334784,2.05209,1.98692
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,35,0.11392,0.00176,1.54057,0.336,2.0582,1.99225
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,36,0.111296,0.00182,1.54641,0.33696,2.06524,1.99648
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,37,0.124768,0.00192,1.53732,0.337728,2.06793,2.00173
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,38,0.11408,0.00177,1.53328,0.335552,2.0479,1.98468
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,39,0.110816,0.00177,1.54656,0.336448,2.06031,1.99559
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,40,0.113056,0.00199,1.53722,0.334976,2.053,1.98724
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,41,0.112576,0.00166,1.53676,0.331392,2.04837,1.98239
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,42,0.124864,0.00204,1.53986,0.334368,2.06876,2.00113
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,43,0.11248,0.001711,1.53553,0.33344,2.04864,1.98316
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,44,0.114304,0.00197,1.53635,0.362848,2.0847,2.01547
3,double,uniform,GPU,"P | P | P | P | Ns | Ds",192,45,0.126752,0.00188,1.54673,0.335936,2.0781,2.0113
