dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,float,uniform,CPU,"P | P",128,18,0.0192,0,0.017389,0.013568,0.093209,0.050157
1,float,uniform,CPU,"P | P",128,19,0.019968,0,0.017509,0.012864,0.095729,0.050341
1,float,uniform,CPU,"P | P",128,20,0.02016,0,0.0176,0.015392,0.098179,0.053152
1,float,uniform,CPU,"P | P",128,21,0.021472,0,0.017959,0.015648,0.102899,0.055079
1,float,uniform,CPU,"P | P",128,22,0.019712,0,0.01799,0.014752,0.099519,0.052454
1,float,uniform,CPU,"P | P",128,23,0.020576,0,0.01766,0.015264,0.102058,0.0535
1,float,uniform,CPU,"P | P",128,24,0.01936,0,0.01738,0.014368,0.096269,0.051108
1,float,uniform,CPU,"P | P",128,25,0.019904,0,0.01809,0.014368,0.097779,0.052362
1,float,uniform,CPU,"P | P",128,26,0.020672,0,0.0175,0.016864,0.107139,0.055036
1,float,uniform,CPU,"P | P",128,27,0.020384,0,0.01797,0.015168,0.098909,0.053522
1,float,uniform,CPU,"P | P",128,28,0.021504,0,0.01789,0.018016,0.104228,0.05741
1,float,uniform,CPU,"P | P",128,29,0.01888,0,0.018201,0.01616,0.098499,0.053241
1,float,uniform,CPU,"P | P",128,30,0.020384,0,0.01826,0.014496,0.097259,0.05314
1,float,uniform,CPU,"P | P",128,31,0.01952,0,0.01749,0.014464,0.096499,0.051474
1,float,uniform,CPU,"P | P",128,32,0.019392,0,0.01763,0.015008,0.097439,0.05203
1,float,uniform,CPU,"P | P",128,33,0.01856,0,0.01772,0.01568,0.097179,0.05196
1,float,uniform,CPU,"P | P",128,34,0.019328,0,0.017819,0.017344,0.101129,0.054491
1,float,uniform,CPU,"P | P",128,35,0.019712,0,0.01408,0.018528,0.089289,0.05232
1,float,uniform,CPU,"P | P",128,36,0.019936,0,0.01431,0.023712,0.093669,0.057958
1,float,uniform,CPU,"P | P",128,37,0.01984,0,0.01759,0.015744,0.098309,0.053174
1,float,uniform,CPU,"P | P",128,38,0.02048,0,0.01777,0.014912,0.097048,0.053162
1,float,uniform,CPU,"P | P",128,39,0.018112,0,0.01807,0.0152,0.096749,0.051382
