dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,43,0.01968,0.00143,0.0423,0.009088,0.126459,0.072498
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,44,0.019104,0.00149,0.04274,0.01024,0.128429,0.073574
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,45,0.01904,0.00155,0.042911,0.009952,0.128659,0.073453
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,46,0.015072,0.00157,0.04342,0.008608,0.124078,0.06867
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,47,0.018336,0.001511,0.045039,0.008288,0.127508,0.073174
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,48,0.021344,0.00161,0.03549,0.011616,0.116298,0.07006
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,49,0.018848,0.001431,0.04242,0.007584,0.125739,0.070283
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,50,0.017472,0.00141,0.04243,0.010048,0.126099,0.07136
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,51,0.010592,0.00136,0.042549,0.009472,0.119489,0.063973
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,52,0.013056,0.00146,0.042489,0.009632,0.119198,0.066637
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,53,0.019648,0.00144,0.042169,0.009792,0.128239,0.073049
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,54,0.02192,0.001401,0.043309,0.007744,0.128988,0.074374
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,55,0.021568,0.00155,0.146488,0.008032,0.231378,0.177638
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,56,0.017888,0.00143,0.041859,0.009056,0.124659,0.070233
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,57,0.019104,0.00149,0.041988,0.00848,0.127109,0.071062
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,58,0.020608,0.00145,0.04302,0.011968,0.130018,0.077046
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,59,0.019776,0.001441,0.042569,0.008448,0.127359,0.072234
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,60,0.019296,0.0017,0.042389,0.00736,0.125899,0.070745
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,61,0.020288,0.001469,0.041969,0.008192,0.126109,0.071918
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,62,0.017536,0.001481,0.04294,0.008608,0.125169,0.070565
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,63,0.019712,0.001471,0.04213,0.00816,0.126789,0.071473
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,64,0.018976,0.001611,0.042279,0.008768,0.126508,0.071634
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,65,0.017792,0.00142,0.0421,0.008864,0.124748,0.070176
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,66,0.01808,0.00145,0.042489,0.012384,0.128838,0.074403
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,67,0.012416,0.00142,0.04289,0.007872,0.118529,0.064598
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,68,0.019648,0.00151,0.04236,0.010336,0.127779,0.073854
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,69,0.0184,0.00151,0.042319,0.009952,0.127259,0.072181
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,70,0.02048,0.00143,0.04231,0.007808,0.125649,0.072028
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,71,0.019552,0.00148,0.043191,0.009408,0.128328,0.073631
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,72,0.016032,0.00149,0.037169,0.010912,0.114219,0.065603
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,73,0.0184,0.00144,0.042329,0.008416,0.130888,0.070585
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",64,74,0.018624,0.00158,0.04146,0.009824,0.125239,0.071488
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,0,0.034272,0.00178,0.08479,0.025472,0.202688,0.146314
3,float,uniform,GPU,"Ds | Ds | Ds | Ds | Ns | Ns",128,1,0.033696,0.00152,0.077019,0.019168,0.185738,0.131403
