dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,21,0.020384,0.00162,0.494414,0.093792,0.675833,0.61021
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,22,0.019936,0.00197,0.496665,0.095552,0.678223,0.614123
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,23,0.020896,0.00168,0.495265,0.093888,0.674793,0.611729
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,24,0.030656,0.00199,0.499484,0.0984,0.694053,0.63053
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,25,0.020448,0.001569,0.488884,0.097664,0.665013,0.608565
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,26,0.02288,0.0016,0.494125,0.094144,0.677293,0.612749
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,27,0.020384,0.00162,0.492625,0.096544,0.674182,0.611173
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,28,0.021696,0.00156,0.494475,0.09472,0.674393,0.612451
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,29,0.029024,0.00156,0.493255,0.09216,0.685203,0.615999
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,30,0.022784,0.00183,0.494155,0.093312,0.675853,0.612081
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,31,0.019232,0.0016,0.494254,0.093216,0.671923,0.608302
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,32,0.024928,0.00164,0.494366,0.093248,0.679133,0.614182
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,33,0.030848,0.001811,0.509093,0.099552,0.705253,0.641304
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,34,0.022368,0.001729,0.496184,0.098752,0.683022,0.619033
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,35,0.019936,0.00189,0.496225,0.095904,0.678753,0.613955
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,36,0.01968,0.00178,0.493494,0.092704,0.673612,0.607658
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,37,0.018528,0.00156,0.494175,0.09424,0.673683,0.608503
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,38,0.021664,0.00163,0.493574,0.094816,0.673802,0.611684
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,39,0.040288,0.00225,0.502095,0.100992,0.711232,0.645625
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,40,0.019232,0.001681,0.494975,0.093376,0.674773,0.609264
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,41,0.022112,0.001649,0.493675,0.094656,0.676353,0.612092
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,42,0.030496,0.0018,0.488115,0.098656,0.673203,0.619067
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,43,0.021856,0.001631,0.494286,0.092896,0.674853,0.610669
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,44,0.02016,0.00184,0.495285,0.094016,0.675613,0.611301
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,45,0.022144,0.0016,0.493933,0.093344,0.682713,0.611021
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,46,0.029024,0.00156,0.494444,0.093248,0.683052,0.618276
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,47,0.02032,0.00187,0.494945,0.09344,0.674793,0.610575
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,48,0.023264,0.00169,0.494205,0.09392,0.677523,0.613079
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,49,0.02176,0.0017,0.496185,0.095296,0.678833,0.614941
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,50,0.020352,0.00163,0.499445,0.0936,0.679753,0.615027
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,51,0.038368,0.00204,0.505994,0.099744,0.710293,0.646146
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,52,0.021216,0.001651,0.494343,0.094944,0.675182,0.612154
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,53,0.021728,0.00155,0.494585,0.094176,0.677393,0.612039
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,54,0.021728,0.00156,0.493814,0.093536,0.674713,0.610638
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,55,0.01936,0.00161,0.493526,0.094272,0.672503,0.608768
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,56,0.021248,0.00187,0.496505,0.096064,0.678853,0.615687
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,57,0.03904,0.002041,0.501715,0.099392,0.706152,0.642188
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,58,0.022784,0.0016,0.490055,0.097664,0.669313,0.612103
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,59,0.021408,0.00166,0.495524,0.097504,0.679133,0.616096
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,60,0.0208,0.00169,0.494565,0.095712,0.676583,0.612767
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,61,0.018848,0.00197,0.494994,0.09376,0.673992,0.609572
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,62,0.021984,0.001629,0.494536,0.09744,0.680703,0.615589
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,63,0.023488,0.0016,0.492814,0.097408,0.679362,0.61531
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,64,0.04384,0.00218,0.501746,0.100608,0.713143,0.648374
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,65,0.02112,0.00167,0.494334,0.09696,0.677413,0.614084
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,66,0.02912,0.00183,0.498626,0.0992,0.693783,0.628776
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,67,0.021504,0.00172,0.494526,0.094048,0.677143,0.611798
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,68,0.037824,0.00207,0.507393,0.100288,0.711902,0.647575
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,69,0.019744,0.00167,0.494876,0.094752,0.715312,0.611042
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,70,0.01984,0.00169,0.493954,0.095648,0.673133,0.611132
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,71,0.038944,0.00206,0.500375,0.100768,0.706313,0.642147
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,72,0.021856,0.001659,0.497055,0.097952,0.682662,0.618522
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,73,0.021504,0.00182,0.495985,0.09712,0.680483,0.616429
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",128,74,0.022144,0.001709,0.492985,0.093088,0.673783,0.609926
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,0,0.106112,0.00218,1.55917,0.332384,2.06582,1.99984
3,double,uniform,GPU,"P | P | P | P | Ds | Ns",192,1,0.103232,0.001971,1.57091,0.332992,2.07451,2.00911
