dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,CPU,"N | N",128,62,0.030784,0,0.082299,0.007584,0.161729,0.120667
1,double,uniform,CPU,"N | N",128,63,0.0296,0,0.082189,0.006976,0.160629,0.118765
1,double,uniform,CPU,"N | N",128,64,0.029184,0,0.083239,0.014432,0.168109,0.126855
1,double,uniform,CPU,"N | N",128,65,0.029408,0,0.083279,0.007296,0.160139,0.119983
1,double,uniform,CPU,"N | N",128,66,0.029344,0,0.085159,0.008608,0.161509,0.123111
1,double,uniform,CPU,"N | N",128,67,0.029568,0,0.082139,0.007392,0.159798,0.119099
1,double,uniform,CPU,"N | N",128,68,0.034016,0,0.083089,0.006976,0.166548,0.124081
1,double,uniform,CPU,"N | N",128,69,0.030336,0,0.082489,0.007648,0.162929,0.120473
1,double,uniform,CPU,"N | N",128,70,0.032928,0,0.245338,0.007744,0.326758,0.28601
1,double,uniform,CPU,"N | N",128,71,0.029024,0,0.08244,0.007904,0.159569,0.119368
1,double,uniform,CPU,"N | N",128,72,0.028576,0,0.07896,0.008928,0.149609,0.116464
1,double,uniform,CPU,"N | N",128,73,0.028704,0,0.082439,0.007616,0.160279,0.118759
1,double,uniform,CPU,"N | N",128,74,0.031264,0,0.082789,0.00736,0.163779,0.121413
1,double,uniform,CPU,"N | N",192,0,0.050368,0,0.082339,0.011808,0.189968,0.144515
1,double,uniform,CPU,"N | N",192,1,0.029792,0,0.079669,0.007424,0.159369,0.116885
1,double,uniform,CPU,"N | N",192,2,0.029088,0,0.079629,0.00768,0.158668,0.116397
1,double,uniform,CPU,"N | N",192,3,0.029856,0,0.0798,0.007424,0.158608,0.11708
1,double,uniform,CPU,"N | N",192,4,0.030432,0,0.07923,0.009056,0.160199,0.118718
1,double,uniform,CPU,"N | N",192,5,0.031328,0,0.080059,0.008288,0.160779,0.119675
1,double,uniform,CPU,"N | N",192,6,0.02848,0,0.080009,0.007872,0.157859,0.116361
1,double,uniform,CPU,"N | N",192,7,0.031104,0,0.079599,0.007456,0.159679,0.118159
1,double,uniform,CPU,"N | N",192,8,0.030432,0,0.076059,0.010304,0.150228,0.116795
1,double,uniform,CPU,"N | N",192,9,0.032,0,0.079279,0.009024,0.158449,0.120303
1,double,uniform,CPU,"N | N",192,10,0.032576,0,0.079419,0.007712,0.162149,0.119707
1,double,uniform,CPU,"N | N",192,11,0.028448,0,0.079569,0.00768,0.155909,0.115697
1,double,uniform,CPU,"N | N",192,12,0.031264,0,0.079719,0.0072,0.159769,0.118183
1,double,uniform,CPU,"N | N",192,13,0.029088,0,0.079579,0.00608,0.155958,0.114747
1,double,uniform,CPU,"N | N",192,14,0.032896,0,0.07948,0.007392,0.160658,0.119768
1,double,uniform,CPU,"N | N",192,15,0.028224,0,0.07548,0.010592,0.145969,0.114296
1,double,uniform,CPU,"N | N",192,16,0.031008,0,0.07994,0.007584,0.161239,0.118532
1,double,uniform,CPU,"N | N",192,17,0.030176,0,0.080229,0.00784,0.161299,0.118245
1,double,uniform,CPU,"N | N",192,18,0.033472,0,0.079459,0.007808,0.161598,0.120739
1,double,uniform,CPU,"N | N",192,19,0.028416,0,0.07924,0.00608,0.154198,0.113736
