dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,51,0.019136,0.00138,0.102579,0.021728,0.206948,0.144823
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,52,0.020768,0.001451,0.10327,0.022176,0.209258,0.147665
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,53,0.021312,0.0015,0.10268,0.02192,0.209598,0.147412
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,54,0.02128,0.00157,0.103339,0.02288,0.210698,0.149069
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,55,0.021952,0.001459,0.10391,0.020832,0.209878,0.148153
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,56,0.020448,0.00162,0.102979,0.021984,0.208768,0.147031
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,57,0.0208,0.00149,0.10237,0.02272,0.210498,0.14738
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,58,0.01872,0.00141,0.102979,0.021376,0.206368,0.144485
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,59,0.019456,0.001438,0.102979,0.021504,0.207198,0.145377
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,60,0.013696,0.001449,0.10324,0.023808,0.205088,0.142193
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,61,0.021472,0.00138,0.103009,0.023168,0.209248,0.149029
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,62,0.014016,0.001529,0.10298,0.021696,0.202228,0.140221
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,63,0.020544,0.00155,0.102658,0.025472,0.210357,0.150224
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,64,0.019296,0.00141,0.102379,0.020288,0.205748,0.143373
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,65,0.019712,0.00142,0.102527,0.024288,0.209308,0.147947
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,66,0.021536,0.001479,0.103468,0.023456,0.212248,0.149939
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,67,0.013792,0.00148,0.10317,0.022624,0.203228,0.141066
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,68,0.028544,0.00144,0.103,0.02256,0.217377,0.155544
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,69,0.022048,0.00156,0.103339,0.025312,0.213998,0.152259
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,70,0.021376,0.00146,0.103279,0.021984,0.209958,0.148099
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,71,0.019168,0.00151,0.103538,0.031584,0.217027,0.1558
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,72,0.019616,0.00148,0.102859,0.02256,0.208238,0.146515
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,73,0.014528,0.00141,0.100679,0.023552,0.198528,0.140169
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",64,74,0.021216,0.001411,0.103848,0.02,0.208648,0.146475
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,0,0.041472,0.00183,0.451305,0.103552,0.662622,0.598159
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,1,0.048448,0.00198,0.466066,0.10464,0.687102,0.621134
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,2,0.02896,0.001501,0.442445,0.095872,0.630303,0.568778
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,3,0.028288,0.00151,0.445095,0.095776,0.633044,0.570669
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,4,0.029024,0.00173,0.450074,0.096608,0.640393,0.577436
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,5,0.027808,0.00144,0.444065,0.096,0.632423,0.569313
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,6,0.02896,0.00157,0.444574,0.096224,0.633963,0.571328
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,7,0.029472,0.00167,0.439075,0.098144,0.625063,0.568361
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,8,0.030048,0.001549,0.443686,0.099104,0.639163,0.574387
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,9,0.036576,0.00156,0.445364,0.096992,0.645013,0.580492
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,10,0.028544,0.00146,0.444714,0.096512,0.634373,0.57123
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,11,0.029664,0.00171,0.445166,0.095904,0.637663,0.572444
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,12,0.029984,0.001608,0.440015,0.099072,0.628553,0.570679
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,13,0.027264,0.00161,0.445216,0.095456,0.632203,0.569546
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,14,0.031456,0.00155,0.443455,0.09712,0.634353,0.573581
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,15,0.02736,0.00157,0.445146,0.095648,0.632173,0.569724
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,16,0.035392,0.001469,0.442985,0.097376,0.640083,0.577222
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,17,0.027456,0.001501,0.444514,0.095552,0.632073,0.569023
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,18,0.030336,0.00167,0.444506,0.097312,0.637982,0.573824
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,19,0.029216,0.00148,0.444216,0.095808,0.633743,0.57072
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,20,0.027584,0.00155,0.444056,0.09696,0.633944,0.57015
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,21,0.029472,0.001652,0.442824,0.0968,0.634843,0.570748
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,22,0.030112,0.00159,0.443585,0.094592,0.632833,0.569879
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,23,0.030528,0.00172,0.441066,0.098528,0.638413,0.571842
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,24,0.028704,0.00152,0.444036,0.095008,0.632382,0.569268
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,25,0.029664,0.00151,0.444185,0.097216,0.635673,0.572575
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,26,0.028736,0.00179,0.443844,0.095936,0.634103,0.570306
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,27,0.026368,0.00143,0.444385,0.096544,0.630693,0.568727
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,28,0.034016,0.00156,0.443956,0.095616,0.633793,0.575148
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,29,0.028608,0.00164,0.444156,0.096192,0.633403,0.570596
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,30,0.028288,0.0015,0.444926,0.094528,0.634323,0.569242
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,31,0.02944,0.00168,0.444015,0.095744,0.634633,0.570879
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,32,0.027872,0.001741,0.444126,0.096352,0.634123,0.570091
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,33,0.030144,0.0017,0.443366,0.095776,0.634043,0.570986
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,34,0.028672,0.0015,0.443354,0.096544,0.670373,0.57007
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,35,0.028896,0.00143,0.445746,0.09696,0.635923,0.573032
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,36,0.029824,0.00154,0.444385,0.095136,0.634053,0.570885
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,37,0.026976,0.00165,0.444435,0.096416,0.632622,0.569477
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,38,0.029824,0.00151,0.443954,0.095072,0.633163,0.57036
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,39,0.02832,0.00163,0.444286,0.096448,0.633233,0.570684
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,40,0.02688,0.00159,0.438365,0.099648,0.624253,0.566483
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,41,0.029184,0.00155,0.444536,0.096768,0.639143,0.572038
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,42,0.029504,0.00177,0.442485,0.095904,0.632683,0.569663
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,43,0.044512,0.002001,0.451796,0.104768,0.666823,0.603077
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,44,0.029184,0.00166,0.443846,0.096192,0.633963,0.570882
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,45,0.040736,0.001941,0.451954,0.105024,0.665233,0.599655
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,46,0.028768,0.0016,0.445894,0.095424,0.636753,0.571686
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,47,0.03632,0.00141,0.444264,0.096864,0.642163,0.578858
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,48,0.027808,0.00147,0.444325,0.096288,0.633202,0.569891
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,49,0.02912,0.00149,0.444625,0.096576,0.633713,0.571811
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,50,0.036192,0.00163,0.443004,0.09728,0.641282,0.578106
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,51,0.028128,0.00154,0.445244,0.096576,0.635084,0.571488
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,52,0.028224,0.00163,0.442765,0.094304,0.630073,0.566923
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,53,0.04128,0.00223,0.452454,0.102336,0.661313,0.5983
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,54,0.029792,0.00153,0.443946,0.096128,0.633753,0.571396
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,55,0.029632,0.00152,0.442964,0.095616,0.632314,0.569732
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,56,0.02864,0.00153,0.443665,0.096832,0.633784,0.570667
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,57,0.030432,0.00171,0.444856,0.095264,0.635863,0.572262
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,58,0.02736,0.00165,0.445276,0.095488,0.633293,0.569774
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,59,0.027744,0.00159,0.443666,0.097184,0.633453,0.570184
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,60,0.028384,0.00178,0.443676,0.098336,0.635503,0.572176
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,61,0.02896,0.00152,0.443374,0.096928,0.635393,0.570782
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,62,0.02704,0.00164,0.443936,0.094976,0.630503,0.567592
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,63,0.02848,0.00186,0.444045,0.096448,0.633323,0.570833
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,64,0.026752,0.00146,0.443205,0.095808,0.630633,0.567225
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,65,0.044224,0.00192,0.451086,0.104096,0.662793,0.601326
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,66,0.027424,0.00161,0.443706,0.097088,0.632773,0.569828
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,67,0.029664,0.00168,0.446014,0.094624,0.635733,0.571982
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,68,0.028992,0.0015,0.443645,0.096544,0.633004,0.570681
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,69,0.026688,0.00143,0.444745,0.097312,0.633263,0.570175
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,70,0.029312,0.00163,0.442554,0.093152,0.631053,0.566648
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,71,0.0264,0.00148,0.444066,0.097088,0.632403,0.569034
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,72,0.027392,0.001591,0.444966,0.09632,0.633343,0.570269
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,73,0.029312,0.00166,0.442876,0.09536,0.633073,0.569208
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",128,74,0.030016,0.00153,0.444364,0.094784,0.633973,0.570694
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,0,0.10848,0.00211,1.497,0.33856,2.01233,1.94615
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,1,0.115456,0.001942,1.49421,0.333664,2.01093,1.94527
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,2,0.116576,0.00192,1.49373,0.33488,2.01465,1.94711
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,3,0.114688,0.00206,1.4988,0.335648,2.01853,1.9512
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,4,0.113472,0.00179,1.49187,0.333568,2.00695,1.9407
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,5,0.117536,0.001868,1.4969,0.335296,2.02003,1.9516
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,6,0.111808,0.0019,1.49326,0.3352,2.00967,1.94217
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,7,0.114144,0.0019,1.4925,0.334528,2.0091,1.94308
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,8,0.115616,0.00169,1.49416,0.3376,2.01426,1.94907
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,9,0.114208,0.00176,1.49211,0.334048,2.03115,1.94213
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,10,0.117664,0.00202,1.49123,0.335872,2.01357,1.94679
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,11,0.1152,0.00192,1.4942,0.3344,2.01199,1.94572
3,double,uniform,GPU,"Ns | Ns | P | P | P | P",192,12,0.116352,0.00177,1.49432,0.33296,2.00945,1.9454
