dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,10,0.799136,0.0016,0.08292,0.031776,1.08848,0.915432
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,11,0.806912,0.00162,0.07829,0.03232,0.963658,0.919142
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,12,0.838688,0.001641,0.084778,0.032128,1.01013,0.957235
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,13,0.807936,0.001701,0.081818,0.028672,0.973009,0.920127
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,14,0.79408,0.001619,0.086758,0.030208,0.963939,0.912665
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,15,0.797472,0.001581,0.078639,0.03184,1.00881,0.909532
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,16,0.793248,0.00155,0.08302,0.030144,0.967489,0.907962
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,17,0.800544,0.00156,0.08247,0.029344,0.968368,0.913918
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,18,0.802368,0.00161,0.082608,0.031424,0.970089,0.91801
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,19,0.789248,0.001581,0.075318,0.033312,0.943159,0.899459
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,20,0.801184,0.001589,0.08198,0.029088,0.968189,0.913841
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,21,0.801152,0.00158,0.081389,0.030688,0.967949,0.914809
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,22,0.799296,0.00165,0.081748,0.029568,0.963748,0.912262
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,23,0.86592,0.00158,0.07455,0.0336,1.02028,0.97565
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,24,0.806528,0.00195,0.083098,0.02944,0.974859,0.921016
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,25,0.805184,0.001571,0.081919,0.030016,0.972919,0.91869
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,26,0.808736,0.00177,0.084378,0.029184,0.980849,0.924068
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,27,0.808864,0.0016,0.08232,0.030976,0.974558,0.92376
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,28,0.8008,0.001569,0.083848,0.029984,0.968859,0.916201
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,29,0.804544,0.00163,0.084139,0.02912,0.973019,0.919433
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,30,0.800512,0.001761,0.08191,0.031584,0.966629,0.915767
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,31,0.900672,0.00161,0.076728,0.03152,1.05654,1.01053
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,32,0.80352,0.001599,0.084019,0.028064,0.969428,0.917202
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,33,0.796928,0.00153,0.082249,0.032448,0.965569,0.913155
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,34,0.80016,0.00165,0.083089,0.030464,0.967628,0.915363
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,35,0.78992,0.001619,0.082398,0.030272,0.95874,0.904209
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,36,0.798432,0.001589,0.081619,0.02944,0.964249,0.91108
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,37,0.793824,0.00167,0.082668,0.025888,0.960329,0.90405
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,38,0.799776,0.00158,0.081559,0.028416,0.972279,0.911331
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,39,0.79392,0.001601,0.081909,0.029856,0.962309,0.907286
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,40,0.798464,0.00199,0.081148,0.027648,0.962659,0.90925
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,41,0.86816,0.001781,0.081598,0.029696,1.03442,0.981235
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,42,0.79104,0.00162,0.085869,0.029792,0.963509,0.908321
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,43,0.793792,0.00191,0.083639,0.02864,1.07037,0.907981
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,44,0.806464,0.00158,0.082258,0.032704,0.975259,0.923006
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,45,0.81216,0.00157,0.08297,0.028128,0.978029,0.924828
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,46,0.799392,0.001671,0.083958,0.027296,0.966488,0.912317
3,float,uniform,CPU,"P | P | P | P | Ds | Ds",128,47,0.787552,0.001509,0.081379,0.028672,0.951458,0.899112
