dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
1,double,uniform,GPU,"Ds | Ds",256,1,0.01424,0,0.03697,0.010272,0.096128,0.061482
1,double,uniform,GPU,"Ds | Ds",256,2,0.012736,0,0.03669,0.009696,0.094419,0.059122
1,double,uniform,GPU,"Ds | Ds",256,3,0.013248,0,0.03599,0.009376,0.092819,0.058614
1,double,uniform,GPU,"Ds | Ds",256,4,0.013792,0,0.03691,0.009344,0.094999,0.060046
1,double,uniform,GPU,"Ds | Ds",256,5,0.012416,0,0.036479,0.009632,0.093709,0.058527
1,double,uniform,GPU,"Ds | Ds",256,6,0.012864,0,0.0332,0.0112,0.085719,0.057264
1,double,uniform,GPU,"Ds | Ds",256,7,0.01344,0,0.03792,0.008448,0.094279,0.059808
1,double,uniform,GPU,"Ds | Ds",256,8,0.012,0,0.03565,0.011136,0.091459,0.058786
1,double,uniform,GPU,"Ds | Ds",256,9,0.013152,0,0.0368,0.009536,0.093979,0.059488
1,double,uniform,GPU,"Ds | Ds",256,10,0.012384,0,0.036919,0.009536,0.093299,0.058839
1,double,uniform,GPU,"Ds | Ds",256,11,0.012704,0,0.04271,0.009952,0.099369,0.065366
1,double,uniform,GPU,"Ds | Ds",256,12,0.013088,0,0.03617,0.00928,0.092568,0.058538
1,double,uniform,GPU,"Ds | Ds",256,13,0.012608,0,0.036749,0.00944,0.093059,0.058797
1,double,uniform,GPU,"Ds | Ds",256,14,0.012544,0,0.036349,0.009184,0.092059,0.058077
1,double,uniform,GPU,"Ds | Ds",256,15,0.012992,0,0.03694,0.00944,0.092679,0.059372
1,double,uniform,GPU,"Ds | Ds",256,16,0.014848,0,0.036829,0.0096,0.095719,0.061277
1,double,uniform,GPU,"Ds | Ds",256,17,0.012864,0,0.03674,0.009632,0.09407,0.059236
1,double,uniform,GPU,"Ds | Ds",256,18,0.012608,0,0.03372,0.011008,0.086419,0.057336
1,double,uniform,GPU,"Ds | Ds",256,19,0.012576,0,0.037149,0.00912,0.092209,0.058845
1,double,uniform,GPU,"Ds | Ds",256,20,0.013824,0,0.037739,0.009728,0.096769,0.061291
1,double,uniform,GPU,"Ds | Ds",256,21,0.011712,0,0.03642,0.008672,0.091319,0.056804
1,double,uniform,GPU,"Ds | Ds",256,22,0.012384,0,0.03637,0.008224,0.090089,0.056978
1,double,uniform,GPU,"Ds | Ds",256,23,0.014624,0,0.0368,0.009536,0.094479,0.06096
1,double,uniform,GPU,"Ds | Ds",256,24,0.012576,0,0.03632,0.009376,0.091989,0.058272
1,double,uniform,GPU,"Ds | Ds",256,25,0.013024,0,0.03446,0.01104,0.0863,0.058524
1,double,uniform,GPU,"Ds | Ds",256,26,0.013952,0,0.036389,0.008992,0.176908,0.059333
1,double,uniform,GPU,"Ds | Ds",256,27,0.013216,0,0.03664,0.00768,0.091559,0.057536
1,double,uniform,GPU,"Ds | Ds",256,28,0.013376,0,0.036639,0.007328,0.091169,0.057343
1,double,uniform,GPU,"Ds | Ds",256,29,0.013216,0,0.03659,0.008256,0.092439,0.058062
1,double,uniform,GPU,"Ds | Ds",256,30,0.013696,0,0.03641,0.009152,0.093239,0.059258
1,double,uniform,GPU,"Ds | Ds",256,31,0.012512,0,0.036539,0.008192,0.091829,0.057243
1,double,uniform,GPU,"Ds | Ds",256,32,0.0128,0,0.03668,0.00864,0.092819,0.05812
1,double,uniform,GPU,"Ds | Ds",256,33,0.015168,0,0.036959,0.009472,0.099029,0.061599
1,double,uniform,GPU,"Ds | Ds",256,34,0.015808,0,0.037079,0.00832,0.095729,0.061207
1,double,uniform,GPU,"Ds | Ds",256,35,0.012192,0,0.036329,0.00928,0.090959,0.057801
1,double,uniform,GPU,"Ds | Ds",256,36,0.012384,0,0.03695,0.008672,0.092009,0.058006
1,double,uniform,GPU,"Ds | Ds",256,37,0.013792,0,0.036579,0.008992,0.092689,0.059363
1,double,uniform,GPU,"Ds | Ds",256,38,0.011808,0,0.03659,0.009024,0.091719,0.057422
