dim,precision,solver_type,api,bc_name,grid_size,iteration,copy_time_ms,reshape_time_ms,fft_time_ms,kernel_time_ms,outside_time_ms,sum_time_ms
3,double,uniform,GPU,"D | D | D | D | N | D",128,16,0.02832,0.001551,1.48147,0.0608,1.62678,1.57214
3,double,uniform,GPU,"D | D | D | D | N | D",128,17,0.02912,0.00164,1.47959,0.060736,1.62659,1.57109
3,double,uniform,GPU,"D | D | D | D | N | D",128,18,0.027584,0.001561,1.48069,0.061536,1.62768,1.57137
3,double,uniform,GPU,"D | D | D | D | N | D",128,19,0.029184,0.00152,1.47902,0.061088,1.62597,1.57082
3,double,uniform,GPU,"D | D | D | D | N | D",128,20,0.030176,0.00156,1.53639,0.059136,1.68086,1.62727
3,double,uniform,GPU,"D | D | D | D | N | D",128,21,0.027136,0.001529,1.48094,0.06096,1.6254,1.57057
3,double,uniform,GPU,"D | D | D | D | N | D",128,22,0.04368,0.00224,1.48964,0.06736,1.66264,1.60292
3,double,uniform,GPU,"D | D | D | D | N | D",128,23,0.029408,0.00166,1.48039,0.058144,1.62436,1.5696
3,double,uniform,GPU,"D | D | D | D | N | D",128,24,0.029152,0.00167,1.48009,0.062048,1.62912,1.57296
3,double,uniform,GPU,"D | D | D | D | N | D",128,25,0.02992,0.00154,1.47929,0.059744,1.62634,1.5705
3,double,uniform,GPU,"D | D | D | D | N | D",128,26,0.041504,0.00226,1.49014,0.067136,1.65819,1.60104
3,double,uniform,GPU,"D | D | D | D | N | D",128,27,0.029952,0.00157,1.48209,0.05936,1.6321,1.57298
3,double,uniform,GPU,"D | D | D | D | N | D",128,28,0.029984,0.00156,1.48049,0.059136,1.62773,1.57117
3,double,uniform,GPU,"D | D | D | D | N | D",128,29,0.027968,0.00158,1.47468,0.062816,1.61948,1.56705
3,double,uniform,GPU,"D | D | D | D | N | D",128,30,0.027904,0.00153,1.47948,0.061792,1.63157,1.57071
3,double,uniform,GPU,"D | D | D | D | N | D",128,31,0.030272,0.001659,1.48018,0.060064,1.62758,1.57218
3,double,uniform,GPU,"D | D | D | D | N | D",128,32,0.029792,0.00182,1.47987,0.0576,1.62621,1.56909
3,double,uniform,GPU,"D | D | D | D | N | D",128,33,0.029696,0.00169,1.48008,0.061344,1.63016,1.57281
3,double,uniform,GPU,"D | D | D | D | N | D",128,34,0.029376,0.00165,1.47981,0.059872,1.62738,1.57071
3,double,uniform,GPU,"D | D | D | D | N | D",128,35,0.04368,0.002129,1.49023,0.066944,1.66054,1.60298
3,double,uniform,GPU,"D | D | D | D | N | D",128,36,0.043104,0.00196,1.48756,0.066944,1.65644,1.59957
3,double,uniform,GPU,"D | D | D | D | N | D",128,37,0.029024,0.001571,1.48027,0.060896,1.62805,1.57177
3,double,uniform,GPU,"D | D | D | D | N | D",128,38,0.02848,0.00156,1.4784,0.060032,1.62372,1.56848
3,double,uniform,GPU,"D | D | D | D | N | D",128,39,0.027648,0.00148,1.47871,0.059168,1.62267,1.56701
3,double,uniform,GPU,"D | D | D | D | N | D",128,40,0.027104,0.00153,1.47998,0.058464,1.62342,1.56708
3,double,uniform,GPU,"D | D | D | D | N | D",128,41,0.02976,0.001749,1.48037,0.061088,1.63088,1.57297
3,double,uniform,GPU,"D | D | D | D | N | D",128,42,0.029792,0.00174,1.48067,0.06112,1.62967,1.57333
3,double,uniform,GPU,"D | D | D | D | N | D",128,43,0.028512,0.00178,1.48139,0.06096,1.63199,1.57265
3,double,uniform,GPU,"D | D | D | D | N | D",128,44,0.030944,0.00158,1.48028,0.061984,1.63023,1.57478
3,double,uniform,GPU,"D | D | D | D | N | D",128,45,0.028992,0.00159,1.47818,0.06112,1.625,1.56989
3,double,uniform,GPU,"D | D | D | D | N | D",128,46,0.02784,0.00166,1.48333,0.061984,1.63123,1.57482
3,double,uniform,GPU,"D | D | D | D | N | D",128,47,0.027328,0.00154,1.4797,0.06176,1.62437,1.57033
3,double,uniform,GPU,"D | D | D | D | N | D",128,48,0.043904,0.00219,1.4895,0.067904,1.66056,1.6035
3,double,uniform,GPU,"D | D | D | D | N | D",128,49,0.02832,0.00154,1.48095,0.058976,1.62485,1.56979
3,double,uniform,GPU,"D | D | D | D | N | D",128,50,0.043296,0.00219,1.49077,0.067712,1.6621,1.60397
3,double,uniform,GPU,"D | D | D | D | N | D",128,51,0.029696,0.00193,1.48031,0.061248,1.62953,1.57319
3,double,uniform,GPU,"D | D | D | D | N | D",128,52,0.032256,0.00167,1.4773,0.060672,1.62637,1.5719
3,double,uniform,GPU,"D | D | D | D | N | D",128,53,0.029216,0.0017,1.48034,0.061056,1.62802,1.57232
3,double,uniform,GPU,"D | D | D | D | N | D",128,54,0.029024,0.001561,1.47789,0.059808,1.62102,1.56829
3,double,uniform,GPU,"D | D | D | D | N | D",128,55,0.040896,0.00198,1.48933,0.066176,1.65507,1.59839
3,double,uniform,GPU,"D | D | D | D | N | D",128,56,0.029184,0.001491,1.48294,0.061856,1.63204,1.57547
3,double,uniform,GPU,"D | D | D | D | N | D",128,57,0.040448,0.00222,1.48882,0.06576,1.6543,1.59724
3,double,uniform,GPU,"D | D | D | D | N | D",128,58,0.043008,0.00207,1.48913,0.06736,1.65794,1.60157
3,double,uniform,GPU,"D | D | D | D | N | D",128,59,0.027168,0.001591,1.48116,0.06112,1.62683,1.57104
3,double,uniform,GPU,"D | D | D | D | N | D",128,60,0.030624,0.00167,1.47937,0.061696,1.62945,1.57336
3,double,uniform,GPU,"D | D | D | D | N | D",128,61,0.026528,0.0016,1.47928,0.058592,1.62081,1.566
3,double,uniform,GPU,"D | D | D | D | N | D",128,62,0.030912,0.00159,1.48358,0.062752,1.6354,1.57884
3,double,uniform,GPU,"D | D | D | D | N | D",128,63,0.03024,0.001641,1.52932,0.059136,1.67605,1.62034
3,double,uniform,GPU,"D | D | D | D | N | D",128,64,0.030784,0.00152,1.47993,0.06,1.62728,1.57224
3,double,uniform,GPU,"D | D | D | D | N | D",128,65,0.027456,0.00161,1.4798,0.059936,1.62433,1.56881
3,double,uniform,GPU,"D | D | D | D | N | D",128,66,0.029824,0.00149,1.48233,0.062528,1.63175,1.57618
3,double,uniform,GPU,"D | D | D | D | N | D",128,67,0.027744,0.00153,1.48041,0.061632,1.62739,1.57132
3,double,uniform,GPU,"D | D | D | D | N | D",128,68,0.027936,0.001469,1.47774,0.05952,1.61838,1.56667
3,double,uniform,GPU,"D | D | D | D | N | D",128,69,0.026688,0.00145,1.48072,0.058784,1.62379,1.56764
3,double,uniform,GPU,"D | D | D | D | N | D",128,70,0.030592,0.00177,1.48075,0.062592,1.63149,1.57571
3,double,uniform,GPU,"D | D | D | D | N | D",128,71,0.037088,0.00162,1.47973,0.060096,1.63372,1.57854
3,double,uniform,GPU,"D | D | D | D | N | D",128,72,0.026784,0.00194,1.47952,0.06144,1.62479,1.56969
3,double,uniform,GPU,"D | D | D | D | N | D",128,73,0.029824,0.001478,1.47831,0.062368,1.62716,1.57198
3,double,uniform,GPU,"D | D | D | D | N | D",128,74,0.026016,0.00152,1.48012,0.061408,1.62412,1.56907
3,double,uniform,GPU,"D | D | D | D | N | D",192,0,0.113184,0.00213,4.91323,0.18656,5.27603,5.2151
3,double,uniform,GPU,"D | D | D | D | N | D",192,1,0.115904,0.00216,4.9098,0.187648,5.27463,5.21551
3,double,uniform,GPU,"D | D | D | D | N | D",192,2,0.116832,0.001922,4.90594,0.185856,5.26639,5.21055
3,double,uniform,GPU,"D | D | D | D | N | D",192,3,0.118656,0.00224,4.90469,0.188672,5.27394,5.21425
3,double,uniform,GPU,"D | D | D | D | N | D",192,4,0.118208,0.00206,4.9101,0.186176,5.27428,5.21654
3,double,uniform,GPU,"D | D | D | D | N | D",192,5,0.11952,0.00201,4.91036,0.186752,5.27513,5.21864
3,double,uniform,GPU,"D | D | D | D | N | D",192,6,0.11824,0.0021,4.90695,0.1872,5.27382,5.21449
3,double,uniform,GPU,"D | D | D | D | N | D",192,7,0.118048,0.00205,4.9088,0.189344,5.27907,5.21824
3,double,uniform,GPU,"D | D | D | D | N | D",192,8,0.119744,0.002029,4.9558,0.187456,5.32253,5.26503
3,double,uniform,GPU,"D | D | D | D | N | D",192,9,0.1168,0.00183,4.90886,0.186816,5.27224,5.2143
3,double,uniform,GPU,"D | D | D | D | N | D",192,10,0.117696,0.002109,4.90652,0.187456,5.2719,5.21378
3,double,uniform,GPU,"D | D | D | D | N | D",192,11,0.117216,0.001921,4.90681,0.187936,5.27156,5.21388
3,double,uniform,GPU,"D | D | D | D | N | D",192,12,0.114688,0.001971,4.91382,0.18752,5.27515,5.218
3,double,uniform,GPU,"D | D | D | D | N | D",192,13,0.12672,0.00207,4.90893,0.18592,5.2766,5.22364
3,double,uniform,GPU,"D | D | D | D | N | D",192,14,0.11776,0.002001,4.90468,0.185504,5.27004,5.20994
3,double,uniform,GPU,"D | D | D | D | N | D",192,15,0.11808,0.00202,4.9099,0.189056,5.27847,5.21905
3,double,uniform,GPU,"D | D | D | D | N | D",192,16,0.141216,0.00301,4.91619,0.208832,5.3547,5.26924
3,double,uniform,GPU,"D | D | D | D | N | D",192,17,0.12976,0.002121,4.91057,0.189184,5.2936,5.23163
3,double,uniform,GPU,"D | D | D | D | N | D",192,18,0.121952,0.00196,4.90756,0.188256,5.30014,5.21972
3,double,uniform,GPU,"D | D | D | D | N | D",192,19,0.1176,0.00212,4.9061,0.186368,5.27057,5.21219
3,double,uniform,GPU,"D | D | D | D | N | D",192,20,0.118336,0.00214,4.90951,0.189504,5.28033,5.21949
3,double,uniform,GPU,"D | D | D | D | N | D",192,21,0.11712,0.00196,4.90805,0.18912,5.27584,5.21625
3,double,uniform,GPU,"D | D | D | D | N | D",192,22,0.11696,0.00198,4.90867,0.187072,5.27624,5.21468
3,double,uniform,GPU,"D | D | D | D | N | D",192,23,0.12992,0.00203,4.9123,0.190784,5.29619,5.23503
3,double,uniform,GPU,"D | D | D | D | N | D",192,24,0.121664,0.00184,4.90819,0.18592,5.27638,5.21761
3,double,uniform,GPU,"D | D | D | D | N | D",192,25,0.122464,0.00206,4.90615,0.186272,5.27597,5.21694
3,double,uniform,GPU,"D | D | D | D | N | D",192,26,0.122624,0.002099,4.90867,0.187296,5.27954,5.22069
3,double,uniform,GPU,"D | D | D | D | N | D",192,27,0.117152,0.001921,4.90326,0.189408,5.2707,5.21174
3,double,uniform,GPU,"D | D | D | D | N | D",192,28,0.120768,0.001961,4.90685,0.187584,5.27377,5.21716
3,double,uniform,GPU,"D | D | D | D | N | D",192,29,0.114944,0.00204,4.90674,0.187552,5.26799,5.21127
3,double,uniform,GPU,"D | D | D | D | N | D",192,30,0.120448,0.00196,4.9069,0.186368,5.27513,5.21567
3,double,uniform,GPU,"D | D | D | D | N | D",192,31,0.117696,0.00184,4.90819,0.18912,5.27375,5.21684
3,double,uniform,GPU,"D | D | D | D | N | D",192,32,0.117376,0.002111,4.91103,0.184736,5.27781,5.21525
3,double,uniform,GPU,"D | D | D | D | N | D",192,33,0.117088,0.002021,4.90656,0.189024,5.27764,5.21469
3,double,uniform,GPU,"D | D | D | D | N | D",192,34,0.117024,0.00181,4.90628,0.187712,5.27408,5.21282
3,double,uniform,GPU,"D | D | D | D | N | D",192,35,0.119424,0.002081,4.90726,0.187648,5.2749,5.21641
3,double,uniform,GPU,"D | D | D | D | N | D",192,36,0.11584,0.00178,4.90595,0.18608,5.26486,5.20965
3,double,uniform,GPU,"D | D | D | D | N | D",192,37,0.12064,0.00216,4.91404,0.189728,5.28687,5.22656
3,double,uniform,GPU,"D | D | D | D | N | D",192,38,0.131552,0.001979,4.91004,0.187904,5.29028,5.23147
3,double,uniform,GPU,"D | D | D | D | N | D",192,39,0.11392,0.00193,4.90486,0.188864,5.26737,5.20957
3,double,uniform,GPU,"D | D | D | D | N | D",192,40,0.1208,0.00203,4.90748,0.187072,5.27574,5.21738
3,double,uniform,GPU,"D | D | D | D | N | D",192,41,0.116992,0.00189,4.90948,0.189152,5.27448,5.21751
3,double,uniform,GPU,"D | D | D | D | N | D",192,42,0.11872,0.002,4.90915,0.186816,5.27496,5.21668
3,double,uniform,GPU,"D | D | D | D | N | D",192,43,0.130656,0.00216,4.90948,0.188896,5.28959,5.23119
3,double,uniform,GPU,"D | D | D | D | N | D",192,44,0.11968,0.001929,4.90393,0.18784,5.27065,5.21338
3,double,uniform,GPU,"D | D | D | D | N | D",192,45,0.120992,0.002069,4.90702,0.190976,5.28192,5.22105
3,double,uniform,GPU,"D | D | D | D | N | D",192,46,0.119776,0.00202,4.90777,0.185152,5.27221,5.21472
3,double,uniform,GPU,"D | D | D | D | N | D",192,47,0.118464,0.002151,4.91159,0.188512,5.28235,5.22071
3,double,uniform,GPU,"D | D | D | D | N | D",192,48,0.132768,0.002039,4.90947,0.18672,5.29048,5.23099
3,double,uniform,GPU,"D | D | D | D | N | D",192,49,0.116128,0.00225,4.90706,0.18832,5.27041,5.21376
3,double,uniform,GPU,"D | D | D | D | N | D",192,50,0.117568,0.00202,4.90802,0.188096,5.27553,5.2157
3,double,uniform,GPU,"D | D | D | D | N | D",192,51,0.116224,0.001969,4.90925,0.188704,5.27432,5.21614
3,double,uniform,GPU,"D | D | D | D | N | D",192,52,0.118688,0.00217,4.91001,0.187232,5.27668,5.2181
