dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,float,uniform,PoisFFT,"Ns | Ds",384,9,       0.005187
1,float,uniform,PoisFFT,"Ns | Ds",384,10,       0.005193
1,float,uniform,PoisFFT,"Ns | Ds",384,11,       0.021742
1,float,uniform,PoisFFT,"Ns | Ds",384,12,       0.005601
1,float,uniform,PoisFFT,"Ns | Ds",384,13,       0.005552
1,float,uniform,PoisFFT,"Ns | Ds",384,14,       0.005591
1,float,uniform,PoisFFT,"Ns | Ds",384,15,       0.005580
1,float,uniform,PoisFFT,"Ns | Ds",384,16,       0.005551
1,float,uniform,PoisFFT,"Ns | Ds",384,17,       0.005580
1,float,uniform,PoisFFT,"Ns | Ds",384,18,       0.005571
1,float,uniform,PoisFFT,"Ns | Ds",384,19,       0.005556
1,float,uniform,PoisFFT,"Ns | Ds",448,0,       0.006690
1,float,uniform,PoisFFT,"Ns | Ds",448,1,       0.006340
1,float,uniform,PoisFFT,"Ns | Ds",448,2,       0.006327
1,float,uniform,PoisFFT,"Ns | Ds",448,3,       0.006265
1,float,uniform,PoisFFT,"Ns | Ds",448,4,       0.006293
1,float,uniform,PoisFFT,"Ns | Ds",448,5,       0.006249
1,float,uniform,PoisFFT,"Ns | Ds",448,6,       0.006261
1,float,uniform,PoisFFT,"Ns | Ds",448,7,       0.006222
1,float,uniform,PoisFFT,"Ns | Ds",448,8,       0.006239
1,float,uniform,PoisFFT,"Ns | Ds",448,9,       0.022725
1,float,uniform,PoisFFT,"Ns | Ds",448,10,       0.006769
1,float,uniform,PoisFFT,"Ns | Ds",448,11,       0.006708
1,float,uniform,PoisFFT,"Ns | Ds",448,12,       0.006685
1,float,uniform,PoisFFT,"Ns | Ds",448,13,       0.006690
1,float,uniform,PoisFFT,"Ns | Ds",448,14,       0.006701
1,float,uniform,PoisFFT,"Ns | Ds",448,15,       0.006685
1,float,uniform,PoisFFT,"Ns | Ds",448,16,       0.006711
1,float,uniform,PoisFFT,"Ns | Ds",448,17,       0.006687
1,float,uniform,PoisFFT,"Ns | Ds",448,18,       0.006682
1,float,uniform,PoisFFT,"Ns | Ds",448,19,       0.006706
1,float,uniform,PoisFFT,"Ns | Ds",512,0,       0.006753
1,float,uniform,PoisFFT,"Ns | Ds",512,1,       0.006446
1,float,uniform,PoisFFT,"Ns | Ds",512,2,       0.006372
1,float,uniform,PoisFFT,"Ns | Ds",512,3,       0.006382
1,float,uniform,PoisFFT,"Ns | Ds",512,4,       0.006328
1,float,uniform,PoisFFT,"Ns | Ds",512,5,       0.006311
1,float,uniform,PoisFFT,"Ns | Ds",512,6,       0.006348
1,float,uniform,PoisFFT,"Ns | Ds",512,7,       0.007374
1,float,uniform,PoisFFT,"Ns | Ds",512,8,       0.006834
1,float,uniform,PoisFFT,"Ns | Ds",512,9,       0.006853
1,float,uniform,PoisFFT,"Ns | Ds",512,10,       0.006805
1,float,uniform,PoisFFT,"Ns | Ds",512,11,       0.006864
1,float,uniform,PoisFFT,"Ns | Ds",512,12,       0.006883
1,float,uniform,PoisFFT,"Ns | Ds",512,13,       0.006825
1,float,uniform,PoisFFT,"Ns | Ds",512,14,       0.006853
1,float,uniform,PoisFFT,"Ns | Ds",512,15,       0.006825
1,float,uniform,PoisFFT,"Ns | Ds",512,16,       0.006846
1,float,uniform,PoisFFT,"Ns | Ds",512,17,       0.006849
1,float,uniform,PoisFFT,"Ns | Ds",512,18,       0.006846
1,float,uniform,PoisFFT,"Ns | Ds",512,19,       0.006849
