dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,12,     209.415031
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,13,     207.426235
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,14,     214.687440
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,15,     207.777309
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,16,     208.231998
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,17,     211.369502
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,18,     212.749313
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",320,19,     209.710594
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,0,     393.487487
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,1,     387.025863
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,2,     389.431069
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,3,     387.345938
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,4,     393.220205
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,5,     389.681799
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,6,     386.863870
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,7,     387.831744
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,8,     388.694985
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,9,     390.759141
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,10,     386.531844
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,11,     389.171340
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,12,     390.106641
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,13,     388.823649
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,14,     391.968880
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,15,     391.560955
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,16,     386.929839
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,17,     388.480624
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,18,     393.454002
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",384,19,     386.744158
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,0,     650.377983
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,1,     654.001476
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,2,     654.923568
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,3,     650.749286
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,4,     646.857276
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,5,     652.996457
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,6,     648.784706
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,7,     647.569743
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,8,     655.936974
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,9,     659.728495
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,10,     652.369313
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,11,     655.129883
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,12,     655.359849
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,13,     651.852471
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,14,     655.325811
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,15,     652.828538
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,16,     652.350076
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,17,     650.552553
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,18,     653.956890
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",448,19,     652.849906
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,0,     935.559495
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,1,     935.064627
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,2,     933.408982
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,3,     935.776007
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,4,     933.745106
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,5,     933.794217
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,6,     933.288841
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,7,     935.599044
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,8,     932.072561
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,9,     934.521386
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,10,     934.811792
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,11,     932.650548
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,12,     931.995550
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,13,     932.454273
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,14,     935.488203
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,15,     930.755074
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,16,     932.970844
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,17,     935.585920
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,18,     934.663989
3,float,uniform,PoisFFT,"Ns | Ds | Ns | Ns | Ns | Ns",512,19,     939.040263
