dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",64,0,       1.179292
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,18,      17.750992
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",192,19,      17.655137
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,0,      92.423367
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,1,      96.332450
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,2,      90.834732
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,3,      93.596515
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,4,      97.417980
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,5,      90.025031
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,6,      95.431727
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,7,      88.787309
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,8,      91.460753
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,9,      86.964880
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,10,      87.076193
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,11,      91.697065
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,12,      91.915983
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,13,      92.716792
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,14,      90.724188
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,15,      92.219322
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,16,      92.429110
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,17,      95.671971
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,18,      90.532378
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",256,19,      90.120299
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,0,      86.384377
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,1,      85.420647
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,2,      86.724030
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,3,      89.285215
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,4,      87.062929
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,5,      87.792318
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,6,      88.867747
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,7,      86.750475
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,8,      88.860445
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,9,      87.360095
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,10,      85.899769
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,11,      86.987128
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,12,      88.308919
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,13,      88.952425
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,14,      88.321831
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,15,      86.920389
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,16,      86.415193
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,17,      87.376961
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,18,      86.959180
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",320,19,      86.414282
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,0,     248.194794
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,1,     246.792451
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,2,     253.539830
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,3,     251.930966
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,4,     254.142895
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,5,     254.537517
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,6,     254.111695
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,7,     253.600102
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,8,     252.874357
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,9,     249.653440
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,10,     249.609690
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,11,     249.785983
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,12,     254.675694
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,13,     254.376908
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,14,     249.984328
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,15,     252.759893
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,16,     253.654644
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,17,     245.902629
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,18,     249.972407
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",384,19,     251.621726
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,0,     296.595890
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,1,     293.337617
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,2,     296.444138
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,3,     296.198486
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,4,     298.925569
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,5,     295.605533
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,6,     295.048289
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,7,     300.011124
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,8,     295.729438
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,9,     291.373386
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,10,     294.970187
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,11,     294.454474
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,12,     296.209308
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,13,     296.115481
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,14,     295.060248
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,15,     291.664555
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,16,     295.942121
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,17,     294.919234
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,18,     297.258643
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",448,19,     293.055101
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,0,     936.696375
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,1,     936.137443
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,2,     944.964620
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,3,     933.252978
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,4,     930.335392
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,5,     928.127199
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,6,     934.078159
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,7,     945.984269
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,8,     954.443853
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,9,     939.871489
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,10,     949.312521
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,11,     940.875139
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,12,     924.099789
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,13,     961.177433
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,14,     943.340545
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,15,     948.959424
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,16,     933.648664
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,17,     944.984188
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,18,     949.249619
3,float,uniform,PoisFFT,"P | P | P | P | Ds | Ds",512,19,     956.377846
