dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,15,      15.854842
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,16,      15.718013
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,17,      15.644514
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,18,      15.850972
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,19,      15.880452
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,20,      15.689854
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,21,      15.918821
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,22,      15.824092
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,23,      15.577985
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,24,     103.174868
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,25,      15.533676
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,26,      15.501976
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,27,      15.514926
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,28,      15.587795
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,29,      15.370798
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,30,      15.476296
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,31,      15.383127
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,32,      15.427567
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,33,      15.543535
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,34,      15.342028
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,35,      15.426076
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,36,      15.568145
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,37,      15.341798
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,38,      15.419227
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,39,      15.413487
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,40,      15.346648
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,41,      15.519125
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,42,      15.363917
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,43,      15.319308
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,44,      15.435276
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,45,      15.351238
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,46,      15.471267
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,47,      15.280129
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,48,      15.322988
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,49,      15.350607
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,50,      15.478296
3,double,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ds | Ds",256,51,      15.300358
