dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,58,      40.774289
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,59,      40.737809
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,60,      40.846969
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,61,      42.893026
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,62,      41.776868
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,63,      40.973057
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,64,      40.943627
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,65,      40.759489
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,66,      41.736809
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,67,      40.572891
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,68,      41.943247
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,69,      42.200543
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,70,      42.714108
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,71,      42.125264
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,72,      42.341422
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,73,      42.341002
3,float,uniform,PoisFFT,"N | D | N | N | N | N",192,74,      40.581261
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,0,      56.517238
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,1,      55.638448
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,2,      55.997785
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,3,      56.108453
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,4,      75.501753
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,5,      77.092557
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,6,      79.448961
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,7,      55.878025
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,8,      55.411091
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,9,      54.181914
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,10,      54.213674
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,11,      55.815036
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,12,      55.653758
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,13,      55.812126
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,14,      56.433660
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,15,      53.227104
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,16,      54.551550
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,17,      54.783117
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,18,      55.406130
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,19,      57.120072
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,20,      55.303651
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,21,      55.985155
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,22,      54.301592
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,23,      53.378013
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,24,      53.846348
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,25,      55.429691
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,26,      54.325083
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,27,      54.923396
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,28,      54.251133
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,29,      55.902305
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,30,      55.655818
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,31,      54.730999
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,32,      55.709758
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,33,      54.921946
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,34,      55.387191
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,35,      54.774818
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,36,      54.556370
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,37,      55.551499
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,38,      55.221252
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,39,      54.166875
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,40,      55.031085
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,41,      54.663959
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,42,      54.888966
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,43,      55.845107
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,44,      55.304092
3,float,uniform,PoisFFT,"N | D | N | N | N | N",256,45,      55.574639
