dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
1,double,uniform,PoisFFT,"N | N",128,56,       0.009380
1,double,uniform,PoisFFT,"N | N",128,57,       0.009350
1,double,uniform,PoisFFT,"N | N",128,58,       0.009320
1,double,uniform,PoisFFT,"N | N",128,59,       0.009350
1,double,uniform,PoisFFT,"N | N",128,60,       0.009350
1,double,uniform,PoisFFT,"N | N",128,61,       0.009380
1,double,uniform,PoisFFT,"N | N",128,62,       0.009340
1,double,uniform,PoisFFT,"N | N",128,63,       0.009350
1,double,uniform,PoisFFT,"N | N",128,64,       0.009340
1,double,uniform,PoisFFT,"N | N",128,65,       0.009350
1,double,uniform,PoisFFT,"N | N",128,66,       0.009370
1,double,uniform,PoisFFT,"N | N",128,67,       0.009380
1,double,uniform,PoisFFT,"N | N",128,68,       0.009391
1,double,uniform,PoisFFT,"N | N",128,69,       0.009389
1,double,uniform,PoisFFT,"N | N",128,70,       0.009380
1,double,uniform,PoisFFT,"N | N",128,71,       0.009320
1,double,uniform,PoisFFT,"N | N",128,72,       0.009390
1,double,uniform,PoisFFT,"N | N",128,73,       0.009480
1,double,uniform,PoisFFT,"N | N",128,74,       0.009400
1,double,uniform,PoisFFT,"N | N",192,0,       0.014120
1,double,uniform,PoisFFT,"N | N",192,1,       0.013280
1,double,uniform,PoisFFT,"N | N",192,2,       0.013049
1,double,uniform,PoisFFT,"N | N",192,3,       0.013090
1,double,uniform,PoisFFT,"N | N",192,4,       0.013040
1,double,uniform,PoisFFT,"N | N",192,5,       0.013000
1,double,uniform,PoisFFT,"N | N",192,6,       0.013010
1,double,uniform,PoisFFT,"N | N",192,7,       0.013020
1,double,uniform,PoisFFT,"N | N",192,8,       0.013020
1,double,uniform,PoisFFT,"N | N",192,9,       0.013040
1,double,uniform,PoisFFT,"N | N",192,10,       0.013040
1,double,uniform,PoisFFT,"N | N",192,11,       0.015430
1,double,uniform,PoisFFT,"N | N",192,12,       0.013270
1,double,uniform,PoisFFT,"N | N",192,13,       0.013000
1,double,uniform,PoisFFT,"N | N",192,14,       0.013040
1,double,uniform,PoisFFT,"N | N",192,15,       0.013120
1,double,uniform,PoisFFT,"N | N",192,16,       0.013020
1,double,uniform,PoisFFT,"N | N",192,17,       0.013030
1,double,uniform,PoisFFT,"N | N",192,18,       0.013020
1,double,uniform,PoisFFT,"N | N",192,19,       0.013020
1,double,uniform,PoisFFT,"N | N",192,20,       0.013020
1,double,uniform,PoisFFT,"N | N",192,21,       0.013010
1,double,uniform,PoisFFT,"N | N",192,22,       0.013020
1,double,uniform,PoisFFT,"N | N",192,23,       0.019459
1,double,uniform,PoisFFT,"N | N",192,24,       0.013009
1,double,uniform,PoisFFT,"N | N",192,25,       0.013040
1,double,uniform,PoisFFT,"N | N",192,26,       0.012990
1,double,uniform,PoisFFT,"N | N",192,27,       0.013020
1,double,uniform,PoisFFT,"N | N",192,28,       0.013020
1,double,uniform,PoisFFT,"N | N",192,29,       0.012990
1,double,uniform,PoisFFT,"N | N",192,30,       0.013030
1,double,uniform,PoisFFT,"N | N",192,31,       0.013010
1,double,uniform,PoisFFT,"N | N",192,32,       0.013010
1,double,uniform,PoisFFT,"N | N",192,33,       0.013010
1,double,uniform,PoisFFT,"N | N",192,34,       0.013009
1,double,uniform,PoisFFT,"N | N",192,35,       0.013020
1,double,uniform,PoisFFT,"N | N",192,36,       0.013010
1,double,uniform,PoisFFT,"N | N",192,37,       0.013000
1,double,uniform,PoisFFT,"N | N",192,38,       0.013040
1,double,uniform,PoisFFT,"N | N",192,39,       0.013010
1,double,uniform,PoisFFT,"N | N",192,40,       0.013000
1,double,uniform,PoisFFT,"N | N",192,41,       0.013030
1,double,uniform,PoisFFT,"N | N",192,42,       0.013050
1,double,uniform,PoisFFT,"N | N",192,43,       0.013210
1,double,uniform,PoisFFT,"N | N",192,44,       0.013299
1,double,uniform,PoisFFT,"N | N",192,45,       0.013019
1,double,uniform,PoisFFT,"N | N",192,46,       0.013010
1,double,uniform,PoisFFT,"N | N",192,47,       0.013010
1,double,uniform,PoisFFT,"N | N",192,48,       0.012980
1,double,uniform,PoisFFT,"N | N",192,49,       0.013030
1,double,uniform,PoisFFT,"N | N",192,50,       0.013020
1,double,uniform,PoisFFT,"N | N",192,51,       0.012980
1,double,uniform,PoisFFT,"N | N",192,52,       0.012980
1,double,uniform,PoisFFT,"N | N",192,53,       0.013010
1,double,uniform,PoisFFT,"N | N",192,54,       0.012980
1,double,uniform,PoisFFT,"N | N",192,55,       0.012990
1,double,uniform,PoisFFT,"N | N",192,56,       0.013020
1,double,uniform,PoisFFT,"N | N",192,57,       0.013010
1,double,uniform,PoisFFT,"N | N",192,58,       0.013010
1,double,uniform,PoisFFT,"N | N",192,59,       0.013020
1,double,uniform,PoisFFT,"N | N",192,60,       0.013029
1,double,uniform,PoisFFT,"N | N",192,61,       0.013010
1,double,uniform,PoisFFT,"N | N",192,62,       0.012990
1,double,uniform,PoisFFT,"N | N",192,63,       0.013010
1,double,uniform,PoisFFT,"N | N",192,64,       0.013030
1,double,uniform,PoisFFT,"N | N",192,65,       0.013020
1,double,uniform,PoisFFT,"N | N",192,66,       0.013011
1,double,uniform,PoisFFT,"N | N",192,67,       0.013080
1,double,uniform,PoisFFT,"N | N",192,68,       0.013010
1,double,uniform,PoisFFT,"N | N",192,69,       0.013020
1,double,uniform,PoisFFT,"N | N",192,70,       0.013040
1,double,uniform,PoisFFT,"N | N",192,71,       0.013009
1,double,uniform,PoisFFT,"N | N",192,72,       0.013319
1,double,uniform,PoisFFT,"N | N",192,73,       0.013039
1,double,uniform,PoisFFT,"N | N",192,74,       0.013040
1,double,uniform,PoisFFT,"N | N",256,0,       0.005210
1,double,uniform,PoisFFT,"N | N",256,1,       0.004890
1,double,uniform,PoisFFT,"N | N",256,2,       0.004909
1,double,uniform,PoisFFT,"N | N",256,3,       0.005400
1,double,uniform,PoisFFT,"N | N",256,4,       0.005020
1,double,uniform,PoisFFT,"N | N",256,5,       0.004890
1,double,uniform,PoisFFT,"N | N",256,6,       0.004890
