dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,60,       2.791020
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,61,       2.843129
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,62,       2.808239
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,63,       2.897869
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,64,       2.784790
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,65,       2.799869
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,66,       2.904628
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,67,       2.886048
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,68,       2.854769
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,69,       2.829438
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,70,       2.881459
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,71,       2.895849
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,72,       2.862609
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,73,       2.812059
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",128,74,       2.779110
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,0,       7.417898
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,1,       7.119262
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,2,       7.468429
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,3,       7.360080
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,4,       7.246660
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,5,       7.600086
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,6,       7.584288
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,7,       7.343359
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,8,       7.033703
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,9,       7.284570
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,10,       7.290160
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,11,       7.326290
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,12,       7.491728
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,13,       7.205371
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,14,       7.513818
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,15,       7.479388
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,16,       7.465748
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,17,       7.089983
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,18,       7.355539
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,19,       7.013943
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,20,       7.012923
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,21,       7.416048
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,22,       7.195422
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,23,       7.412979
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,24,       7.171641
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,25,       7.492668
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,26,       7.070763
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,27,       7.093832
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,28,       7.441339
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,29,       7.127102
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,30,       7.517248
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,31,       7.346979
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,32,       7.560306
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,33,       7.111902
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,34,       7.032873
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,35,       7.471428
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,36,       7.027963
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,37,       6.989803
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,38,       7.126442
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,39,       7.453839
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,40,       7.088292
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,41,       7.086473
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,42,       7.422689
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,43,       7.084722
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,44,       7.505318
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,45,       7.421668
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,46,       7.015723
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,47,       7.415628
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,48,       7.158502
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,49,       7.551717
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,50,       7.037763
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,51,       7.033403
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,52,       7.216801
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,53,       7.482648
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,54,       7.043152
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,55,       7.087653
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,56,       7.467708
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,57,       7.048563
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,58,       7.560568
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,59,       7.470348
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,60,       7.004913
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,61,       7.422449
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,62,       7.256811
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,63,       7.519348
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,64,       7.056253
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,65,       7.029843
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,66,       7.203241
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,67,       7.465238
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,68,       7.093422
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,69,       7.071953
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,70,       7.413259
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,71,       7.022283
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,72,       7.102532
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,73,       7.063952
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",192,74,       7.401179
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,0,      19.292819
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,1,      19.045971
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,2,      18.977592
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,3,      18.951482
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,4,      18.622506
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,5,      18.736865
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,6,      18.586226
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,7,      19.241278
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,8,      18.795654
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,9,      18.756765
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,10,      18.932393
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,11,      18.978932
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,12,      18.877482
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,13,      18.715815
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,14,      18.694515
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,15,      19.021701
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,16,      18.864133
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,17,      18.549146
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,18,      18.974212
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,19,      18.511747
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,20,      18.919162
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,21,      19.021401
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,22,      18.763114
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,23,      18.599636
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,24,      18.499546
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,25,      18.971523
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,26,      19.168390
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,27,      18.831714
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,28,      19.049551
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,29,      18.851644
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,30,      19.103351
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,31,      18.655566
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,32,      18.808584
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,33,      18.491137
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,34,      18.494247
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,35,      19.070141
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,36,      19.056041
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,37,      19.136550
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,38,      18.929403
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,39,      18.554427
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,40,      18.555517
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,41,      18.890043
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,42,      18.828214
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,43,      18.544196
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,44,      19.137181
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,45,      18.615426
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,46,      18.586767
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,47,      19.077011
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,48,      19.168650
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,49,      18.938803
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,50,      18.508827
3,float,uniform,PoisFFT,"Ds | Ds | Ds | Ds | Ns | Ds",256,51,      18.607466
