dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,46,       8.732016
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,47,       8.786066
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,48,       8.745616
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,49,       8.693676
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,50,       8.943973
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,51,       8.778025
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,52,       8.692906
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,53,       9.011043
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,54,       8.695016
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,55,       9.008803
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,56,       8.828605
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,57,       8.605837
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,58,       8.662717
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,59,       8.965843
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,60,       9.015053
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,61,       9.095382
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,62,       8.729496
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,63,       8.851364
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,64,       8.628398
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,65,       9.000303
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,66,       8.711276
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,67,       8.735786
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,68,       8.796276
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,69,       8.668367
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,70,       9.042783
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,71,       8.795595
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,72,       8.757286
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,73,       8.772366
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",192,74,       8.683956
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,0,      22.258151
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,1,      21.855755
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,2,      21.905894
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,3,      21.829865
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,4,      21.879554
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,5,      21.855095
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,6,      21.769406
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,7,      21.897045
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,8,      21.807116
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,9,      21.814155
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,10,      21.878245
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,11,      21.973224
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,12,      21.773376
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,13,      21.966604
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,14,      21.930404
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,15,      21.895065
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,16,      21.923494
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,17,      21.885335
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,18,      21.862035
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,19,      21.895404
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,20,      21.844295
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,21,      21.798786
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,22,      21.898645
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,23,      21.832565
3,double,uniform,PoisFFT,"P | P | P | P | Ns | Ds",256,24,      22.175222
