dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,25,       1.373486
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,26,       1.358967
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,27,       1.341517
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,28,       1.364966
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,29,       1.349977
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,30,       1.362646
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,31,       1.341317
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,32,       1.353296
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,33,       1.517385
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,34,       1.371246
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,35,       1.336906
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,36,       1.362797
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,37,       1.364226
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,38,       1.344797
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,39,       1.414846
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,40,       1.348836
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,41,       1.339327
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,42,       1.346006
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,43,       1.342217
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,44,       1.369557
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,45,       1.361166
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,46,       1.327517
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,47,       1.909381
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,48,       1.384116
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,49,       1.363187
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,50,       1.330187
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,51,       1.342736
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,52,       1.364776
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,53,       1.606274
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,54,       1.350316
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,55,       1.353037
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,56,       1.357437
3,float,uniform,PoisFFT,"P | P | Ns | Ns | P | P",128,57,       1.362296
