dim,precision,solver_type,api,bc_name,grid_size,iteration,total_execution_ms
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,28,       4.792086
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,29,       4.834915
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,30,       4.833575
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,31,       4.836935
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,32,       5.086313
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,33,       5.095103
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,34,       4.853365
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,35,       4.775176
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,36,       4.804946
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,37,       4.821366
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,38,       4.892224
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,39,       4.854575
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,40,       4.765486
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,41,       4.867045
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,42,       4.758426
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,43,       4.913504
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,44,       4.851435
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,45,       4.905784
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,46,       4.909174
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,47,       4.901475
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,48,       4.844505
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,49,       4.808176
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,50,       4.706397
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,51,       4.845465
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,52,       4.763396
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,53,       5.003784
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,54,       4.989844
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,55,       4.818056
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,56,       4.880754
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,57,       4.861165
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,58,       4.847466
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,59,       4.760606
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,60,       4.784525
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,61,       4.743757
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,62,       4.837516
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,63,       4.960455
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,64,       4.897864
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,65,       4.722467
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,66,       4.755407
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,67,       4.859535
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,68,       4.934864
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,69,       4.820865
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,70,       4.815396
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,71,       4.919414
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,72,       4.666677
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,73,       4.856835
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",128,74,       4.586628
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,0,      14.112060
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,1,      13.950502
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,2,      14.233019
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,3,      14.285229
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,4,      14.252749
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,5,      13.896993
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,6,      14.248279
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,7,      14.090171
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,8,      14.366847
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,9,      14.467397
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,10,      14.320048
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,11,      14.231619
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,12,      14.633885
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,13,      14.514866
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,14,      14.456517
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,15,      14.276279
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,16,      14.498466
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,17,      14.807862
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,18,      14.241869
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,19,      14.214699
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,20,      14.525806
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,21,      14.368498
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,22,      14.571335
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,23,      14.316648
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,24,      14.462257
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,25,      14.524456
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,26,      14.437397
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,27,      14.642305
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,28,      14.438697
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,29,      14.405117
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,30,      14.400127
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,31,      14.689144
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,32,      14.681374
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,33,      14.435986
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,34,      14.274679
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,35,      14.760983
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,36,      14.292898
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,37,      14.808582
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,38,      14.578866
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,39,      14.697734
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,40,      14.178719
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,41,      14.359258
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,42,      14.334128
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,43,      14.626625
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,44,      14.431186
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,45,      14.433576
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,46,      14.471756
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,47,      14.638574
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,48,      14.365257
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,49,      14.361707
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,50,      14.426527
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,51,      14.287148
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,52,      14.323858
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,53,      14.329398
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,54,      14.419386
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,55,      14.273228
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,56,      14.427007
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,57,      14.504316
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,58,      14.641064
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,59,      14.445627
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,60,      14.278018
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,61,      14.378518
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,62,      14.288848
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,63,      14.564536
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,64,      14.497465
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,65,      14.447067
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,66,      14.623585
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,67,      14.319958
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,68,      14.342378
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,69,      14.674444
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,70,      14.198140
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,71,      14.574875
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,72,      14.446616
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,73,      14.444057
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",192,74,      14.245879
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,0,      59.710325
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,1,      57.623168
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,2,      58.258921
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,3,      58.119893
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,4,      58.495229
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,5,      57.586229
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,6,      57.476630
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,7,      57.734096
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,8,      57.672778
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,9,      57.422951
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,10,      57.248473
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,11,      56.156834
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,12,      56.559701
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,13,      57.228013
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,14,      57.406300
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,15,      57.989774
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,16,      57.572869
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,17,      58.116813
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,18,      57.574209
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,19,      57.128054
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,20,      56.166635
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,21,      55.687830
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,22,      56.826567
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,23,      58.554098
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,24,      56.766688
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,25,      56.967336
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,26,      57.612009
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,27,      56.883287
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,28,      56.878707
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,29,      57.431131
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,30,      57.181743
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,31,      58.545238
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,32,      57.797657
3,double,uniform,PoisFFT,"P | P | Ns | Ns | Ns | Ns",256,33,      57.218653
